Series name;Unit;Data supplier;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973
Hunted polar bears;;sysselmannen.no [UNKNOWN NAME];74;28;69;110;82;103;65;110;102;55;55;74;55;211;146;142;254;156;339;220;258;228;327;234;250;261;466;554;435;372;277;350;373;431;638;644;888;659;696;511;250;216;250;285;294;311;229;390;662;578;175;218;550;901;598;281;370;528;474;441;127;218;224;152;221;406;540;245;148;151;11;4;1;195;405;523;444;304;538;374;152;347;209;470;341;308;160;334;173;126;177;310;436;435;173;263;267;346;515;116;61;41
