Series name;Unit;Data supplier;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Days with >60% sea ice;;npolar.no [UNKNOWN NAME];28;76;56;58;62;0;40;42;85;88;40;28;42;41;45;66;54;24;50;13;16;5;37;38;42;27;24;5;24;29;0;46;3;0;4;31;0;0;0;0
Days with >60% sea ice (Low);;npolar.no [UNKNOWN NAME];26;56;28;42;50;0;38;40;50;66;27;26;35;31;41;53;45;23;38;9;13;2;11;34;27;20;4;3;16;10;0;25;1;0;0;0;0;0;0;0
Days with >60% sea ice (High);;npolar.no [UNKNOWN NAME];42;78;72;78;66;0;62;60;91;92;65;40;74;73;52;68;64;41;63;49;28;16;38;63;69;33;62;5;25;61;2;50;19;0;4;51;0;0;0;0
Days with >60% sea ice (Min.);;npolar.no [UNKNOWN NAME];22;52;28;12;50;0;32;30;50;61;21;26;31;31;31;47;33;19;33;8;4;0;7;16;21;15;0;1;9;2;0;21;0;0;0;0;0;0;0;0
Days with >60% sea ice (Max.);;npolar.no [UNKNOWN NAME];44;84;80;92;68;0;66;70;92;92;72;44;75;77;61;70;68;59;65;65;44;23;43;73;83;41;65;5;36;75;2;62;28;0;9;76;0;0;13;0
