kepoi_name,disposition,pdisposition,orb_period,impact,duration,depth,prad,teq,insol,steff,slogg,srad,right_ascension,declination
K04276.01,CONFIRMED,CANDIDATE,56.644452,0.579,16.551,104.6,2.44,733.0,68.37,6237.0,3.862,2.295,285.96872,41.363564000000004
K04277.01,FALSE POSITIVE,FALSE POSITIVE,1.7103198119999998,0.559,2.983,43.6,0.56,1426.0,978.84,5774.0,4.524,0.825,292.74492999999995,41.93486
K04278.01,FALSE POSITIVE,FALSE POSITIVE,5.62978034,0.08,5.847,379.2,1.61,899.0,154.59,5497.0,4.57,0.839,298.03652999999997,39.906009999999995
K04346.01,CANDIDATE,CANDIDATE,6.39269778,0.011,2.138,174.3,1.21,890.0,148.31,5248.0,4.416,0.943,282.76062,46.177841
K04347.01,CONFIRMED,CANDIDATE,3.0570982,0.104,3.571,144.0,0.99,1202.0,493.09,6021.0,4.57,0.819,293.85065,38.397751
K02585.03,CANDIDATE,CANDIDATE,7.87845756,0.562,3.912,44.1,0.78,989.0,226.11,5767.0,4.287,1.135,288.66077,43.36808
K04415.01,FALSE POSITIVE,FALSE POSITIVE,0.8851296790000001,0.651,3.156,177.3,1.21,1780.0,2373.06,5792.0,4.547,0.864,298.87417999999997,43.440891
K04212.01,CONFIRMED,CANDIDATE,5.79179934,0.896,3.474,118.5,1.69,1222.0,528.14,6174.0,4.244,1.318,292.20471000000003,37.221218
K00571.05,CONFIRMED,CANDIDATE,129.945392,0.909,5.786,500.1,1.18,177.0,0.23,3751.0,4.8,0.443,298.65271,43.955021
K02433.04,CANDIDATE,CANDIDATE,27.9040511,0.854,5.346,300.2,2.19,677.0,49.53,6325.0,4.409,1.112,294.33847000000003,50.33654
K04280.01,FALSE POSITIVE,FALSE POSITIVE,1.39772545,0.644,4.129,181.3,1.58,1763.0,2275.72,6006.0,4.38,1.114,295.67188,40.18037
K04351.01,CANDIDATE,CANDIDATE,0.644322147,1.3275,0.893,1076.6,24.39,1592.0,1516.94,5136.0,4.648,0.612,287.75916,40.65704
K04352.01,FALSE POSITIVE,FALSE POSITIVE,1.8912501,1.24,7.648,731.0,23.5,1159.0,427.26,4883.0,4.523,0.794,290.30371,37.924191
K04353.01,CANDIDATE,CANDIDATE,17.8075656,0.474,1.643,1511.0,3.92,742.0,71.56,6194.0,4.45,0.981,294.42126,39.628471000000005
K04355.01,FALSE POSITIVE,FALSE POSITIVE,36.616669,0.3646,8.62,237.4,1.68,548.0,21.35,5780.0,4.438,1.0,294.20786,39.680115
K02949.02,CANDIDATE,CANDIDATE,3.75030469,0.77,3.246,35.5,0.87,1374.0,842.07,5866.0,4.191,1.339,285.87579,41.332432
K04419.01,CANDIDATE,CANDIDATE,0.259819659,0.972,0.6513,231.5,1.22,1559.0,1410.9,3939.0,4.736000000000001,0.526,281.11646,43.28244
K04421.01,CANDIDATE,CANDIDATE,4.72693131,0.065,4.036,26.2,0.61,1203.0,495.58,5950.0,4.323,1.196,294.12487999999996,46.67289
K04212.02,CANDIDATE,CANDIDATE,10.0989634,0.529,6.428,57.0,1.03,1016.0,251.36,6174.0,4.244,1.318,292.20471000000003,37.221218
K04213.01,FALSE POSITIVE,FALSE POSITIVE,3.67515329,0.73,7.083,56.0,0.71,1150.0,414.64,5968.0,4.534,0.881,295.42047,40.842659000000005
K04214.01,FALSE POSITIVE,FALSE POSITIVE,0.715825886,0.099,1.212,40.6,0.58,1920.0,3196.46,5640.0,4.486000000000001,0.909,297.22046,47.748249
K04215.01,CONFIRMED,CANDIDATE,26.5487294,0.21,7.968,142.0,2.54,836.0,115.61,5456.0,3.802,2.154,299.86182,45.827351
K04216.01,CANDIDATE,CANDIDATE,0.492291661,0.957,0.894,1107.6,3.42,1788.0,2415.37,4971.0,4.566,0.718,285.25616,41.595589000000004
K07654.01,FALSE POSITIVE,FALSE POSITIVE,1.6911935,0.903,9.479,2801.0,6.36,1528.0,1292.5,5780.0,4.438,1.0,294.25079,38.404236
K04284.01,FALSE POSITIVE,FALSE POSITIVE,2.42803503,0.057,3.045,73.8,0.85,1516.0,1249.87,6609.0,4.484,0.974,296.99017000000003,47.130660999999996
K04287.01,CANDIDATE,CANDIDATE,13.12297275,0.885,2.234,43.7,1.29,1030.0,266.05,6134.0,4.065,1.665,290.45831,48.661369
K04288.01,CONFIRMED,CANDIDATE,6.28384079,0.101,4.291,35.7,0.73,1108.0,356.49,5888.0,4.275,1.227,287.37125,39.603569
K04355.02,FALSE POSITIVE,FALSE POSITIVE,21.131609,0.0731,13.66,73.5,0.94,659.0,44.45,5780.0,4.438,1.0,294.20786,39.680115
K04355.03,FALSE POSITIVE,FALSE POSITIVE,81.675841,0.3455,11.53,143.4,1.31,420.0,7.33,5780.0,4.438,1.0,294.20786,39.680115
K04355.04,FALSE POSITIVE,FALSE POSITIVE,28.5463574,0.2411,9.29,153.3,1.35,596.0,29.76,5780.0,4.438,1.0,294.20786,39.680115
K02590.02,CANDIDATE,CANDIDATE,22.7909233,0.871,9.565,53.6,1.38,862.0,130.75,6311.0,4.1160000000000005,1.642,293.50702,50.450119
K04355.05,FALSE POSITIVE,FALSE POSITIVE,72.563291,0.4863,3.088,332.3,1.99,436.0,8.58,5780.0,4.438,1.0,294.20786,39.680115
K04422.01,FALSE POSITIVE,FALSE POSITIVE,15.705388,0.6449,4.871,283.7,3.3,1181.0,459.41,7454.0,4.107,1.853,296.77271,47.158539000000005
K04424.01,CONFIRMED,CANDIDATE,2.27164952,0.01,4.054,82.4,0.97,1522.0,1269.46,6274.0,4.434,1.062,295.32982999999996,42.534962
K04425.01,FALSE POSITIVE,FALSE POSITIVE,3.84835742,0.671,10.18,84.2,0.77,1051.0,288.62,5709.0,4.57,0.798,297.50562,39.756802
K04219.01,FALSE POSITIVE,FALSE POSITIVE,1.87885327,0.513,3.302,120.9,0.97,1406.0,922.49,5851.0,4.534,0.863,297.42742999999996,39.781139
K04220.01,FALSE POSITIVE,FALSE POSITIVE,0.785473311,0.389,1.3911,339.6,1.61,1769.0,2325.64,5356.0,4.466,0.871,298.92361,40.749538
K04221.01,FALSE POSITIVE,FALSE POSITIVE,5.2438982,0.644,7.881,162.2,1.24,1026.0,262.14,5804.0,4.473,0.927,291.8269,41.7099
K04288.02,CANDIDATE,CANDIDATE,9.08745206,0.341,3.786,35.1,0.73,980.0,217.95,5888.0,4.275,1.227,287.37125,39.603569
K07655.01,FALSE POSITIVE,FALSE POSITIVE,2.9761504,0.064,6.079,259.5,1.02,811.0,102.54,4236.0,4.612,0.664,290.15722999999997,38.52438
K02529.02,CONFIRMED,CANDIDATE,64.0019669,0.701,4.724,1112.5,2.48,322.0,2.55,4652.0,4.617,0.697,301.72076,44.41206
K04290.01,CONFIRMED,CANDIDATE,4.83809469,0.014,1.096,1544.0,0.79,354.0,3.7,3187.0,5.091,0.2,289.37667999999996,41.158671999999996
K04292.01,CONFIRMED,CANDIDATE,9.3281912,0.044,3.991,45.2,0.59,788.0,91.02,5525.0,4.513999999999999,0.888,286.38693,47.016628000000004
K04358.01,CANDIDATE,CANDIDATE,106.957467,0.705,7.006,539.6,2.4,394.0,5.7,6075.0,4.486000000000001,0.969,289.08313,42.70414
K04360.01,CONFIRMED,CANDIDATE,2.71603664,0.44,1.744,98.5,1.05,1360.0,807.43,6011.0,4.452,1.041,293.62307999999996,47.961909999999996
K04361.01,CANDIDATE,CANDIDATE,75.8781344,0.705,1.383,1054.0,3.39,417.0,7.18,5579.0,4.413,0.972,282.16364,43.510132
K04427.01,CANDIDATE,CANDIDATE,147.661729,0.002,6.207,1087.8,1.59,176.0,0.23,3788.0,4.774,0.49,295.11722000000003,39.27409
K04428.01,CANDIDATE,CANDIDATE,13.00291716,0.701,3.058,225.3,1.28,710.0,60.11,5796.0,4.575,0.8,298.2934,40.239632
K02972.02,FALSE POSITIVE,FALSE POSITIVE,42.0292298,0.015,8.499,373.7,2.33,578.0,26.46,5850.0,4.297,1.217,290.73447000000004,45.297791
K04430.01,FALSE POSITIVE,FALSE POSITIVE,0.505111993,0.841,0.4053,212.8,1.58,1886.0,2970.58,5262.0,4.59,0.783,288.59682999999995,46.326038
K04222.01,CONFIRMED,CANDIDATE,3.38557445,0.129,1.879,121.9,1.63,1476.0,1122.9,5718.0,4.069,1.48,300.93539,45.596539
K04223.01,FALSE POSITIVE,FALSE POSITIVE,2.754024,0.7277,4.15,172.2,1.68,1553.0,1374.41,6419.0,4.321000000000001,1.188,290.64301,48.887501
