P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. SFlux Mean (EU),P. Teq Mean (K),P. Mag,P. Period (days),P. Eccentricity,S. Mass (SU),S. Radius (SU),S. Teff (K),S. RA (hrs),S. DEC (deg),S. No. Planets,S. No. Planets HZ,P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Year
2.37,1.34,0.97,1.31,57.58364,701.8,-22.24,9.94,0.0,0.85,0.79,5282.0,19.4122,45.3232,3,0,-2.19,-0.16,-0.76,0.3,0.31,0,0,1,2014.0
7.73,1.86,1.2,2.24,26.602209999999996,578.6,-22.11,17.74,0.0,0.85,0.79,5282.0,19.4122,45.3232,3,0,-2.08,-0.14,-0.09,0.32,0.31,0,0,1,2014.0
17.55,2.27,1.49,3.39,117.8056,839.3,-24.17,5.95,0.0,0.85,0.79,5282.0,19.4122,45.3232,3,0,-2.27,-0.12,0.12,0.31,0.25,0,0,1,2016.0
3.92,2.73,0.19,0.52,101.8246,809.3,-24.41,9.93,0.0,0.99,1.01,5479.0,19.1945,45.5929,3,0,-2.26,2.46,-0.92,0.22,0.23,0,0,1,2014.0
4.18,2.79,0.19,0.54,36.656859999999995,626.9,-23.34,21.22,0.0,1.0,1.01,5479.0,19.1945,45.5929,3,0,-2.14,2.47,-0.78,0.23,0.25,0,0,1,2014.0
0.92,1.02,0.87,0.89,,,,6.47,0.0,,1.01,5479.0,19.1945,45.5929,3,0,,-0.17,,,,0,0,1,2016.0
21.7,2.39,1.6,3.81,170.0827,920.0,-24.67,11.39,0.0,1.23,1.15,6335.0,19.7666,46.5772,2,0,-2.35,-0.12,0.19,0.3,0.24,0,0,1,2014.0
3.97,2.74,0.19,0.53,23.36361,560.1,-22.81,50.7,0.0,1.22,1.15,6335.0,19.7666,46.5772,2,0,-2.08,2.46,-0.75,0.23,0.27,0,0,1,2014.0
3.28,2.59,0.19,0.49,74.77073,749.2,-23.95,17.31,0.0,1.0,1.02,6089.0,19.4648,47.8642,3,0,-2.26,2.42,-0.93,0.23,0.24,0,0,1,2014.0
22.16,2.4,1.61,3.86,16.96715,517.1,-22.17,52.81,0.0,1.0,1.02,6089.0,19.4648,47.8642,3,0,-2.0,-0.12,0.86,0.31,0.31,0,0,1,2014.0
10.88,2.03,1.31,2.65,74.24728,747.9,-23.41,8.31,0.0,0.88,0.78,5329.0,19.2081,47.9667,2,0,-2.22,-0.13,-0.09,0.31,0.27,0,0,1,2014.0
3.88,1.55,1.05,1.63,11.34304,467.5,-20.77,34.1,0.0,0.88,0.78,5329.0,19.2081,47.9667,2,0,-1.89,-0.15,-0.31,0.34,0.39,0,0,1,2014.0
8.48,1.9,1.23,2.34,19.820429999999998,537.6,-21.84,20.74,0.0,0.82,0.78,5128.0,18.9979,42.0792,2,0,-2.01,-0.14,0.03,0.33,0.32,0,0,1,2014.0
16.46,2.24,1.46,3.28,6.553128,407.6,-20.98,47.43,0.0,0.82,0.78,5128.0,18.9979,42.0792,2,0,-1.71,-0.12,0.87,0.34,0.41,0,0,1,2014.0
1.06,1.06,0.89,0.94,406.3245,1143.7,-23.86,5.6,0.02,0.92,1.12,6004.0,19.6818,50.559,4,0,-2.39,-0.17,-1.16,0.27,0.3,0,0,1,2014.0
5.4,1.21,3.07,3.71,181.1331,933.5,-23.26,10.35,0.08,0.91,1.12,6004.0,19.6818,50.559,4,0,-2.34,-1.12,-0.39,0.28,0.3,0,0,1,2014.0
1.81,1.24,0.94,1.17,103.3214,812.1,-22.71,15.68,0.03,0.92,1.12,6004.0,19.6818,50.559,4,0,-2.29,-0.16,-0.91,0.29,0.3,0,0,1,2014.0
4.34,2.82,0.19,0.55,44.59343,658.4,-23.58,17.79,0.0,0.93,0.94,5574.0,19.3782,38.691,3,0,-2.17,2.48,-0.79,0.23,0.24,0,0,1,2014.0
25.16,2.46,1.68,4.14,11.40811,468.2,-21.8,49.57,0.0,0.93,0.94,5574.0,19.3782,38.691,3,0,-1.89,-0.11,1.13,0.31,0.34,0,0,1,2014.0
5.85,3.1,0.2,0.61,34.31367,616.6,-23.5,23.64,0.0,0.94,0.97,5644.0,19.704,40.2363,2,0,-2.13,2.57,-0.66,0.23,0.24,0,0,1,2014.0
6.75,3.25,0.2,0.64,8.578419,436.0,-22.09,67.09,0.0,0.94,0.97,5644.0,19.704,40.2363,2,0,-1.8,2.63,-0.39,0.24,0.33,0,0,1,2014.0
13.26,2.13,1.38,2.93,128.75,858.2,-24.12,8.59,0.0,0.93,0.94,5678.0,18.9607,41.2375,2,0,-2.3,-0.13,-0.08,0.3,0.26,0,0,1,2014.0
4.31,1.59,1.07,1.7,101.7284,809.1,-23.23,10.22,0.0,0.93,0.94,5678.0,18.9607,41.2375,2,0,-2.28,-0.15,-0.61,0.3,0.29,0,0,1,2014.0
24.64,2.45,1.67,4.09,59.971819999999994,709.0,-23.6,25.67,0.0,1.17,1.23,6065.0,19.5751,41.2728,2,0,-2.23,-0.11,0.57,0.3,0.25,0,0,1,2014.0
4.45,2.84,0.19,0.55,5.593891999999999,391.8,-21.33,151.88,0.0,1.17,1.23,6065.0,19.5751,41.2728,2,0,-1.64,2.49,-0.51,0.25,0.4,0,0,1,2014.0
4.65,1.62,1.09,1.76,94.43606,794.2,-23.19,4.07,0.0,0.73,0.67,4668.0,18.8649,41.322,2,0,-2.2,-0.15,-0.57,0.31,0.29,0,0,1,2014.0
7.56,1.85,1.2,2.21,14.97635,501.2,-21.47,16.28,0.0,0.73,0.67,4668.0,18.8649,41.322,2,0,-1.93,-0.14,0.02,0.34,0.35,0,0,1,2014.0
3.19,2.56,0.19,0.49,686.4189,1304.0,-26.35,3.16,0.0,0.98,1.11,5821.0,19.806,41.388,3,0,-2.4,2.41,-1.13,0.22,0.23,0,0,1,2014.0
25.16,2.46,1.68,4.14,341.088,1094.9,-25.5,5.37,0.0,0.98,1.11,5821.0,19.806,41.388,3,0,-2.37,-0.11,0.14,0.3,0.24,0,0,1,2014.0
2.97,1.43,1.01,1.44,126.9188,855.1,-23.24,11.33,0.0,0.98,1.11,5821.0,19.806,41.388,3,0,-2.3,-0.16,-0.78,0.29,0.29,0,0,1,2014.0
3.06,2.53,0.19,0.48,114.991,834.3,-24.38,14.4,0.0,0.96,1.24,5812.0,19.0231,41.7619,2,0,-2.29,2.4,-0.99,0.22,0.24,0,0,1,2014.0
6.72,1.79,1.17,2.09,52.59488,686.1,-22.77,25.66,0.0,0.96,1.24,5812.0,19.0231,41.7619,2,0,-2.21,-0.14,-0.3,0.31,0.29,0,0,1,2014.0
3.59,1.51,1.04,1.57,92.39582,789.9,-23.01,2.76,0.0,0.58,0.55,4321.0,19.0191,41.8612,2,0,-2.17,-0.15,-0.67,0.31,0.29,0,0,1,2014.0
4.77,1.64,1.09,1.78,6.356714,404.5,-20.26,20.31,0.0,0.59,0.55,4321.0,19.0191,41.8612,2,0,-1.68,-0.15,-0.09,0.37,0.46,0,0,1,2014.0
1.59,1.2,0.93,1.11,230.5103,992.7,-23.5,7.78,0.0,0.94,1.19,5764.0,19.4423,41.8339,3,0,-2.34,-0.17,-1.02,0.28,0.3,0,0,1,2014.0
6.4,1.77,1.16,2.05,113.824,832.2,-23.58,13.14,0.0,0.94,1.19,5764.0,19.4423,41.8339,3,0,-2.29,-0.14,-0.45,0.3,0.28,0,0,1,2014.0
1.54,1.19,0.92,1.1,52.784259999999996,686.7,-21.87,23.44,0.0,0.94,1.19,5764.0,19.4423,41.8339,3,0,-2.2,-0.17,-0.89,0.3,0.32,0,0,1,2014.0
7.12,3.3,0.2,0.65,602.4944,1262.2,-26.76,5.87,0.0,1.22,1.59,5920.0,19.3354,42.166,3,0,-2.4,2.65,-0.93,0.21,0.2,0,0,1,2014.0
4.65,1.62,1.09,1.76,727.2513,1323.0,-25.42,4.23,0.0,1.03,1.31,6092.0,19.5927,42.528,4,0,-2.42,-0.15,-0.83,0.28,0.28,0,0,1,2014.0
2.65,1.39,0.99,1.38,339.7957,1093.8,-24.25,7.47,0.0,1.03,1.31,6092.0,19.5927,42.528,4,0,-2.38,-0.16,-0.92,0.28,0.29,0,0,1,2014.0
1.59,1.2,0.93,1.11,199.893,958.0,-23.35,11.13,0.0,1.03,1.31,6092.0,19.5927,42.528,4,0,-2.35,-0.17,-1.01,0.28,0.3,0,0,1,2014.0
3.31,1.48,1.02,1.52,121.7094,846.2,-23.26,16.26,0.0,1.03,1.31,6092.0,19.5927,42.528,4,0,-2.31,-0.16,-0.73,0.29,0.29,0,0,1,2014.0
17.18,2.26,1.48,3.36,49.201440000000005,674.7,-23.21,16.09,0.0,0.94,0.94,5513.0,19.4113,42.6408,2,0,-2.18,-0.12,0.32,0.31,0.27,0,0,1,2014.0
5.85,3.1,0.2,0.61,13.723770000000002,490.4,-22.5,41.75,0.0,0.94,0.94,5513.0,19.4113,42.6408,2,0,-1.94,2.57,-0.53,0.23,0.29,0,0,1,2014.0
1.86,1.25,0.94,1.18,180.3568,933.6,-23.34,4.14,0.0,0.97,0.82,5123.0,19.0293,43.1685,2,0,-2.29,-0.16,-0.96,0.29,0.3,0,0,1,2014.0
2.04,1.29,0.96,1.23,108.1015,821.5,-22.83,6.04,0.0,0.97,0.82,5123.0,19.0293,43.1685,2,0,-2.25,-0.16,-0.88,0.29,0.3,0,0,1,2014.0
1.14,1.09,0.89,0.97,126.7972,854.9,-22.64,16.26,0.0,1.16,1.46,5852.0,19.1747,43.1417,2,0,-2.3,-0.17,-1.05,0.28,0.3,0,0,1,2014.0
3.92,2.73,0.19,0.52,52.344640000000005,685.3,-23.68,31.81,0.0,1.16,1.46,5852.0,19.1747,43.1417,2,0,-2.21,2.46,-0.84,0.23,0.24,0,0,1,2014.0
19.94,2.34,1.55,3.64,418.5839,1152.4,-25.62,4.82,0.0,0.94,1.2,5696.0,19.3883,44.6472,2,0,-2.37,-0.12,-0.07,0.3,0.24,0,0,1,2014.0
3.38,2.61,0.19,0.5,140.1295,876.6,-24.66,15.66,0.0,1.2,1.35,6169.0,18.9837,44.956,2,0,-2.33,2.42,-0.99,0.22,0.23,0,0,1,2014.0
13.26,2.13,1.38,2.93,62.923519999999996,717.5,-23.34,28.78,0.0,1.18,1.35,6169.0,18.9837,44.956,2,0,-2.24,-0.13,0.07,0.31,0.27,0,0,1,2014.0
4.65,1.62,1.09,1.76,146.3358,886.1,-23.67,9.36,0.0,0.77,1.03,5739.0,19.6649,45.2137,4,0,-2.31,-0.15,-0.63,0.29,0.28,0,0,1,2014.0
6.4,1.77,1.16,2.05,80.86345,764.0,-23.21,14.67,0.0,0.77,1.03,5739.0,19.6649,45.2137,4,0,-2.25,-0.14,-0.4,0.3,0.28,0,0,1,2014.0
21.7,2.39,1.6,3.81,30.16933,597.1,-22.79,30.86,0.0,0.77,1.03,5739.0,19.6649,45.2137,4,0,-2.12,-0.12,0.66,0.31,0.28,0,0,1,2014.0
6.1,1.75,1.14,2.0,10.472489999999999,458.3,-20.95,68.16,0.0,0.77,1.03,5739.0,19.6649,45.2137,4,0,-1.87,-0.14,-0.04,0.35,0.39,0,0,1,2014.0
20.36,2.35,1.57,3.68,314.1457,1072.6,-25.31,7.69,0.0,1.11,1.26,6091.0,19.5819,46.1292,2,0,-2.38,-0.12,0.01,0.3,0.24,0,0,1,2014.0
5.46,3.04,0.2,0.59,106.0004,817.5,-24.68,17.41,0.0,1.11,1.26,6091.0,19.5819,46.1292,2,0,-2.3,2.55,-0.82,0.22,0.22,0,0,1,2014.0
16.11,2.23,1.45,3.24,997.7698,1431.9,-26.46,5.37,0.0,1.27,1.8,6171.0,19.5359,46.2775,3,0,-2.43,-0.12,-0.36,0.29,0.24,0,0,1,2014.0
7.56,1.85,1.2,2.21,532.2027,1223.7,-25.36,8.59,0.0,1.28,1.8,6171.0,19.5359,46.2775,3,0,-2.41,-0.14,-0.61,0.29,0.26,0,0,1,2014.0
2.23,1.32,0.97,1.28,,,,3.89,0.0,,1.8,6171.0,19.5358,46.2775,3,0,,-0.16,,,,0,0,1,2016.0
3.31,1.48,1.02,1.52,436.5845,1164.6,-24.66,3.62,0.0,0.99,1.06,5502.0,19.6942,46.2665,3,0,-2.36,-0.16,-0.88,0.28,0.28,0,0,1,2014.0
6.05,3.14,0.2,0.62,15.020370000000002,501.6,-22.62,44.7,0.0,1.02,1.06,5502.0,19.6942,46.2665,3,0,-1.96,2.59,-0.53,0.23,0.28,0,0,1,2014.0
3.57,2.65,0.19,0.51,,,,124.52,0.0,,1.06,5502.0,19.6942,46.2665,3,0,,2.44,,,,0,0,1,2016.0
4.98,2.95,0.19,0.57,687.1104,1304.4,-26.66,4.59,0.0,1.18,1.49,5786.0,19.2493,46.7626,3,0,-2.4,2.52,-1.03,0.22,0.21,0,0,1,2014.0
9.05,3.57,0.2,0.71,81.99895,766.6,-24.76,22.71,0.0,1.16,1.49,5786.0,19.2493,46.7626,3,0,-2.26,2.76,-0.62,0.22,0.2,0,0,1,2014.0
4.29,2.81,0.19,0.54,30.174390000000002,597.1,-23.15,47.9,0.0,1.17,1.49,5786.0,19.2493,46.7626,3,0,-2.12,2.48,-0.75,0.23,0.26,0,0,1,2014.0
0.43,0.81,0.82,0.66,87.61895,779.5,-21.58,4.16,0.0,0.75,0.67,4632.0,19.4337,46.8958,4,0,-2.19,-0.18,-1.22,0.28,0.3,0,0,1,2014.0
4.09,1.57,1.06,1.66,32.09863,606.4,-21.94,9.03,0.0,0.72,0.67,4632.0,19.4337,46.8958,4,0,-2.07,-0.15,-0.46,0.32,0.32,0,0,1,2014.0
0.8,0.97,0.86,0.84,6.97812,414.1,-19.24,28.12,0.0,0.73,0.67,4632.0,19.4337,46.8958,4,0,-1.72,-0.17,-0.87,0.34,0.47,0,0,1,2014.0
2.3,1.33,0.97,1.29,3.629918,351.7,-19.21,45.9,0.0,0.73,0.67,4632.0,19.4337,46.8958,4,0,-1.47,-0.16,-0.38,0.4,0.59,0,0,1,2014.0
5.68,1.71,1.13,1.93,332.9918,1088.3,-24.69,2.8,0.0,0.72,0.82,5243.0,19.777,46.8353,4,0,-2.33,-0.15,-0.66,0.29,0.27,0,0,1,2014.0
4.86,2.92,0.19,0.57,130.9583,861.8,-24.83,5.69,0.0,0.72,0.82,5243.0,19.777,46.8353,4,0,-2.27,2.51,-0.88,0.22,0.22,0,0,1,2014.0
3.92,2.73,0.19,0.52,60.228,709.7,-23.84,10.04,0.0,0.72,0.82,5243.0,19.777,46.8353,4,0,-2.19,2.46,-0.86,0.23,0.24,0,0,1,2014.0
3.47,2.63,0.19,0.5,26.97431,580.6,-22.88,18.37,0.0,0.72,0.82,5243.0,19.777,46.8353,4,0,-2.08,2.43,-0.81,0.23,0.27,0,0,1,2014.0
6.19,3.16,0.2,0.62,256.8057,1019.9,-25.74,3.94,0.0,0.95,0.87,5433.0,19.1937,46.9378,3,0,-2.33,2.59,-0.88,0.22,0.21,0,0,1,2014.0
19.83,4.64,0.2,0.92,71.45036,740.7,-25.18,10.09,0.0,0.99,0.87,5433.0,19.1937,46.9378,3,0,-2.23,3.24,-0.26,0.2,0.17,0,0,1,2014.0
9.94,3.68,0.2,0.73,18.26174,526.7,-23.19,28.08,0.0,0.99,0.87,5433.0,19.1937,46.9378,3,0,-2.01,2.8,-0.35,0.22,0.25,0,0,1,2014.0
5.4,1.69,1.12,1.89,202.2184,960.7,-24.11,7.38,0.0,0.95,1.02,5829.0,19.8879,47.2795,4,0,-2.34,-0.15,-0.61,0.29,0.28,0,0,1,2014.0
10.17,1.99,1.28,2.56,139.1557,875.0,-24.06,9.85,0.0,0.94,1.02,5829.0,19.8879,47.2795,4,0,-2.31,-0.13,-0.25,0.3,0.26,0,0,1,2014.0
5.16,2.98,0.19,0.58,80.08488,762.1,-24.34,14.79,0.0,0.95,1.02,5829.0,19.8879,47.2795,4,0,-2.26,2.53,-0.81,0.22,0.23,0,0,1,2014.0
22.16,2.4,1.61,3.86,54.980709999999995,693.7,-23.45,19.72,0.0,0.94,1.02,5829.0,19.8879,47.2795,4,0,-2.21,-0.12,0.5,0.31,0.26,0,0,1,2014.0
2.65,1.39,0.99,1.38,182.1642,936.0,-23.57,3.13,0.0,0.74,0.68,5018.0,19.3956,47.3576,4,0,-2.28,-0.16,-0.86,0.29,0.29,0,0,1,2014.0
5.92,3.11,0.2,0.61,78.19418,757.6,-24.41,5.93,0.0,0.74,0.68,5018.0,19.3956,47.3576,4,0,-2.21,2.58,-0.76,0.22,0.22,0,0,1,2014.0
18.31,2.3,1.51,3.47,33.20858,611.6,-22.81,11.35,0.0,0.74,0.68,5018.0,19.3956,47.3576,4,0,-2.1,-0.12,0.48,0.32,0.28,0,0,1,2014.0
9.72,1.97,1.27,2.5,17.10752,518.1,-21.75,18.64,0.0,0.74,0.68,5018.0,19.3956,47.3576,4,0,-1.98,-0.14,0.16,0.33,0.33,0,0,1,2014.0
1.59,1.2,0.93,1.11,12.115219999999999,475.3,-20.29,6.74,0.0,0.52,0.48,3682.0,19.4796,47.4571,2,0,-1.82,-0.17,-0.71,0.34,0.4,0,0,1,2014.0
7.38,1.84,1.19,2.19,3.0836240000000004,337.6,-19.73,18.79,0.0,0.52,0.48,3682.0,19.4796,47.4571,2,0,-1.38,-0.14,0.38,0.41,0.58,0,0,1,2014.0
3.88,1.55,1.05,1.63,250.3841,1013.4,-24.15,3.94,0.0,0.86,0.8,5571.0,19.4917,47.881,3,0,-2.34,-0.15,-0.77,0.29,0.28,0,0,1,2014.0
17.55,2.27,1.49,3.39,164.4169,912.3,-24.53,5.35,0.0,0.86,0.8,5571.0,19.4917,47.881,3,0,-2.31,-0.12,0.05,0.3,0.25,0,0,1,2014.0
1.7,1.22,0.93,1.14,95.75804000000001,797.0,-22.59,8.11,0.0,0.86,0.8,5571.0,19.4917,47.881,3,0,-2.26,-0.17,-0.92,0.29,0.3,0,0,1,2014.0
5.85,3.1,0.2,0.61,154.5499,898.3,-25.14,9.49,0.0,1.08,1.09,5854.0,19.4623,48.1417,2,0,-2.32,2.57,-0.84,0.22,0.21,0,0,1,2014.0
5.46,3.04,0.2,0.59,14.8853,500.4,-22.54,54.42,0.0,1.1,1.09,5854.0,19.4623,48.1417,2,0,-1.97,2.55,-0.57,0.23,0.29,0,0,1,2014.0
3.69,1.52,1.04,1.59,845.2317,1373.7,-25.44,2.57,0.0,1.11,1.01,6043.0,19.7524,48.2247,3,0,-2.42,-0.15,-0.92,0.28,0.28,0,0,1,2014.0
3.77,2.7,0.19,0.52,451.3737,1174.3,-26.01,4.13,0.0,1.1,1.01,6043.0,19.7524,48.2247,3,0,-2.4,2.45,-1.06,0.22,0.22,0,0,1,2014.0
13.05,4.03,0.2,0.8,119.6466,842.6,-25.44,11.09,0.0,1.12,1.01,6043.0,19.7524,48.2247,3,0,-2.31,2.96,-0.53,0.21,0.18,0,0,1,2014.0
15.1,2.2,1.43,3.13,85.47361,774.6,-23.74,6.25,0.0,0.81,0.73,5120.0,19.1333,48.3758,3,0,-2.22,-0.13,0.09,0.31,0.26,0,0,1,2014.0
23.62,4.92,0.2,0.98,24.0018,563.9,-24.12,16.07,0.0,0.83,0.73,5120.0,19.1333,48.3758,3,0,-2.05,3.38,0.05,0.2,0.2,0,0,1,2014.0
11.27,3.84,0.2,0.76,6.788442,411.2,-22.2,41.19,0.0,0.84,0.73,5120.0,19.1333,48.3758,3,0,-1.72,2.87,-0.1,0.23,0.33,0,0,1,2014.0
15.34,4.26,0.2,0.85,16.124129999999997,510.5,-23.37,32.63,0.0,0.87,0.82,5588.0,19.0479,48.5059,2,0,-1.98,3.06,-0.1,0.22,0.24,0,0,1,2014.0
11.12,2.04,1.31,2.68,4.073576999999999,361.9,-20.26,91.77,0.0,0.87,0.82,5588.0,19.0479,48.5059,2,0,-1.51,-0.13,0.64,0.38,0.51,0,0,1,2014.0
5.82,1.72,1.13,1.95,7.921385000000001,427.4,-20.62,10.07,0.0,0.58,0.49,3767.0,19.5982,50.5319,2,0,-1.72,-0.15,-0.01,0.37,0.42,0,0,1,2014.0
8.88,1.93,1.24,2.39,3.337758,344.4,-19.92,19.27,0.0,0.58,0.49,3767.0,19.5982,50.5319,2,0,-1.42,-0.14,0.51,0.4,0.56,0,0,1,2014.0
5.72,3.08,0.2,0.6,338.3593,1092.7,-25.98,4.43,0.0,1.07,0.97,5847.0,19.7211,51.1217,2,0,-2.37,2.57,-0.93,0.22,0.21,0,0,1,2014.0
11.18,3.83,0.2,0.76,96.72147,799.0,-25.09,11.38,0.0,1.06,0.97,5847.0,19.7211,51.1217,2,0,-2.28,2.87,-0.56,0.21,0.19,0,0,1,2014.0
23.62,2.43,1.65,4.0,72.1431,742.5,-23.78,8.47,0.0,0.85,0.76,5360.0,19.7578,51.3195,2,0,-2.22,-0.11,0.48,0.31,0.25,0,0,1,2014.0
3.82,2.71,0.19,0.52,5.1929300000000005,384.6,-21.15,60.42,0.0,0.86,0.76,5360.0,19.7578,51.3195,2,0,-1.62,2.45,-0.56,0.25,0.42,0,0,1,2014.0
8.54,3.51,0.2,0.69,279.7903,1042.0,-26.06,7.21,0.0,1.17,1.11,6224.0,19.4436,38.4947,2,0,-2.38,2.73,-0.79,0.21,0.2,0,0,1,2014.0
16.11,2.23,1.45,3.24,64.98453,723.3,-23.48,3.34,0.0,0.59,0.55,4255.0,19.0719,39.2783,4,0,-2.13,-0.12,0.2,0.32,0.26,0,0,1,2014.0
1.98,1.28,0.95,1.21,21.056520000000003,545.7,-21.03,7.82,0.0,0.59,0.55,4255.0,19.0719,39.2783,4,0,-1.97,-0.16,-0.7,0.32,0.35,0,0,1,2014.0
11.37,2.05,1.32,2.71,5.977144,398.4,-20.69,20.06,0.0,0.59,0.55,4255.0,19.0719,39.2783,4,0,-1.66,-0.13,0.55,0.36,0.44,0,0,1,2014.0
15.76,2.22,1.45,3.21,1.960894,301.5,-19.65,46.18,0.0,0.59,0.55,4255.0,19.0719,39.2783,4,0,-1.15,-0.12,1.24,0.37,0.65,0,0,1,2014.0
4.09,1.57,1.06,1.66,10.92266,463.2,-20.76,8.3,0.0,0.56,0.51,3750.0,18.9244,39.8981,2,0,-1.8,-0.15,-0.28,0.35,0.39,0,0,1,2014.0
10.17,1.99,1.28,2.56,2.648546,325.0,-19.74,23.97,0.0,0.56,0.51,3750.0,18.9244,39.8981,2,0,-1.31,-0.13,0.69,0.4,0.6,0,0,1,2014.0
2.81,1.41,1.0,1.41,103.8765,813.3,-22.99,4.72,0.0,0.7,0.72,4861.0,18.8814,40.4218,2,0,-2.22,-0.16,-0.77,0.3,0.3,0,0,1,2014.0
12.15,2.08,1.34,2.8,51.51582,682.5,-23.08,8.1,0.0,0.7,0.72,4861.0,18.8814,40.4218,2,0,-2.15,-0.13,0.06,0.32,0.28,0,0,1,2014.0
5.82,1.72,1.13,1.95,624.4629,1273.6,-25.39,2.09,0.0,1.43,0.9,5614.0,19.1931,40.6378,5,0,-2.39,-0.15,-0.73,0.29,0.27,0,0,1,2014.0
21.7,2.39,1.6,3.81,151.6234,894.0,-24.55,6.16,0.0,1.43,0.9,5614.0,19.1931,40.6378,5,0,-2.31,-0.12,0.22,0.3,0.24,0,0,1,2014.0
5.66,3.07,0.2,0.6,54.584430000000005,692.5,-23.98,13.23,0.0,1.43,0.9,5614.0,19.1931,40.6378,5,0,-2.2,2.56,-0.73,0.22,0.23,0,0,1,2014.0
199.03,5.61,1.13,6.32,21.87838,551.0,-24.3,23.65,0.0,1.43,0.9,5614.0,19.1931,40.6378,5,0,-2.05,2.16,3.18,0.19,0.19,0,0,1,2013.0
17.8,2.0,2.21,4.43,7.969678,428.1,-20.96,50.45,0.0,1.43,0.9,5614.0,19.1931,40.6378,5,0,-1.78,-0.54,1.06,0.32,0.4,0,0,1,2013.0
19.52,2.33,1.54,3.6,33.48192,612.8,-22.85,11.76,0.0,0.74,0.76,4914.0,19.6135,40.6634,2,0,-2.09,-0.12,0.53,0.32,0.28,0,0,1,2014.0
2.97,2.51,0.19,0.47,4.20715,364.9,-20.75,56.23,0.0,0.74,0.76,4914.0,19.6135,40.6634,2,0,-1.53,2.4,-0.63,0.26,0.47,0,0,1,2014.0
2.51,1.37,0.98,1.34,131.6835,863.0,-23.18,4.14,0.0,0.86,0.74,4985.0,19.4106,40.7503,2,0,-2.25,-0.16,-0.84,0.29,0.29,0,0,1,2014.0
15.1,2.2,1.43,3.13,55.4052,695.1,-23.27,7.95,0.0,0.86,0.74,4985.0,19.4106,40.7503,2,0,-2.17,-0.13,0.19,0.31,0.27,0,0,1,2014.0
19.52,2.33,1.54,3.6,22.22314,553.2,-22.4,12.72,0.0,0.69,0.67,4699.0,19.5275,41.0609,2,0,-2.01,-0.12,0.65,0.32,0.29,0,0,1,2014.0
3.19,2.56,0.19,0.49,5.49715,390.1,-21.09,36.07,0.0,0.69,0.67,4699.0,19.5275,41.0609,2,0,-1.64,2.41,-0.64,0.25,0.42,0,0,1,2014.0
3.38,2.61,0.19,0.5,73.18466,745.2,-23.95,8.2,0.0,0.84,0.85,5020.0,19.1044,41.8084,2,0,-2.2,2.42,-0.92,0.23,0.24,0,0,1,2014.0
10.17,1.99,1.28,2.56,34.64891,618.1,-22.55,14.5,0.0,0.82,0.85,5020.0,19.1044,41.8084,2,0,-2.11,-0.13,0.03,0.32,0.29,0,0,1,2014.0
24.64,2.45,1.67,4.09,123.029,848.5,-24.38,5.72,0.0,0.89,0.84,5228.0,19.0074,42.034,2,0,-2.27,-0.11,0.37,0.3,0.24,0,0,1,2014.0
10.17,1.99,1.28,2.56,23.45385,560.7,-22.12,20.03,0.0,0.89,0.84,5228.0,19.0074,42.034,2,0,-2.05,-0.13,0.11,0.33,0.31,0,0,1,2014.0
4.02,2.76,0.19,0.53,218.5512,979.6,-25.26,4.31,0.0,0.9,0.8,5554.0,19.1495,42.3014,3,0,-2.33,2.46,-0.98,0.22,0.23,0,0,1,2014.0
11.37,2.05,1.32,2.71,72.1863,742.6,-23.41,9.77,0.0,0.92,0.8,5554.0,19.1495,42.3014,3,0,-2.23,-0.13,-0.06,0.31,0.27,0,0,1,2014.0
18.71,2.31,1.52,3.51,27.87643,585.4,-22.63,20.05,0.0,0.91,0.8,5554.0,19.1495,42.3014,3,0,-2.1,-0.12,0.55,0.32,0.28,0,0,1,2014.0
3.19,2.56,0.19,0.49,77.06085,754.8,-23.97,7.49,0.0,0.8,0.8,5100.0,19.4426,42.4363,4,0,-2.21,2.41,-0.94,0.23,0.24,0,0,1,2014.0
14.46,2.17,1.41,3.06,25.26429,571.2,-22.39,17.46,0.0,0.8,0.8,5100.0,19.4426,42.4363,4,0,-2.06,-0.13,0.36,0.32,0.3,0,0,1,2014.0
5.4,3.02,0.2,0.59,9.520238,447.5,-22.05,36.28,0.0,0.8,0.8,5100.0,19.4426,42.4363,4,0,-1.83,2.55,-0.51,0.24,0.33,0,0,1,2014.0
6.1,1.75,1.14,2.0,247.6447,1010.7,-24.4,3.22,0.0,0.8,0.8,5100.0,19.4426,42.4363,4,0,-2.3,-0.14,-0.59,0.3,0.27,0,0,1,2016.0
19.94,2.34,1.55,3.64,167.902,917.1,-24.62,4.6,0.0,0.86,0.83,5206.0,19.7656,42.6634,2,0,-2.29,-0.12,0.13,0.3,0.25,0,0,1,2014.0
3.49,1.5,1.03,1.55,50.30549,678.5,-22.33,11.19,0.0,0.86,0.83,5206.0,19.7656,42.6634,2,0,-2.17,-0.15,-0.6,0.31,0.31,0,0,1,2014.0
4.77,1.64,1.09,1.78,214.2792,974.7,-24.1,3.34,0.0,0.88,0.79,5094.0,19.2428,43.0393,3,0,-2.3,-0.15,-0.67,0.29,0.28,0,0,1,2014.0
