P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. SFlux Mean (EU),P. Teq Mean (K),P. Mag,P. Period (days),P. Eccentricity,S. Mass (SU),S. Radius (SU),S. Teff (K),S. RA (hrs),S. DEC (deg),S. No. Planets,S. No. Planets HZ,P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Year
9.09,1.94,1.25,2.42,17.883960000000002,523.9,-21.76,5.44,0.0,0.53,0.51,3676.0,8.9237,10.4691,2,0,-1.9,-0.14,0.1,0.34,0.33,0,0,1,2017.0
32.11,4.26,0.42,1.77,243.2638,1006.2,-26.33,10.14,0.0,1.07,1.31,6120.0,8.4326,11.5111,1,0,-2.37,2.08,-0.06,0.24,0.17,0,0,1,2016.0
588.19,10.55,0.5,5.28,45.3294,661.1,-26.48,11.39,0.0,0.83,0.83,5027.0,8.5255,11.9223,1,0,-2.14,6.72,3.88,0.11,0.11,0,0,1,2017.0
10.64,2.02,1.3,2.62,21.85776,549.8,-22.07,14.68,0.1,0.8,0.73,4819.0,8.6896,18.9339,1,0,-2.01,-0.13,0.16,0.33,0.31,0,0,1,2016.0
16.46,2.24,1.46,3.28,20.39376,541.4,-22.22,2.64,0.0,0.36,0.35,3385.0,8.6685,19.0929,1,0,-1.91,-0.12,0.52,0.34,0.3,0,0,1,2017.0
27.02,6.12,0.12,0.72,102.7904,811.2,-26.18,19.49,0.0,1.18,1.38,6025.0,9.105,19.4022,1,0,-2.29,4.82,-0.3,0.16,0.14,0,0,1,2018.0
2.37,1.34,0.97,1.31,32.237320000000004,605.9,-21.61,9.92,0.1,0.77,0.71,4695.0,8.6704,19.7788,1,0,-2.07,-0.16,-0.69,0.31,0.33,0,0,1,2016.0
1.7,1.22,0.93,1.14,94.01603,793.3,-22.57,2.22,0.0,0.64,0.61,3903.0,8.4318,20.3596,1,0,-2.13,-0.17,-0.92,0.3,0.3,0,0,1,2017.0
2.58,1.38,0.99,1.36,198.0276,955.7,-23.64,0.96,0.0,0.58,0.55,3672.0,19.5889,-28.4978,1,0,-2.16,-0.16,-0.87,0.3,0.29,0,0,1,2017.0
323.98,12.26,0.18,2.15,257.586,1017.9,-28.71,6.57,0.12,1.0,0.99,5654.0,12.5425,-9.6076,1,0,-2.34,8.35,1.38,0.1,0.08,0,0,1,2017.0
16.11,2.23,1.45,3.24,56.848369999999996,699.6,-23.33,3.68,0.0,0.67,0.65,3978.0,12.6001,-2.6695,2,0,-2.09,-0.12,0.24,0.32,0.27,0,0,1,2017.0
12.42,2.09,1.35,2.83,20.28602,540.7,-22.07,7.95,0.0,0.67,0.65,3978.0,12.6001,-2.6695,2,0,-1.95,-0.13,0.29,0.34,0.31,0,0,1,2017.0
4.74,2.9,0.19,0.56,703.5461,1312.1,-26.65,0.66,0.0,0.67,0.65,4184.0,10.529,0.9376,2,0,-2.26,2.51,-1.05,0.22,0.22,0,0,1,2018.0
0.2,0.64,0.78,0.5,26.02189,575.2,-19.74,7.81,0.04,0.67,0.65,4184.0,10.529,0.9376,2,0,-2.0,-0.19,-1.28,0.3,0.33,0,0,1,2018.0
1.4,1.1,1.06,1.16,8.179411,430.8,-19.67,5.24,0.0,0.4,0.36,3420.0,10.7064,4.4414,3,0,-1.71,-0.33,-0.68,0.35,0.45,0,0,1,2018.0
0.89,1.0,0.9,0.9,4.794621,377.0,-18.88,7.78,0.0,0.4,0.36,3420.0,10.7064,4.4414,3,0,-1.55,-0.21,-0.79,0.36,0.54,0,0,1,2018.0
1.3,1.1,0.99,1.08,3.3901440000000003,345.7,-18.71,10.12,0.0,0.4,0.36,3420.0,10.7064,4.4414,3,0,-1.42,-0.26,-0.6,0.39,0.61,0,0,1,2018.0
2.71,1.4,0.99,1.39,271.7266,1034.4,-24.02,2.47,0.0,0.8,0.74,4950.0,15.3653,-20.2317,3,0,-2.3,-0.16,-0.89,0.29,0.29,0,0,1,2018.0
2.3,1.33,0.97,1.3,66.85909000000001,728.5,-22.39,,0.0,0.8,0.74,4950.0,15.3653,-20.2317,3,0,-2.19,-0.16,-0.79,0.3,0.31,0,0,1,2018.0
3.49,2.64,0.19,0.5,12.82168,482.1,-22.07,24.37,0.0,0.8,0.74,4950.0,15.3653,-20.2317,3,0,-1.91,2.43,-0.72,0.24,0.32,0,0,1,2018.0
4.61,1.8,0.79,1.42,4.104029,362.6,-20.0,20.52,0.0,0.58,0.54,3810.0,15.19,17.8753,2,0,-1.51,0.24,-0.11,0.4,0.52,0,0,1,2018.0
5.37,1.69,1.12,1.88,9.351799,445.0,-20.76,8.71,0.08,0.52,0.5,3685.0,14.0175,-2.655,1,0,-1.76,-0.15,-0.1,0.36,0.4,0,0,1,2016.0
15.9,4.31,0.2,0.86,7.195361999999999,417.2,-22.51,5.37,0.03,0.31,0.3,3498.0,15.3239,-7.7222,3,0,-1.68,3.08,0.09,0.22,0.38,0,0,1,2005.0
5.4,1.69,1.12,1.89,2.27422,312.6,-19.22,12.92,0.07,0.31,0.3,3498.0,15.3239,-7.7222,3,0,-1.24,-0.15,0.22,0.44,0.66,0,0,1,2007.0
12.72,12.66,0.01,0.08,17.52007,520.7,-25.84,4.69,0.07,0.35,0.42,3600.0,17.4778,-46.8953,1,0,-1.89,17.0,-0.88,0.06,0.13,0,0,1,2007.0
1.62,1.15,1.06,1.22,18.534470000000002,528.6,-20.67,1.63,0.0,0.18,0.21,3270.0,10.2478,-47.1567,2,0,-1.88,-0.31,-0.73,0.33,0.36,0,0,1,2015.0
13.91,4.19,0.19,0.79,36.02943,624.2,-24.21,3.34,0.0,0.54,0.55,3600.0,7.985,15.3917,1,0,-2.01,3.1,-0.32,0.21,0.2,0,0,1,2012.0
8.27,1.89,1.22,2.31,24.37066,565.4,-22.05,2.65,0.08,0.45,0.43,3314.0,10.9764,-31.1442,1,0,-1.93,-0.14,-0.03,0.34,0.31,0,0,1,2011.0
7.15,1.82,1.18,2.16,20.344260000000002,539.6,-21.78,6.91,0.12,0.63,0.61,3867.0,16.1508,52.9439,1,0,-1.94,-0.14,-0.08,0.34,0.32,0,0,1,2017.0
2.47,1.36,0.98,1.33,49.1577,674.6,-22.09,2.65,0.0,0.5,0.49,3722.0,17.2669,11.0583,2,0,-2.05,-0.16,-0.73,0.31,0.31,0,0,1,2016.0
6.26,1.76,1.15,2.02,5.2255199999999995,385.0,-20.21,13.74,0.05,0.5,0.49,3722.0,17.2669,11.0583,2,0,-1.59,-0.14,0.13,0.38,0.48,0,0,1,2016.0
8.2,1.64,1.88,3.07,279.953,1042.1,-24.39,1.21,0.0,0.66,0.65,4255.0,23.4736,-1.2864,3,0,-2.23,-0.6,-0.39,0.3,0.28,0,0,1,2017.0
2.51,1.29,1.18,1.51,64.37907,721.7,-22.27,3.65,0.0,0.66,0.65,4255.0,23.4736,-1.2864,3,0,-2.13,-0.36,-0.72,0.31,0.31,0,0,1,2017.0
3.82,2.08,0.42,0.88,31.70406,604.5,-22.55,6.2,0.0,0.66,0.65,4255.0,23.4736,-1.2864,3,0,-2.04,1.06,-0.67,0.29,0.29,0,0,1,2017.0
166.92,14.77,0.05,0.76,512.5095,1211.2,-29.86,4.47,0.07,1.15,1.17,5980.0,22.9631,38.675,1,0,-2.4,11.43,0.14,0.08,0.06,0,0,1,2006.0
187.9,9.26,0.24,2.19,285.4121,1047.2,-28.2,2.9,0.0,0.92,0.8,5224.0,13.7397,48.0286,1,0,-2.32,5.8,0.96,0.14,0.1,0,0,1,2007.0
337.02,14.02,0.12,1.71,879.6064,1387.4,-30.33,2.79,0.0,1.16,1.14,5960.0,18.2937,36.6214,1,0,-2.42,10.0,0.81,0.09,0.07,0,0,1,2007.0
213.02,15.68,0.06,0.87,904.8588,1397.3,-30.61,3.92,0.0,1.28,1.32,6350.0,7.3444,37.1406,1,0,-2.44,11.98,0.18,0.08,0.06,0,0,1,2008.0
66.92,10.69,0.05,0.59,139.3912,875.4,-27.73,3.21,0.0,0.73,0.7,4650.0,13.9594,43.4936,1,0,-2.23,8.75,-0.09,0.1,0.09,0,0,1,2009.0
58.18,10.61,0.05,0.52,83.49763,768.5,-27.16,5.51,0.11,0.77,0.72,4870.0,17.09,33.0125,1,0,-2.2,8.95,-0.1,0.1,0.09,0,0,1,2010.0
682.62,12.1,0.39,4.67,447.4767,1171.7,-29.27,3.21,0.02,0.92,1.04,5302.0,10.3789,50.1283,1,0,-2.35,8.25,2.51,0.1,0.08,0,0,1,2010.0
18.61,6.32,0.07,0.47,162.8355,907.4,-26.76,4.23,0.12,0.82,0.79,5079.0,14.2104,4.06,1,0,-2.27,5.85,-0.63,0.14,0.13,0,0,1,2010.0
209.84,11.82,0.13,1.5,352.5828,1102.7,-28.96,3.04,0.08,0.94,0.9,5300.0,14.8511,5.9472,1,0,-2.34,8.22,0.72,0.1,0.08,0,0,1,2011.0
371.67,13.19,0.16,2.14,440.3451,1166.3,-29.45,2.8,0.06,0.93,0.88,5500.0,18.9531,51.2692,1,0,-2.36,9.18,1.27,0.09,0.07,0,0,1,2012.0
309.99,14.3,0.11,1.52,689.2173,1305.4,-30.11,4.64,0.0,1.18,1.53,5743.0,9.0231,6.0972,1,0,-2.4,10.31,0.76,0.09,0.06,0,0,1,2012.0
209.84,14.37,0.07,1.02,565.8174,1242.6,-29.9,3.33,0.0,1.05,1.1,5645.0,8.595,10.2067,1,0,-2.38,10.72,0.37,0.08,0.06,0,0,1,2012.0
156.74,14.38,0.05,0.76,742.3782,1326.1,-30.21,4.46,0.12,1.28,1.4,6120.0,18.0297,-2.9708,2,0,-2.42,11.13,0.02,0.08,0.06,0,0,1,2013.0
635.88,11.26,0.45,5.02,16.37738,512.5,-25.51,77.7,0.0,1.28,1.4,6120.0,18.0297,-2.9708,2,0,-1.99,7.42,4.69,0.1,0.16,0,0,1,2013.0
241.63,10.57,0.2,2.16,75.04971,749.1,-27.03,3.8,0.07,0.65,0.62,4390.0,6.6599,25.4825,1,0,-2.15,6.9,1.64,0.12,0.1,0,0,1,2014.0
589.78,14.58,0.19,2.77,586.4362,1250.3,-29.98,3.45,0.12,0.99,1.04,5870.0,11.7017,-23.3547,1,0,-2.4,10.5,1.74,0.08,0.06,0,0,1,2012.0
