p_mass,p_radius,p_period,p_semi_major_axis,p_eccentricity,p_angular_distance,p_impact_parameter,s_ra,s_dec,s_mag,s_distance,s_metallicity,s_mass,s_radius,s_temperature,s_log_g,p_hill_sphere,p_distance,p_periastron,p_apastron,p_distance_eff,p_flux,p_temp_equil,p_type,s_radius_est,s_ra_h,s_ra_t,s_dec_t,s_luminosity,s_snow_line,s_abio_zone,s_tidal_lock,p_habzone_opt,p_habzone_con,p_type_temp,p_habitable,p_esi,p_radius_est,p_mass_est,p_semi_major_axis_est
3972.85,,,230.0,,3110.0,,339.1022,47.86182,12.51,74.0,,0.6,,4045.0,,43.201288,230.0,230.0,230.0,230.00001,,,Jovian,,22.606815,22 36 24.5330,+47 51 42.5520,,,0.087145494,0.21190382,0,0,,0,,12.318663,3972.85,230.0
4392.383,,335.10001,0.99,0.29,22.1,,39.240584999999996,24.648064,6.962,44.71,0.19,1.93,1.41,6331.0,4.43,0.092482534,1.0316295,0.7029,1.2771,1.0007065999999998,3.050856,331.24213,Jovian,1.41,2.6160391,02 36 57.7409,+24 38 53.0304,2.8616474,4.5674293,6.531395,0.57438563,0,0,Hot,0,0.30089651,12.26437,4392.383,0.99
2256.5788,,269.3,0.87,0.432,11.8,,130.05341,64.327934,4.61,73.58,-0.25,1.23,18.11,4415.0,1.8,0.060511037999999996,0.95118144,0.49416,1.24584,0.8916605,163.55514,877.01545,Jovian,18.11,8.6702275,08 40 12.8191,+64 19 40.5624,111.64733999999999,28.529093,0.20903862,0.49436657,0,0,Hot,0,0.076992961,12.629095,2256.5788,0.87
1233.1727,,479.1,1.19,0.38,13.1,,276.4964,65.563484,4.82,90.86,-0.46,0.98,22.03,4200.0,1.71,0.079675195,1.275918,0.7378,1.6422,1.2125726000000001,103.29647,789.07763,Jovian,22.03,18.433094,18 25 59.1392,+65 33 48.5424,135.3053,31.406617999999998,0.13394243,0.51702463,0,0,Hot,0,0.07908401,12.969374,1233.1727,1.19
804.10485,,1078.0,2.1,0.032,152.0,,164.86656000000002,40.430256,5.05,13.8,0.0,1.03,1.23,5892.0,4.27,0.18722838,2.1010752,2.0328,2.1672,2.1002691,0.37062414,198.7444,Jovian,1.23,10.991105000000001,10 59 27.9769,+40 25 48.9216,1.6336153999999998,3.4509501000000005,2.4920312,0.50318118,1,1,Warm,0,0.31106267,13.215704,804.10485,2.1
171.62712,,2391.0,3.6,0.098,261.0,,164.86656000000002,40.430256,5.05,13.8,0.0,1.03,1.23,5892.0,4.27,0.17873536,3.6172872000000003,3.2472,3.9528,3.6043355000000004,0.12666026,151.71194,Jovian,1.23,10.991105000000001,10 59 27.9769,+40 25 48.9216,1.6336153999999998,3.4509501000000005,2.4920312,0.50318118,0,0,Cold,0,0.17714066,14.144978,171.62712,3.6
521.23792,,14002.0,11.6,0.16,840.0,,164.86656000000002,40.430256,5.05,13.8,0.0,1.03,1.23,5892.0,4.27,0.77670377,11.74848,9.744,13.456,11.637436,0.01229887,84.431345,Jovian,1.23,10.991105000000001,10 59 27.9769,+40 25 48.9216,1.6336153999999998,3.4509501000000005,2.4920312,0.50318118,0,0,Cold,0,0.079493064,13.470213000000001,521.23792,11.6
,,11688.0,12.0,0.45,408.0,,69.40055100000001,-2.473548,5.23,29.4,-0.027,1.75,,,,,13.215,6.6,17.4,12.326111000000001,,,,,4.626703599999999,04 37 36.1331,-02 28 24.7728,,,,0.2245997,0,0,,0,,0.0,0.0,12.0
150.01482,,4.230785,0.0527,0.013,3.41,,344.36658,20.768832999999997,5.5,15.47,0.2,1.12,1.2,5793.0,4.33,0.0026620631,0.052704453,0.0520149,0.0533851,0.05270112,523.21565,1218.432,Jovian,1.2,22.957773,22 57 27.9828,+20 46 07.7988,1.4529988,3.2545908,2.1617961,0.46806645,0,0,Hot,0,0.065394653,14.228992000000002,150.01482,0.0527
263.98794,,14.651520000000001,0.115227,0.0034,9.15,,133.14921999999999,28.330818,5.96,12.59,0.31,0.91,0.94,5196.0,4.45,0.0076039848,0.11522767,0.11483523,0.11561877,0.11522717,43.462522,654.14301,Jovian,0.94,8.8766149,08 52 35.8135,+28 19 50.9448,0.57705994,2.0510405,0.72330826,0.51051127,0,0,Hot,0,0.088599759,13.879517000000002,263.98794,0.115227
54.475719999999995,,44.4175,0.241376,0.02,19.2,,133.14921999999999,28.330818,5.96,12.59,0.31,0.91,0.94,5196.0,4.45,0.0092560542,0.24142428,0.23654848,0.24620352,0.24138808,9.9064859,451.95192000000003,Jovian,0.94,8.8766149,08 52 35.8135,+28 19 50.9448,0.57705994,2.0510405,0.72330826,0.51051127,0,0,Hot,0,0.19669217,8.5133162,54.475719999999995,0.241376
1232.537,,4825.0,5.503,0.019,437.0,,133.14921999999999,28.330818,5.96,12.59,0.31,0.91,0.94,5196.0,4.45,0.59745691,5.503993299999999,5.398443,5.607557,5.5032484,0.019059008,94.654352,Jovian,0.94,8.8766149,08 52 35.8135,+28 19 50.9448,0.57705994,2.0510405,0.72330826,0.51051127,0,0,Cold,0,0.08875056,12.969667,1232.537,5.503
8.0791878,1.9057,0.736539,0.01544,,1.23,0.41,133.14921999999999,28.330818,5.96,12.59,0.31,0.91,0.94,5196.0,4.45,0.00031979715,0.01544,0.01544,0.01544,0.01544,2420.6184,1787.008,Superterran,0.94,8.8766149,08 52 35.8135,+28 19 50.9448,0.57705994,2.0510405,0.72330826,0.51051127,0,0,Hot,0,0.2598972,1.9057,8.0791878,0.01544
44.813748,,262.0,0.788,0.305,62.6,,133.14921999999999,28.330818,5.96,12.59,0.31,0.91,0.94,5196.0,4.45,0.020079498,0.82465185,0.54766,1.02834,0.79745557,0.97582251,248.65482999999998,Neptunian,0.94,8.8766149,08 52 35.8135,+28 19 50.9448,0.57705994,2.0510405,0.72330826,0.51051127,1,1,Warm,0,0.45748768,7.5885086,44.813748,0.788
638.83429,,934.3,2.11,0.073,38.5,,97.696281,58.162631999999995,5.86,54.74,,1.44,5.2,4938.0,3.19,0.14921849,2.1156221,1.95597,2.26403,2.1114081000000002,3.244106,341.57316000000003,Jovian,5.2,6.5130857,06 30 47.1087,+58 09 45.4752,14.404549,10.247398,0.54108483,0.5209611,0,0,Hot,0,0.28576359,13.350175,638.83429,2.11
5.085248,,4.215,0.050201,0.12,5.9,,199.60132,-18.311195,4.74,8.51,-0.01,0.94,0.96,5577.0,4.34,0.0007757259599999999,0.050562447,0.04417688,0.05622512,0.050291794,319.27036,1074.0012,Superterran,0.96,13.306754999999999,13 18 24.3188,-18 18 40.3020,0.79879197,2.4131294,1.4069863,0.50503188,0,0,Hot,0,0.25355145,2.1061682999999998,5.085248,0.050201
18.116196,,38.021,0.2175,0.14,25.6,,199.60132,-18.311195,4.74,8.51,-0.01,0.94,0.96,5577.0,4.34,0.0050163669,0.2196315,0.18705,0.24795,0.21803635,17.0535,515.80897,Neptunian,0.96,13.306754999999999,13 18 24.3188,-18 18 40.3020,0.79879197,2.4131294,1.4069863,0.50503188,0,0,Hot,0,0.22814035,4.4511957,18.116196,0.2175
22.883616,,123.01,0.476,0.35,56.0,,199.60132,-18.311195,4.74,8.51,-0.01,0.94,0.96,5577.0,4.34,0.0089695593,0.505155,0.3094,0.6426,0.4835999,3.7635373,346.34605,Neptunian,0.96,13.306754999999999,13 18 24.3188,-18 18 40.3020,0.79879197,2.4131294,1.4069863,0.50503188,0,0,Hot,0,0.37195088,5.1078157,22.883616,0.476
