P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. SFlux Mean (EU),P. Teq Mean (K),P. Mag,P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,S. Mass (SU),S. Radius (SU),S. Teff (K),S. RA (hrs),S. DEC (deg),S. No. Planets,S. No. Planets HZ,P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
1RXS 1609 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4451.16,19.04,0.64,12.28,4.079751e-06,11.4,-10.06,,330.0,0.0,0.73,1.35,4060.0,16.1583,-21.0828,1,0,800.07,23.51,85.62,0.0,0.05,0,0,1,Imaging,2008.0
1SWASP J1407 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,6358.8,10.94,4.86,53.12,0.02166914,97.7,-18.21,3725.0,3.9,0.0,0.9,0.99,4400.0,14.13,-39.7619,1,0,9.07,15.3,45.41,0.02,0.07,0,0,1,Primary Transit,2012.0
2M 0103-55(AB) b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4133.22,11.4,2.79,31.79,3.961934e-06,11.4,-8.91,,84.0,0.0,0.4,0.38,3840.0,1.06,-55.2656,1,0,793.67,12.57,107.44,0.0,0.06,0,0,1,Imaging,2013.0
2M 0122-24 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,6358.8,11.2,4.53,50.69,1.033854e-05,14.4,-9.92,,52.0,0.0,0.4,0.38,3840.0,1.3808,-24.6142,1,0,490.45,15.72,119.46,0.0,0.08,0,0,1,Imaging,2013.0
2M 0219-39 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4419.37,16.13,1.05,16.99,2.3687720000000002e-07,5.6,-6.6,,156.0,0.0,0.11,0.27,3064.0,2.3228,-39.4231,1,0,3028.82,19.46,133.25,0.0,0.06,0,0,1,Imaging,2015.0
2M 0441+23 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,2384.55,11.66,1.5,17.53,1.264487e-07,4.8,-5.21,,15.0,0.0,0.02,0.01,3840.0,4.6958,23.0308,1,0,4453.14,10.21,124.39,0.0,0.07,0,0,1,Imaging,2010.0
2M 0746+20 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,9538.2,10.86,7.44,80.81,2.29189e-05,16.8,-10.87,4640.0,2.897,0.49,0.12,0.09,2205.0,7.7786,20.0089,1,0,325.42,20.19,132.41,0.0,0.08,0,0,1,Imaging,2010.0
2M 1207-39 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,1271.76,11.66,0.8,9.36,2.7361939999999998e-08,3.3,-3.53,,46.0,0.0,0.03,0.02,3840.0,12.1258,-39.5483,1,0,9575.68,8.56,109.81,0.0,0.08,0,0,1,Imaging,2004.0
2M 1938+46 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,604.09,11.21,0.43,4.81,0.1531191,159.4,-20.4,416.0,0.92,0.0,0.6,,,19.6425,46.0664,1,0,2.51,7.35,9.51,0.08,0.24,0,0,1,Pulsar,2015.0
2M 2140+16 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,6358.8,10.3,5.81,59.89,2.086658e-05,17.0,-10.54,7340.0,3.53,0.26,0.08,0.1,2300.0,21.6747,16.4217,1,0,316.89,14.27,113.5,0.0,0.08,0,0,1,Imaging,2010.0
2M 2206-20 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,9538.2,14.56,3.09,44.99,1.649645e-05,16.2,-11.0,8686.0,4.48,0.0,0.13,0.11,2350.0,22.1064,-20.785,1,0,347.42,27.82,121.07,0.0,0.06,0,0,1,Imaging,2010.0
2M 2236+4751 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,3974.25,11.43,2.66,30.4,7.434049e-07,7.5,-7.09,,230.0,0.0,0.6,0.25,5150.0,22.6069,47.8619,1,0,2122.87,12.37,130.05,0.0,0.06,0,0,1,Imaging,2016.0
2MASS J1450-7841 Ab,Cold,Jovian,gas,hydrogen-rich,non-habitable,12717.6,9.75,13.73,133.83,1.556766e-09,1.6,-0.02,,300.0,0.0,0.04,0.03,3840.0,14.8447,-78.6939,1,0,40152.3,22.78,550.24,0.0,0.04,0,0,1,Imaging,2017.0
2MASS J1450-7841 Bb,Cold,Jovian,gas,hydrogen-rich,non-habitable,12717.6,9.75,13.73,133.83,1.556766e-09,1.6,-0.02,,300.0,0.0,0.04,0.03,3840.0,14.845,-78.6947,1,0,40152.3,22.78,550.24,0.0,0.04,0,0,1,Imaging,2017.0
2MASS J2250+2325 b,,Jovian,gas,,non-habitable,9538.2,10.3,8.73,89.9,,,,,518.0,0.0,,,3840.0,22.8375,23.4261,1,0,,19.03,,,,0,0,1,Imaging,2017.0
2MASS J11193254 AB b,,Jovian,gas,,non-habitable,1176.38,11.64,0.75,8.68,,,,32850.0,,0.0,,,,11.3257,-11.6296,1,0,,8.41,,,,0,0,1,Imaging,2017.0
2M J2126-81 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4228.6,11.38,2.87,32.62,7.824422e-09,2.4,-2.12,,6900.0,0.0,0.4,1.39,3840.0,21.4244,-81.6411,1,0,17908.75,12.7,238.96,0.0,0.06,0,0,1,Imaging,2016.0
4 Uma b,Hot,Jovian,gas,hydrogen-rich,non-habitable,2257.37,11.67,1.42,16.57,163.7823,877.3,-28.21,269.3,0.87,0.43,1.23,18.11,4415.0,8.6703,64.3281,1,0,-2.21,10.03,7.06,0.07,0.07,0,0,1,Radial Velocity,2007.0
6 Lyn b,Hot,Jovian,,,non-habitable,21874.27,,,,3.106028,337.1,,899.0,2.2,0.13,1.7,5.2,4978.0,6.5131,58.1628,1,0,-1.38,,,,0.25,0,0,1,Radial Velocity,2008.0
7 CMa b,Warm,Jovian,gas,hydrogen-rich,non-habitable,782.13,11.44,0.52,5.98,0.6887656,230.0,-22.11,796.0,1.93,0.22,1.52,2.3,4792.0,6.6114,-19.2558,1,1,-0.23,7.72,8.73,0.08,0.42,0,0,1,Radial Velocity,2011.0
8 Umi b,Hot,Jovian,gas,hydrogen-rich,non-habitable,476.91,10.92,0.37,4.0,202.5754,960.5,-28.19,93.4,0.49,0.06,1.8,9.9,4847.4,14.9467,74.9008,1,0,-2.27,7.02,2.39,0.11,0.11,0,0,1,Radial Velocity,2015.0
11 Com b,Hot,Jovian,gas,hydrogen-rich,non-habitable,6168.04,10.98,4.66,51.15,101.1515,799.7,-27.47,326.03,1.29,0.23,2.7,19.0,4742.0,12.3453,17.7928,1,0,-2.21,15.07,14.33,0.05,0.06,0,0,1,Radial Velocity,2008.0
11 Oph b,Cold,Jovian,gas,hydrogen-rich,non-habitable,6676.74,10.87,5.19,56.47,2.967563e-10,1.1,1.55,730000.0,243.0,0.0,0.02,0.02,2375.0,16.3736,-24.0872,1,0,82422.85,15.68,464.12,0.0,0.05,0,0,1,Imaging,2007.0
11 UMi b,Hot,Jovian,gas,hydrogen-rich,non-habitable,3338.37,11.54,2.17,25.05,78.07545999999999,756.4,-27.27,516.22,1.54,0.08,1.8,24.08,4340.0,15.285,71.8239,1,0,-2.15,11.54,10.21,0.06,0.07,0,0,1,Radial Velocity,2009.0
14 And b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1694.62,11.68,1.06,12.41,84.56341,772.6,-27.38,185.84,0.83,0.0,2.2,11.0,4813.0,23.5214,39.2361,1,0,-2.2,9.2,6.65,0.08,0.09,0,0,1,Radial Velocity,2008.0
14 Her b,Cold,Jovian,gas,hydrogen-rich,non-habitable,1475.24,11.68,0.93,10.82,0.05017497,117.3,-19.35,1773.4,2.77,0.37,0.9,0.71,5311.0,16.1731,43.8217,1,0,6.36,8.87,17.88,0.05,0.13,0,0,1,Radial Velocity,2002.0
16 Cyg B b,Cold,Jovian,gas,hydrogen-rich,non-habitable,534.14,11.06,0.39,4.36,0.4656991,187.6,-21.94,799.5,1.68,0.69,1.01,0.98,5766.0,19.6975,50.5175,1,0,1.15,7.17,7.16,0.09,0.39,0,0,1,Radial Velocity,1996.0
18 Del b,Hot,Jovian,gas,hydrogen-rich,non-habitable,3274.78,11.55,2.12,24.53,5.912127,396.8,-24.46,993.3,2.6,0.08,2.3,8.5,4979.0,20.9739,10.8392,1,0,-1.67,11.45,14.59,0.05,0.2,0,0,1,Radial Velocity,2008.0
24 Boo b,Hot,Jovian,gas,metals-rich,non-habitable,289.33,10.09,0.28,2.84,1614.1729999999998,1614.3,-30.28,30.35,0.19,0.04,0.99,10.64,4893.0,14.4775,49.845,1,0,-2.36,6.34,0.85,0.13,0.12,0,0,1,Radial Velocity,2018.0
24 Sex b,Hot,Jovian,gas,hydrogen-rich,non-habitable,632.7,11.25,0.44,5.0,8.222184,430.8,-24.76,452.8,1.333,0.09,1.54,4.9,5098.0,10.3911,0.9022,2,0,-1.78,7.41,5.25,0.1,0.21,0,0,1,Radial Velocity,2010.0
24 Sex c,Hot,Jovian,gas,hydrogen-rich,non-habitable,273.43,9.99,0.27,2.74,3.514242,343.2,-23.61,883.0,2.08,0.29,1.54,4.9,5098.0,10.3911,0.9022,2,0,-1.42,6.26,3.66,0.12,0.35,0,0,1,Radial Velocity,2010.0
30 Ari B b,Hot,Jovian,gas,hydrogen-rich,non-habitable,3141.25,11.58,2.03,23.44,2.531428,316.2,-23.58,335.1,0.995,0.29,1.22,1.23,6484.0,2.6161,24.6481,1,0,-1.15,11.27,15.94,0.05,0.31,0,0,1,Radial Velocity,2009.0
38 Vir b,Warm,Jovian,gas,hydrogen-rich,non-habitable,1433.91,11.68,0.9,10.52,1.053172,258.0,-22.59,825.9,1.82,0.03,1.18,1.45,6557.0,12.8864,-3.5531,1,1,-0.45,8.8,11.61,0.06,0.41,0,1,1,Primary Transit,2016.0
42 Dra b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1233.61,11.65,0.78,9.09,103.4399,789.4,-27.68,479.1,1.19,0.38,0.98,22.03,4200.0,18.4331,65.5636,1,0,-2.16,8.5,5.18,0.09,0.09,0,0,1,Radial Velocity,2009.0
47 Uma b,Warm,Jovian,gas,hydrogen-rich,non-habitable,804.39,11.46,0.53,6.13,0.3771968,199.6,-21.43,1078.0,2.1,0.03,1.03,1.24,5892.0,10.9914,40.4294,3,1,0.76,7.77,9.73,0.07,0.35,0,0,1,Radial Velocity,1996.0
47 Uma c,Cold,Jovian,gas,hydrogen-rich,non-habitable,171.69,9.01,0.23,2.11,0.1289065,152.4,-19.74,2391.0,3.6,0.1,1.03,1.24,5892.0,10.9914,40.4294,3,1,3.08,5.63,5.1,0.11,0.27,0,0,1,Radial Velocity,2001.0
47 Uma d,Cold,Jovian,gas,hydrogen-rich,non-habitable,521.42,11.03,0.39,4.28,0.01251699,84.8,-17.65,14002.0,11.6,0.16,1.03,1.24,5892.0,10.9914,40.4294,3,1,15.47,7.14,12.64,0.05,0.12,0,0,1,Radial Velocity,2010.0
51 Eri b,Cold,Jovian,gas,hydrogen-rich,non-habitable,2893.25,12.43,1.51,18.72,0.02944644,104.7,-18.85,14965.0,14.0,0.21,1.75,1.49,7300.0,4.6267,-2.4735,1,0,10.57,11.9,26.9,0.03,0.1,0,0,1,Imaging,2015.0
51 Peg b,Hot,Jovian,gas,metals-rich,non-habitable,149.43,21.28,0.02,0.33,598.9285,1260.3,-30.82,4.23,0.052,0.01,1.11,1.27,5793.0,22.9575,20.7686,1,0,-2.4,18.21,-0.29,0.05,0.05,0,0,1,Radial Velocity,1995.0
55 Cnc b,Hot,Jovian,gas,hydrogen-rich,non-habitable,267.07,9.94,0.27,2.7,45.23154,660.7,-26.34,14.65,0.1134,0.0,0.91,0.94,5196.0,8.8769,28.3339,5,1,-2.15,6.23,2.17,0.13,0.15,0,0,1,Radial Velocity,1996.0
55 Cnc c,Hot,Jovian,gas,metals-rich,non-habitable,56.72,6.56,0.2,1.32,10.34999,456.5,-23.83,44.37,0.2374,0.07,0.91,0.94,5196.0,8.8769,28.3339,5,1,-1.86,4.23,0.93,0.17,0.28,0,0,1,Radial Velocity,2002.0
55 Cnc d,Cold,Jovian,gas,hydrogen-rich,non-habitable,1227.25,11.65,0.78,9.04,0.01961515,95.3,-18.24,4867.0,5.446,0.03,0.91,0.94,5196.0,8.8769,28.3339,5,1,10.73,8.49,18.59,0.04,0.1,0,0,1,Radial Velocity,2002.0
55 Cnc e,Hot,Superterran,rocky-water,metals-rich,non-habitable,8.1,1.99,1.03,2.05,2440.741,1790.4,-27.18,0.74,0.0154,0.03,0.91,0.94,5196.0,8.8769,28.3339,5,1,-2.39,0.06,-0.81,0.28,0.26,0,0,1,Primary Transit,2004.0
55 Cnc f,Warm,Neptunian,gas,hydrogen-rich,non-habitable,47.02,6.17,0.2,1.23,0.9756365,252.9,-21.12,260.91,0.7733,0.08,0.91,0.94,5196.0,8.8769,28.3339,5,1,-0.56,4.03,1.62,0.19,0.6,0,0,1,Radial Velocity,2007.0
61 Vir b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.09,1.66,1.1,1.84,296.5414,1054.4,-24.5,4.21,0.0502,0.12,0.95,0.94,5531.0,13.3067,-18.3111,3,0,-2.35,-0.15,-0.69,0.29,0.27,0,0,1,Radial Velocity,2009.0
61 Vir c,Hot,Neptunian,gas,metals-rich,non-habitable,18.22,4.51,0.2,0.9,15.83946,506.4,-23.48,38.02,0.2175,0.14,0.95,0.94,5531.0,13.3067,-18.3111,3,0,-1.97,3.18,-0.01,0.21,0.3,0,0,1,Radial Velocity,2009.0
61 Vir d,Hot,Neptunian,gas,metals-rich,non-habitable,22.89,4.87,0.2,0.97,3.4956199999999997,340.0,-22.06,123.01,0.476,0.35,0.95,0.94,5531.0,13.3067,-18.3111,3,0,-1.38,3.36,0.5,0.21,0.48,0,0,1,Radial Velocity,2009.0
70 Vir b,Hot,Jovian,gas,hydrogen-rich,non-habitable,2098.4,11.68,1.32,15.39,14.5443,479.1,-25.57,116.67,0.48,0.43,0.92,1.97,5432.0,13.4739,13.7867,1,0,-1.91,9.8,9.74,0.07,0.14,0,0,1,Radial Velocity,1996.0
75 Cet b,Hot,Jovian,gas,hydrogen-rich,non-habitable,953.82,11.56,0.62,7.14,12.369819999999999,477.8,-25.26,691.9,2.1,0.0,2.49,10.5,4846.0,2.5358,-1.035,1,0,-1.89,8.04,6.3,0.09,0.17,0,0,1,Radial Velocity,2012.0
81 Cet b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1685.08,11.68,1.06,12.34,25.0215,565.2,-26.07,952.7,2.5,0.21,2.4,18.0,4790.0,2.6283,-3.3961,1,0,-2.03,9.18,7.97,0.08,0.12,0,0,1,Radial Velocity,2008.0
91 Aqr b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1017.41,11.59,0.65,7.57,63.41486,718.8,-27.05,181.4,0.7,0.03,2.5,8.55,4665.0,23.2647,-9.0875,1,0,-2.16,8.15,5.03,0.09,0.1,0,0,1,Radial Velocity,2003.0
AB Pic b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4292.19,11.37,2.92,33.19,6.354142000000001e-06,12.8,-9.42,,275.0,0.0,,0.98,4875.0,6.32,-58.0542,1,0,701.84,12.78,103.28,0.0,0.06,0,0,1,Imaging,2005.0
Aldebaran b,Hot,Jovian,gas,hydrogen-rich,non-habitable,2057.07,11.68,1.29,15.08,232.6393,993.1,-28.49,628.96,1.46,0.1,1.13,45.1,4055.0,4.5986,16.5092,1,0,-2.21,9.73,6.4,0.08,0.07,0,0,1,Radial Velocity,1998.0
alf Ari b,Hot,Jovian,gas,hydrogen-rich,non-habitable,572.29,11.15,0.41,4.61,53.42722,680.5,-26.81,380.8,1.2,0.25,1.5,13.9,4553.0,2.1194,23.4622,1,0,-2.13,7.27,3.53,0.11,0.12,0,0,1,Radial Velocity,2011.0
alf Cen B b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.14,1.09,0.89,0.97,308.7997,1068.0,-23.61,3.24,0.04,0.0,0.93,0.86,5214.0,14.6597,-60.8375,1,0,-2.33,-0.17,-1.12,0.28,0.3,0,0,1,Radial Velocity,2012.0
AS 205 A b,Hot,Jovian,gas,hydrogen-rich,non-habitable,6120.35,10.99,4.61,50.66,170.8106,899.0,-28.08,24.84,0.162,0.35,0.9,3.7,4300.0,16.1919,-18.6403,1,0,-2.21,15.02,13.18,0.05,0.06,0,0,1,Radial Velocity,2017.0
BD+03 2562 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,2034.82,11.68,1.28,14.91,159.4528,898.4,-28.09,481.9,1.3,0.2,1.14,32.35,4095.0,11.8377,2.7601,1,0,-2.19,9.7,6.73,0.08,0.08,0,0,1,Radial Velocity,2017.0
BD+14 4559 b,Warm,Jovian,gas,hydrogen-rich,non-habitable,467.37,10.89,0.36,3.94,0.6028023,220.8,-21.88,268.94,0.777,0.29,0.86,0.79,5008.0,21.2267,14.6894,1,1,-0.01,6.99,6.68,0.09,0.43,0,0,1,Radial Velocity,2009.0
BD+15 2375 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,337.02,10.37,0.3,3.13,101.1881,808.0,-27.31,153.22,0.576,0.0,1.08,8.95,4649.0,11.7656,14.6164,1,0,-2.2,6.54,2.15,0.12,0.13,0,0,1,Radial Velocity,2016.0
BD+15 2940 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,352.91,10.45,0.31,3.23,365.6481,1099.6,-28.77,137.48,0.539,0.26,1.1,14.7,4796.0,16.0064,15.5469,1,0,-2.3,6.61,1.62,0.12,0.12,0,0,1,Radial Velocity,2013.0
BD+20 274 c,Hot,Jovian,gas,hydrogen-rich,non-habitable,1335.35,11.67,0.84,9.81,54.11934,691.0,-26.89,578.2,1.3,0.0,0.8,17.3,4296.0,1.7281,21.005,1,0,-2.11,8.65,6.14,0.08,0.1,0,0,1,Radial Velocity,2012.0
BD+20 594 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,16.31,2.23,1.47,3.28,14.7045,498.9,-21.85,41.69,0.241,0.0,0.96,0.93,5766.0,3.5767,20.5992,1,0,-1.96,-0.13,0.61,0.33,0.33,0,0,1,Primary Transit,2016.0
BD+20 1790 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,2025.28,11.68,1.27,14.84,40.25745,635.8,-26.59,7.78,0.066,0.22,0.63,0.71,4410.0,7.3956,20.4142,1,0,-2.08,9.69,8.29,0.07,0.1,0,0,1,Other,2009.0
BD+20 2457 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,6810.27,10.85,5.34,57.9,2.400301,315.8,-23.34,379.63,1.45,0.15,2.8,4.39,4127.0,10.2792,19.8914,2,1,-1.26,15.83,25.44,0.03,0.3,0,0,1,Radial Velocity,2009.0
BD+20 2457 c,Warm,Jovian,gas,hydrogen-rich,non-habitable,3964.71,11.44,2.65,30.32,1.2555100000000001,268.0,-22.76,621.99,2.01,0.18,2.8,4.39,4127.0,10.2792,19.8914,2,1,-0.85,12.36,20.15,0.04,0.37,0,1,1,Radial Velocity,2009.0
BD+24 4697 b,Warm,Jovian,gas,hydrogen-rich,non-habitable,16850.82,9.15,21.97,201.11,1.4618870000000002,265.7,-22.58,145.08,0.5,0.5,0.75,0.73,5077.0,23.0275,25.7881,1,1,-0.75,27.87,46.94,0.02,0.33,0,1,1,Radial Velocity,2016.0
BD+26 1888 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,8266.44,10.55,7.05,74.31,0.13079649999999998,151.1,-20.14,536.78,1.19,0.27,0.76,0.63,4748.0,9.0419,25.8894,1,0,2.59,17.54,41.79,0.02,0.16,0,0,1,Radial Velocity,2016.0
BD+48 738 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,289.33,10.09,0.28,2.84,42.06001,643.9,-26.32,392.6,1.0,0.2,0.74,11.0,4414.0,2.7139,49.5869,1,0,-2.09,6.34,2.32,0.12,0.15,0,0,1,Radial Velocity,2011.0
BD+49 828 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,508.7,11.0,0.38,4.2,1.8722279999999998,290.9,-23.16,2590.0,4.2,0.35,1.52,7.6,4943.0,3.0428,49.73,1,0,-1.03,7.11,5.82,0.1,0.41,0,0,1,Radial Velocity,2015.0
BD-06 1339 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.58,1.91,1.23,2.35,456.218,1177.4,-25.27,3.87,0.0428,0.0,0.7,1.64,4324.0,5.8833,-5.9947,3,1,-2.26,-0.14,-0.54,0.3,0.26,0,0,1,Radial Velocity,2013.0
BD-06 1339 c,Hot,Jovian,gas,hydrogen-rich,non-habitable,54.05,6.46,0.2,1.3,4.416533,369.3,-22.86,125.94,0.435,0.0,0.7,1.64,4324.0,5.8833,-5.9947,3,1,-1.55,4.18,1.18,0.18,0.39,0,0,1,Radial Velocity,2013.0
BD-06 1339 d,Warm,Neptunian,gas,hydrogen-rich,non-habitable,28.93,5.26,0.2,1.05,0.7443821999999999,236.6,-20.48,500.0,1.06,0.04,0.7,1.64,4324.0,5.8833,-5.9947,3,1,-0.41,3.55,1.22,0.21,0.63,0,0,1,Radial Velocity,2014.0
BD-08 2823 b,Hot,Neptunian,gas,metals-rich,non-habitable,14.31,4.16,0.2,0.83,64.74268000000001,719.6,-24.84,5.6,0.056,0.15,0.74,0.67,4746.0,10.0133,-9.5167,2,1,-2.17,3.02,-0.4,0.21,0.25,0,0,1,Radial Velocity,2009.0
BD-08 2823 c,Warm,Jovian,gas,hydrogen-rich,non-habitable,104.92,7.9,0.21,1.68,0.44217219999999996,206.3,-20.81,237.6,0.68,0.19,0.74,0.67,4746.0,10.0133,-9.5167,2,1,0.28,4.98,3.15,0.15,0.47,0,0,1,Radial Velocity,2009.0
BD-10 3166 b,Hot,Jovian,gas,metals-rich,non-habitable,146.25,11.54,0.1,1.1,1054.302,1451.7,-30.1,3.49,0.046,0.01,0.99,1.71,5400.0,10.9744,-10.7703,1,0,-2.39,8.35,0.08,0.1,0.08,0,0,1,Radial Velocity,2000.0
BD-11 4672 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,168.51,8.97,0.23,2.09,0.01873883,94.2,-17.62,1667.0,2.28,0.05,0.57,0.52,4475.0,18.5581,-11.6361,1,0,10.04,5.6,6.9,0.07,0.16,0,0,1,Radial Velocity,2010.0
BD-17 63 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,1621.49,11.68,1.02,11.88,0.13957160000000002,146.2,-20.58,655.6,1.34,0.54,0.74,0.69,4714.0,0.4761,-16.2264,1,0,2.91,9.09,16.13,0.05,0.2,0,0,1,Radial Velocity,2008.0
beta Cir b,Cold,Jovian,gas,hydrogen-rich,non-habitable,17804.64,9.03,24.16,218.21,3.3311770000000003e-07,6.1,-5.7,,6656.0,0.0,1.96,1.71,8676.0,15.2919,-58.8011,1,0,3828.05,29.09,345.19,0.0,0.04,0,0,1,Imaging,2015.0
beta Cnc b,Hot,Jovian,gas,hydrogen-rich,non-habitable,2479.93,11.65,1.57,18.26,189.2173,943.8,-28.25,605.2,1.7,0.08,1.7,48.96,3990.0,8.2753,9.1856,1,0,-2.19,10.35,7.44,0.07,0.07,0,0,1,Radial Velocity,2014.0
beta Pic b,Cold,Jovian,gas,hydrogen-rich,non-habitable,2225.58,18.48,0.35,6.52,0.05904876,123.0,-20.51,13288.0,13.18,0.32,1.73,1.09,9790.0,5.7881,-51.0664,1,0,6.95,17.44,17.07,0.04,0.11,0,0,1,Imaging,2008.0
beta Umi b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1939.43,11.68,1.22,14.21,239.0416,994.9,-28.53,522.3,1.4,0.19,1.4,42.06,4126.0,14.845,74.1556,1,0,-2.21,9.56,6.12,0.08,0.08,0,0,1,Radial Velocity,2014.0
CD-35 2722 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,9856.14,10.24,9.18,93.98,9.922237000000001e-06,14.3,-9.68,,67.0,0.0,0.4,0.52,3680.0,6.1553,-35.8253,1,0,492.81,19.4,156.87,0.0,0.04,0,0,1,Imaging,2011.0
CFBDS 1458 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,3338.37,11.54,2.17,25.05,6.401282999999999e-06,12.8,-9.46,14227.0,2.6,0.0,0.02,0.7,560.0,14.9747,10.2286,1,0,559.04,11.54,90.1,0.0,0.06,0,0,1,Imaging,2011.0
CFBDSIR J2149-0403 b,,Jovian,gas,,non-habitable,6676.74,10.87,5.19,56.47,,,,,,0.0,,,,21.8298,-4.0525,1,0,,15.68,,,,0,0,1,Imaging,2017.0
CHXR 73 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,3815.28,11.46,2.53,29.04,5.140725e-07,6.8,-6.7,,200.0,0.0,0.35,0.33,3840.0,11.1081,-77.6258,1,0,2207.42,12.16,133.3,0.0,0.06,0,0,1,Imaging,2006.0
CI Tau b,Hot,Jovian,gas,hydrogen-rich,non-habitable,3913.84,11.44,2.61,29.88,66.3513,727.1,-27.07,9.0,0.0786,0.0,0.8,0.81,5150.0,4.5644,22.8417,1,0,-2.2,12.29,11.53,0.06,0.07,0,0,1,Radial Velocity,2016.0
CoRoT-1 b,Hot,Jovian,gas,metals-rich,non-habitable,327.48,16.69,0.07,1.18,2695.7459999999996,1835.8,-31.93,1.51,0.0254,0.0,0.95,1.11,6298.0,6.8053,-3.1022,1,0,-2.47,12.54,0.27,0.07,0.06,0,0,1,Primary Transit,2007.0
CoRoT-2 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1052.38,16.41,0.24,3.91,893.0377,1392.7,-30.69,1.74,0.0281,0.0,0.97,0.9,5575.0,19.4519,1.3839,1,0,-2.4,12.86,2.42,0.07,0.06,0,0,1,Primary Transit,2007.0
CoRoT-3 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,6921.55,11.31,4.78,54.09,1059.134,1453.4,-30.07,4.26,0.057,0.0,1.41,1.44,6558.0,19.4703,0.1219,1,0,-2.45,16.8,10.81,0.05,0.08,0,0,1,Primary Transit,2008.0
CoRoT-4 b,Hot,Jovian,gas,metals-rich,non-habitable,228.92,13.33,0.1,1.29,215.0617,975.6,-28.68,9.2,0.09,0.0,1.1,1.15,6190.0,6.8131,-0.6728,1,0,-2.36,9.61,0.84,0.09,0.07,0,0,1,Primary Transit,2008.0
CoRoT-5 b,Hot,Jovian,gas,metals-rich,non-habitable,148.48,14.9,0.04,0.67,716.9039,1316.3,-30.24,4.04,0.0495,0.09,1.0,1.19,6100.0,6.7519,0.8153,1,0,-2.42,11.74,-0.05,0.08,0.06,0,0,1,Primary Transit,2008.0
CoRoT-6 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,941.1,13.06,0.42,5.52,178.2612,929.2,-28.44,8.89,0.0855,0.1,1.05,1.02,6090.0,18.7383,6.6633,1,0,-2.34,9.46,3.65,0.09,0.07,0,0,1,Primary Transit,2009.0
CoRoT-7 b,Hot,Terran,rocky-iron,metals-rich,non-habitable,4.74,1.52,1.34,2.04,1842.386,1664.6,-26.3,0.85,0.0172,0.12,0.93,0.87,5313.0,6.7303,-1.0628,2,0,-2.4,-0.38,-0.9,0.28,0.28,0,0,1,Primary Transit,2009.0
CoRoT-7 c,Hot,Neptunian,gas,metals-rich,non-habitable,13.56,4.08,0.2,0.81,257.5857,1017.9,-26.31,3.7,0.046,0.12,0.93,0.87,5313.0,6.7303,-1.0628,2,0,-2.32,2.98,-0.63,0.21,0.24,0,0,1,Radial Velocity,2009.0
CoRoT-8 b,Hot,Jovian,gas,metals-rich,non-habitable,68.62,6.37,0.26,1.69,89.25756,783.1,-26.12,6.21,0.063,0.0,0.88,0.77,5080.0,19.4392,1.4267,1,0,-2.23,3.79,0.54,0.18,0.14,0,0,1,Primary Transit,2010.0
