P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. SFlux Mean (EU),P. Teq Mean (K),P. Mag,P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,S. Mass (SU),S. Radius (SU),S. Teff (K),S. RA (hrs),S. DEC (deg),S. No. Planets,S. No. Planets HZ,P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
HD 114613 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,152.61,8.75,0.23,1.99,0.1657283,160.6,-19.98,3827.0,5.16,0.25,1.36,2.11,5729.0,13.2008,-36.1969,1,0,2.45,5.47,4.58,0.12,0.3,0,0,1,Radial Velocity,2014.0
HD 114729 b,Warm,Jovian,gas,hydrogen-rich,non-habitable,267.07,9.94,0.27,2.7,0.4795215,207.8,-21.44,1135.0,2.08,0.32,0.93,1.46,5662.0,13.2122,-31.8733,1,1,0.45,6.23,5.11,0.11,0.43,0,0,1,Radial Velocity,2002.0
HD 114762 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,3490.98,11.52,2.28,26.31,14.571,486.8,-25.49,83.92,0.353,0.34,0.84,1.24,5934.0,13.2053,17.5169,1,0,-1.94,11.74,13.24,0.05,0.13,0,0,1,Radial Velocity,1989.0
HD 114783 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,2003.02,11.68,1.26,14.68,0.27841740000000004,184.3,-21.15,493.7,1.16,0.14,0.92,0.78,5105.0,13.2119,-2.265,1,0,1.06,9.65,16.85,0.05,0.28,0,0,1,Radial Velocity,2001.0
HD 116029 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,667.67,11.31,0.46,5.22,3.898336,355.0,-23.97,670.2,1.73,0.21,1.58,4.6,4951.0,13.3444,24.6486,1,0,-1.48,7.49,6.1,0.09,0.3,0,0,1,Radial Velocity,2011.0
HD 117207 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,654.96,11.29,0.46,5.14,0.06580061,128.4,-19.51,2627.08,3.78,0.16,1.07,1.09,5432.0,13.4892,-35.5708,1,0,5.0,7.46,11.21,0.07,0.16,0,0,1,Radial Velocity,2004.0
HD 117618 b,Hot,Jovian,gas,metals-rich,non-habitable,56.59,6.55,0.2,1.32,53.33211,664.2,-25.72,25.83,0.176,0.42,1.05,1.19,5861.0,13.5403,-47.2711,2,1,-2.19,4.23,0.41,0.17,0.2,0,0,1,Radial Velocity,2004.0
HD 117618 c,Warm,Jovian,gas,hydrogen-rich,non-habitable,63.59,6.8,0.2,1.38,1.733424,292.3,-21.96,318.0,0.93,0.0,1.05,1.19,5861.0,13.5403,-47.2711,2,1,-0.97,4.36,1.73,0.17,0.54,0,0,1,Radial Velocity,2013.0
HD 118203 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,680.39,11.76,0.42,4.92,1000.794,1409.0,-30.14,6.13,0.07,0.29,1.23,2.31,5600.0,13.5672,53.7283,1,0,-2.4,7.93,2.13,0.1,0.08,0,0,1,Radial Velocity,2005.0
HD 119445 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,11954.54,9.87,12.42,122.65,86.3676,775.7,-27.04,410.2,1.71,0.08,3.9,20.5,5083.0,13.708,41.6743,1,0,-2.22,21.87,22.4,0.03,0.05,0,0,1,Radial Velocity,2009.0
HD 120084 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1430.73,11.68,0.9,10.5,3.0770299999999997,304.5,-24.07,2082.0,4.3,0.66,2.39,9.12,4892.0,13.7144,78.0617,1,0,-1.15,8.8,9.51,0.07,0.31,0,0,1,Radial Velocity,2013.0
HD 121504 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,387.89,10.61,0.32,3.45,15.18261,502.8,-25.29,63.33,0.33,0.03,1.18,1.17,6075.0,13.9547,-56.04,1,0,-1.97,6.73,3.48,0.11,0.18,0,0,1,Radial Velocity,2003.0
HD 122562 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,7630.56,10.68,6.27,66.95,0.1788211,146.2,-20.84,2777.0,4.1,0.71,1.13,1.98,4958.0,14.0392,20.8814,1,0,3.03,16.8,36.7,0.02,0.19,0,0,1,Radial Velocity,2016.0
HD 125595 b,Hot,Neptunian,gas,metals-rich,non-habitable,13.35,4.06,0.2,0.81,27.7718,584.9,-23.86,9.67,0.0809,0.0,0.76,0.59,4908.0,14.3564,-40.3939,1,0,-2.06,2.97,-0.28,0.22,0.28,0,0,1,Radial Velocity,2009.0
HD 125612 b,Warm,Jovian,gas,hydrogen-rich,non-habitable,953.82,11.56,0.62,7.14,0.7177607,224.5,-22.28,502.0,1.37,0.46,1.1,1.05,5897.0,14.3483,-17.4814,3,1,0.08,8.04,9.57,0.07,0.41,0,0,1,Radial Velocity,2007.0
HD 125612 c,Hot,Neptunian,gas,metals-rich,non-habitable,18.44,4.53,0.2,0.9,496.9245,1186.0,-27.28,4.15,0.05,0.27,1.1,1.05,5897.0,14.3483,-17.4814,3,1,-2.39,3.19,-0.61,0.2,0.23,0,0,1,Radial Velocity,2009.0
HD 125612 d,Cold,Jovian,gas,hydrogen-rich,non-habitable,2289.17,11.67,1.44,16.81,0.07063565,129.4,-19.69,3008.0,4.2,0.28,1.1,1.05,5897.0,14.3483,-17.4814,3,1,5.24,10.08,21.78,0.04,0.14,0,0,1,Radial Velocity,2009.0
HD 126525 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,71.22,7.04,0.2,1.44,0.28180859999999996,185.0,-20.06,948.12,1.8105,0.13,0.88,0.91,5940.0,14.4592,-51.9331,1,0,1.3,4.5,2.78,0.16,0.41,0,0,1,Radial Velocity,2011.0
HD 126614 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,120.82,8.22,0.22,1.79,0.20590450000000002,165.9,-20.15,1244.0,2.35,0.41,1.15,1.09,5585.0,14.4467,-5.1778,1,0,2.08,5.16,3.86,0.13,0.34,0,0,1,Radial Velocity,2010.0
HD 128311 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,693.11,11.34,0.48,5.39,0.24844610000000003,177.7,-20.99,448.6,1.099,0.25,0.84,0.73,4965.0,14.6,9.7464,2,0,1.28,7.54,9.49,0.08,0.29,0,0,1,Radial Velocity,2002.0
HD 128311 c,Cold,Jovian,gas,hydrogen-rich,non-habitable,1332.17,11.67,0.84,9.79,0.09518216,140.7,-19.98,919.0,1.76,0.17,0.84,0.73,4965.0,14.6,9.7464,2,0,3.47,8.65,15.6,0.05,0.17,0,0,1,Radial Velocity,2005.0
HD 128356 b,Warm,Jovian,gas,hydrogen-rich,non-habitable,282.97,10.05,0.28,2.8,0.5887133000000001,207.8,-21.85,298.2,0.87,0.57,0.65,0.85,4875.0,14.6181,-25.8025,1,1,0.27,6.3,4.97,0.11,0.45,0,0,1,Radial Velocity,2016.0
HD 129445 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,508.7,11.0,0.38,4.2,0.2002349,151.1,-21.02,1840.0,2.9,0.7,0.99,1.04,5940.0,14.7675,-68.7625,1,0,3.19,7.11,7.92,0.08,0.28,0,0,1,Radial Velocity,2010.0
HD 130322 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,333.84,10.36,0.3,3.11,64.47783000000001,721.7,-26.82,10.72,0.088,0.04,0.79,0.83,5330.0,14.7925,0.2814,1,0,-2.21,6.53,2.36,0.12,0.13,0,0,1,Radial Velocity,1999.0
HD 131496 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,699.47,11.35,0.48,5.43,2.595917,321.8,-23.53,883.0,2.09,0.16,1.61,4.6,4927.0,14.8897,18.2353,1,0,-1.28,7.56,6.7,0.09,0.35,0,0,1,Radial Velocity,2011.0
HD 132406 b,Warm,Jovian,gas,hydrogen-rich,non-habitable,1783.64,11.68,1.12,13.07,0.496436,209.0,-21.84,974.0,1.98,0.34,1.09,1.31,5885.0,14.9486,53.3822,1,1,0.47,9.33,14.48,0.05,0.36,0,1,1,Radial Velocity,2007.0
HD 132563 B b,Cold,Jovian,gas,hydrogen-rich,non-habitable,473.73,10.91,0.36,3.98,0.1554019,158.5,-20.38,1544.0,2.62,0.22,1.01,0.95,5985.0,14.9725,44.0433,1,0,2.7,7.01,8.31,0.08,0.25,0,0,1,Radial Velocity,2011.0
HD 133131 A b,Warm,Jovian,gas,hydrogen-rich,non-habitable,454.65,10.85,0.36,3.86,0.42749449999999994,201.9,-21.51,649.0,1.44,0.32,0.95,0.91,5799.0,15.0599,-27.841,2,1,0.66,6.95,6.93,0.09,0.39,0,0,1,Radial Velocity,2016.0
HD 133131 A c,Cold,Jovian,gas,hydrogen-rich,non-habitable,152.61,8.75,0.23,1.99,0.05005266,115.1,-18.78,3407.0,4.36,0.47,0.95,0.91,5799.0,15.0599,-27.841,2,1,7.17,5.47,5.51,0.09,0.2,0,0,1,Radial Velocity,2016.0
HD 133131 B b,Cold,Jovian,gas,hydrogen-rich,non-habitable,794.85,11.45,0.53,6.06,0.0257419,93.5,-18.77,6119.0,6.3894,0.62,0.93,0.9,5805.0,15.0599,-27.841,1,0,12.16,7.75,13.74,0.05,0.12,0,0,1,Radial Velocity,2016.0
HD 134060 b,Hot,Neptunian,gas,metals-rich,non-habitable,11.16,3.83,0.2,0.76,860.4522,1336.0,-27.57,3.27,0.0444,0.4,1.09,1.18,5940.0,15.1792,-61.4222,2,0,-2.41,2.87,-0.85,0.21,0.24,0,0,1,Radial Velocity,2011.0
HD 134060 c,Cold,Neptunian,gas,hydrogen-rich,non-habitable,47.91,6.21,0.2,1.24,0.4743748,182.8,-20.8,1160.9,2.2263,0.75,1.09,1.18,5940.0,15.1792,-61.4222,2,0,1.4,4.05,1.78,0.18,0.53,0,0,1,Radial Velocity,2011.0
HD 134113 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,14943.18,9.41,17.92,168.66,5.0763,381.8,-23.84,201.68,0.638,0.09,0.81,1.44,5782.0,15.1297,8.8797,1,0,-1.6,25.48,37.64,0.02,0.19,0,0,1,Radial Velocity,2016.0
HD 134606 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,9.28,1.95,1.26,2.45,107.5678,817.0,-23.74,12.08,0.1023,0.15,0.98,1.0,5940.0,15.2542,-70.5197,3,1,-2.29,-0.14,-0.26,0.3,0.26,0,0,1,Radial Velocity,2011.0
HD 134606 c,Hot,Neptunian,gas,metals-rich,non-habitable,12.15,3.94,0.2,0.78,13.25557,478.2,-23.03,59.52,0.2962,0.29,0.98,1.0,5940.0,15.2542,-70.5197,3,1,-1.92,2.91,-0.2,0.22,0.33,0,0,1,Radial Velocity,2011.0
