pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad
GJ 411 b,Radial Velocity,1,12.95320000,0.078500,0.220000,0.00941,,11h03m20.19s,165.834137,+35d58m11.6s,35.969879,2.55,3563.00,0.39,0.39
GJ 4276 b,Radial Velocity,1,13.35200000,0.082000,0.370000,0.05213,,22h25m17.05s,336.321023,+59d24m49.8s,59.413835,21.35,3387.00,0.41,0.41
GJ 433 b,Radial Velocity,1,7.37090000,0.060000,0.080000,0.02000,,11h35m26.95s,173.862289,-32d32m23.9s,-32.539970,9.07,3461.00,0.59,0.50
GJ 436 b,Radial Velocity,1,2.64388312,0.029100,0.138270,0.07000,0.372,11h42m11.09s,175.546219,+26d42m23.7s,26.706570,9.76,,0.47,0.46
GJ 504 b,Imaging,1,,43.500000,,4.00000,,13h16m46.52s,199.193817,+09d25m27.0s,9.424156,17.54,6234.00,1.22,
GJ 536 b,Radial Velocity,1,8.70760000,0.066610,0.080000,0.01686,,14h01m03.19s,210.263290,-02d39m17.5s,-2.654864,10.03,3685.00,0.52,0.50
GJ 581 b,Radial Velocity,3,5.36860000,0.040610,0.000000,0.04970,,15h19m26.82s,229.861771,-07d43m20.2s,-7.722280,6.30,,0.31,0.29
GJ 581 c,Radial Velocity,3,12.91400000,0.072100,0.000000,0.01730,,15h19m26.82s,229.861771,-07d43m20.2s,-7.722280,6.30,,0.31,0.29
GJ 581 e,Radial Velocity,3,3.14900000,0.028150,0.000000,0.00530,,15h19m26.82s,229.861771,-07d43m20.2s,-7.722280,6.30,,0.31,0.29
GJ 625 b,Radial Velocity,1,14.62800000,0.078361,0.130000,0.00887,,16h25m24.62s,246.352600,+54d18m14.8s,54.304104,6.49,3499.00,0.30,0.31
GJ 649 b,Radial Velocity,1,598.30000000,1.135000,0.300000,0.32800,,16h58m08.85s,254.536880,+25d44m39.0s,25.744160,10.38,3700.00,0.54,
GJ 667 C b,Radial Velocity,5,7.20040000,0.050500,0.130000,0.01800,,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,6.80,3350.00,0.33,
GJ 667 C c,Radial Velocity,5,28.14000000,0.125000,0.020000,0.01200,,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,6.80,3350.00,0.33,
GJ 667 C e,Radial Velocity,5,62.24000000,0.213000,0.020000,0.00800,,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,6.80,3350.00,0.33,
GJ 667 C f,Radial Velocity,5,39.02600000,0.156000,0.030000,0.00800,,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,6.80,3350.00,0.33,
GJ 667 C g,Radial Velocity,5,256.20000000,0.549000,0.080000,0.01400,,17h18m58.82s,259.745085,-34d59m48.6s,-34.996827,6.80,3350.00,0.33,
GJ 674 b,Radial Velocity,1,4.69380000,0.039000,0.200000,0.03500,,17h28m39.95s,262.166443,-46d53m42.7s,-46.895191,4.55,3600.00,0.35,
GJ 676 A b,Radial Velocity,4,1056.80005000,1.820000,0.330000,4.96000,,17h30m11.21s,262.546692,-51d38m13.1s,-51.636978,16.90,3734.00,0.73,0.69
GJ 676 A c,Radial Velocity,4,7337.00000000,6.600000,,6.80000,,17h30m11.21s,262.546692,-51d38m13.1s,-51.636978,16.90,3734.00,0.73,0.69
GJ 676 A d,Radial Velocity,4,3.60050000,,0.262000,0.01400,,17h30m11.21s,262.546692,-51d38m13.1s,-51.636978,16.90,3734.00,0.73,0.69
