Series name;Unit;Data supplier;1926;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Temperature;°C;npolar.no [UNKNOWN NAME];3.5409;5.004;;3.7092;;;;;;;;;4.5863;;;;3.8812;;;;4.4412;4.275;4.5591;5.6406;;;3.7558;4.3194;5.1209;;;;5.3082;5.111;;;4.7468;2.2415;5.0443;5.0694;;5.7754;5.1317;5.6225;5.0508;6.588;5.813;5.2357;5.2405;4.5566;4.8672;5.3876;5.3059;5.2918;5.7406;6.0928;5.8639;5.8559
Decadal average temperature;°C;npolar.no [UNKNOWN NAME];;4.4889;4.395;4.3074;4.2261;4.1511;4.0838;4.0974;4.1918;4.2602;4.2979;4.305;4.2815;4.2628;4.2492;4.2407;4.2345;4.2027;4.2176;4.3728;4.48;4.5393;4.5153;4.5331;4.6221;4.7044;4.8067;4.8856;4.8483;4.8574;4.9209;5.0389;5.0857;4.8063;4.7929;4.7781;4.7962;4.8482;4.8535;4.9224;4.9535;5.1526;5.5052;5.5279;5.5455;5.4512;5.3539;5.378;5.3442;5.3611;5.2717;5.3063;5.375;5.4434;5.5856;5.6926;5.7463;5.8075
