,PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SurfaceTempK,RightAscension,Declination,star_solar_mass,star_solar_radius,star_temp,ListsPlanetIsOn
0,HD 143761 b,0,1.045,,39.8458,,16 01 03,+33 18 13,0.889,1.3619999999999999,5627.0,Confirmed planets
1,HD 143761 c,0,0.079,,102.54,,16 01 03,+33 18 13,0.889,1.3619999999999999,5627.0,Confirmed planets
2,KOI-1843.03,0,0.0014,0.054000000000000006,0.17689129999999997,,19 00 03.14,+40 13 14.7,0.46,0.45,3584.0,Controversial
3,KOI-1843.01,0,,0.114,4.194525,,19 00 03.14,+40 13 14.7,0.46,0.45,3584.0,Controversial
4,KOI-1843.02,0,,0.071,6.356006,,19 00 03.14,+40 13 14.7,0.46,0.45,3584.0,Controversial
5,Kepler-9 b,0,0.25,0.84,19.22418,707.2,19 02 17,+38 24 03,1.07,1.02,5777.0,Confirmed planets
6,Kepler-9 c,0,0.17,0.82,39.03106,557.9,19 02 17,+38 24 03,1.07,1.02,5777.0,Confirmed planets
7,Kepler-9 d,0,0.022000000000000002,0.147,1.592851,1601.5,19 02 17,+38 24 03,1.07,1.02,5777.0,Confirmed planets
8,GJ 160.2 b,0,0.0321,,5.2354,,04 06 34.84136,-20 51 11.2391,0.69,,4347.0,Controversial
9,Kepler-566 b,0,,0.192,18.42794624,,19 26 13,+47 48 52,0.83,0.79,5132.0,Confirmed planets
10,WASP-124 b,0,0.6,1.24,3.37265,1400.0,22 10 51.43,-30 44 58.8,1.07,,6050.0,Confirmed planets
11,HD 240210 b,0,5.21,,501.75,,23 10 29.2303,+57 01 46.035,0.82,,4297.0,Confirmed planets
12,OGLE-05-390L b,0,0.017,,3500.0,,17 54 19,-30 22 38,0.22,,3840.0,Confirmed planets
13,Kepler-1343 b,0,,0.172,3.35183158,,19 37 11,+50 43 31,0.95,0.93,5759.0,Confirmed planets
14,Kepler-1011 b,0,,0.256,5.75322197,,19 49 36,+46 49 26,0.91,0.88,5416.0,Confirmed planets
15,WASP-82 b,0,1.24,1.67,2.705782,2190.0,04 50 39,+01 53 38,1.63,2.18,6490.0,Confirmed planets
16,Gliese 1214 b,0,0.0195,0.2525,1.58040417,604.0,17 15 18.94,+04 57 49.7,0.17600000000000002,0.2213,3250.0,Confirmed planets
17,Kepler-153 b,0,,0.2661,18.870227,,18 49 50,+48 15 25,0.82,0.892,5404.0,Confirmed planets
18,Kepler-153 c,0,,0.23056,46.90232,,18 49 50,+48 15 25,0.82,0.892,5404.0,Confirmed planets
19,HD 4203 b,0,1.82,,437.05,263.9,00 44 41,+20 26 56,1.13,1.33,5702.0,Confirmed planets
20,HD 4203 c,0,2.17,,6700.0,,00 44 41,+20 26 56,1.13,1.33,5702.0,Confirmed planets
21,HD 179079 b,0,0.08,,14.475999999999999,925.0,19 11 10,-02 38 18,1.087,1.48,5724.0,Confirmed planets
22,Kepler-1368 b,0,,0.147,0.67564949,,19 39 04,+41 38 41,1.07,1.08,5906.0,Confirmed planets
23,HD 187123 b,0,0.5074,,3.0965886,,19 46 58.1,+34 25 10.3,1.037,1.143,5815.0,Confirmed planets
24,HD 187123 c,0,1.818,,3324.0,,19 46 58.1,+34 25 10.3,1.037,1.143,5815.0,Confirmed planets
25,Kepler-1111 b,0,,0.17800000000000002,8.79617863,,19 41 51,+45 48 46,1.1,1.15,6077.0,Confirmed planets
26,Kepler-1289 b,0,,0.136,7.99019627,,19 45 33,+41 02 26,1.1,1.17,6080.0,Confirmed planets
27,Kepler-431 b,0,,0.0682,6.803,,18 44 26.96,+43 13 40.0,1.071,1.092,6004.0,Confirmed planets
28,Kepler-431 c,0,,0.0596,8.703,,18 44 26.96,+43 13 40.0,1.071,1.092,6004.0,Confirmed planets
29,Kepler-431 d,0,,0.099,11.922,,18 44 26.96,+43 13 40.0,1.071,1.092,6004.0,Confirmed planets
30,Kepler-131 b,0,0.05074,0.21962399999999999,16.092,,19 14 07,+40 56 32,1.02,1.03,5685.0,Confirmed planets
31,Kepler-131 c,0,0.025952,0.076549,25.5169,,19 14 07,+40 56 32,1.02,1.03,5685.0,Confirmed planets
32,Kepler-548 b,0,,1.07,4.45419434,,19 59 37,+45 26 23,0.93,0.9,5535.0,Confirmed planets
33,HD 114729 A b,2,0.84,,1135.0,,13 12 44,-31 52 24,0.93,1.46,,"Confirmed planets, Planets in binary systems, S-type"
34,CoRoT-24 b,0,,0.33,5.1134,1070.0,06 47 41,-03 43 10,0.91,0.86,4950.0,Confirmed planets
35,CoRoT-24 c,0,0.08800000000000001,0.44,11.759,850.0,06 47 41,-03 43 10,0.91,0.86,4950.0,Confirmed planets
36,Kepler-1105 b,0,,0.179,4.42157218,,18 44 27,+42 27 18,0.71,0.68,4299.0,Confirmed planets
37,Kepler-211 c,0,,0.11756,6.04045,,19 01 45,+43 10 06,0.914,0.816,5123.0,Confirmed planets
38,Kepler-211 b,0,,0.11482,4.138575,,19 01 45,+43 10 06,0.914,0.816,5123.0,Confirmed planets
39,Kepler-294 c,0,,0.24695999999999999,6.6264,,19 09 34,+46 03 33,0.9940000000000001,0.976,5913.0,Confirmed planets
40,Kepler-294 b,0,,0.1613,3.7012120000000004,,19 09 34,+46 03 33,0.9940000000000001,0.976,5913.0,Confirmed planets
41,HD 164595 b,0,0.051,,40.0,,18 00 38.89431,+29 34 18.9202,0.99,,5790.0,Confirmed planets
42,Kepler-257 c,0,,0.49301000000000006,6.581484,,19 49 15,+46 01 23,0.74,1.037,5180.0,Confirmed planets
43,Kepler-257 b,0,,0.23785,2.3826669999999996,,19 49 15,+46 01 23,0.74,1.037,5180.0,Confirmed planets
44,Kepler-257 d,0,,0.45109,24.664551,,19 49 15,+46 01 23,0.74,1.037,5180.0,Confirmed planets
45,Kepler-214 c,0,,0.19411,28.7798,,18 59 01,+44 57 21,1.15,1.3519999999999999,6169.0,Confirmed planets
46,Kepler-214 b,0,,0.23785,15.660544,,18 59 01,+44 57 21,1.15,1.3519999999999999,6169.0,Confirmed planets
47,Kepler-1112 b,0,,0.26899999999999996,14.36267939,,19 47 53,+47 45 05,1.34,1.54,6496.0,Confirmed planets
48,Kepler-130 c,0,,0.25608000000000003,27.508653000000002,,19 13 48,+40 14 43,0.965,1.127,5884.0,Confirmed planets
49,Kepler-130 b,0,,0.09295,8.457458,,19 13 48,+40 14 43,0.965,1.127,5884.0,Confirmed planets
50,Kepler-130 d,0,,0.14945,87.517905,,19 13 48,+40 14 43,0.965,1.127,5884.0,Confirmed planets
51,WASP-108 b,0,0.892,1.284,2.6755463,1590.0,13 03 18.73,-49 38 22.8,1.167,1.215,6000.0,Confirmed planets
52,K2-34 b,0,1.78,1.35,2.995607,,08 30 19,+22 14 09,1.281,1.526,6132.0,Confirmed planets
53,Kepler-815 b,0,,0.36700000000000005,8.57503552,,19 00 53,+47 52 53,1.25,3.42,5028.0,Confirmed planets
54,Kepler-1145 b,0,,0.125,3.97076766,,19 41 14,+43 02 40,0.79,0.75,5064.0,Confirmed planets
55,38 Vir b,0,4.51,,825.9,,12 53 11.16,-03 33 11.2,1.18,1.45,6557.0,Confirmed planets
56,Kepler-1575 b,0,,0.11699999999999999,2.55314213,,19 34 58,+45 45 42,0.95,0.92,5667.0,Confirmed planets
57,Kepler-1380 b,0,,0.128,10.310824499999999,,19 12 28,+42 26 26,0.96,0.94,5570.0,Confirmed planets
58,Kepler-189 c,0,,0.21689,20.134866,,19 10 15,+44 18 17,0.8240000000000001,0.75,5235.0,Confirmed planets
59,Kepler-189 b,0,,0.11027,10.399931,,19 10 15,+44 18 17,0.8240000000000001,0.75,5235.0,Confirmed planets
60,Kepler-327 b,0,,0.10115,2.549575,,19 30 34,+44 05 15,0.547,0.49200000000000005,3799.0,Confirmed planets
61,Kepler-327 d,0,,0.15766,13.969457,,19 30 34,+44 05 15,0.547,0.49200000000000005,3799.0,Confirmed planets
62,Kepler-327 c,0,,0.09386,5.212333,,19 30 34,+44 05 15,0.547,0.49200000000000005,3799.0,Confirmed planets
63,Kepler-1071 b,0,,0.212,6.1799844,,19 32 14,+45 14 56,0.86,0.81,5215.0,Confirmed planets
64,Kepler-101 b,0,0.161,0.515,3.4876812000000004,,18 53 01.32,+48 21 18.84,1.17,1.56,5667.0,Confirmed planets
65,Kepler-101 c,0,,0.11199999999999999,6.02976,,18 53 01.32,+48 21 18.84,1.17,1.56,5667.0,Confirmed planets
66,Kepler-156 c,0,,0.23238000000000003,15.906801000000002,,19 21 11,+37 44 58,0.737,0.807,5094.0,Confirmed planets
67,Kepler-156 b,0,,0.2096,4.973456,,19 21 11,+37 44 58,0.737,0.807,5094.0,Confirmed planets
68,HIP 11952 b,0,2.93,,290.0,372.6,02 34 11,-12 23 03,0.83,1.6,6040.0,Controversial
69,HIP 11952 c,0,0.78,,6.95,1263.2,02 34 11,-12 23 03,0.83,1.6,6040.0,Controversial
70,HD 122430 b,0,3.71,,344.95,868.8,14 02 22,-27 25 47,1.68,22.9,4300.0,Controversial
71,Kepler-827 b,0,,0.502,51.92927591,,19 39 52,+42 42 31,0.93,0.91,5602.0,Confirmed planets
72,Kepler-344 b,0,,0.23785,21.963945000000002,,19 29 59,+46 19 27,0.93,0.976,5774.0,Confirmed planets
73,Kepler-344 c,0,,0.26883,125.59680900000001,,19 29 59,+46 19 27,0.93,0.976,5774.0,Confirmed planets
74,Kepler-859 b,0,,0.276,20.38177573,,19 06 58,+43 11 24,0.81,0.77,5020.0,Confirmed planets
75,Kepler-227 b,0,,0.28342,9.488014999999999,,19 27 44,+48 08 29,0.92,1.091,5854.0,Confirmed planets
76,Kepler-227 c,0,,0.27704,54.418693999999995,,19 27 44,+48 08 29,0.92,1.091,5854.0,Confirmed planets
77,Kepler-843 b,0,,0.231,2.05387982,,19 45 17,+48 58 17,1.02,1.03,5830.0,Confirmed planets
78,Kepler-404 b,0,,0.11574000000000001,11.829851,,19 05 35,+45 20 36,0.925,0.884,5654.0,Confirmed planets
79,Kepler-404 c,0,,0.15674000000000002,14.751166,,19 05 35,+45 20 36,0.925,0.884,5654.0,Confirmed planets
80,Kepler-1483 b,0,,0.136,9.5085156,,19 41 38,+42 09 03,1.25,1.4,6337.0,Confirmed planets
81,Gliese 86 b,2,3.91,,15.76491,,02 10 25.93425,-50 49 25.4179,0.8,0.855,5188.0,"Confirmed planets, Planets in binary systems, S-type"
82,Kepler-1314 b,0,,0.456,5.42474928,,19 36 57,+45 11 50,0.6,0.59,4188.0,Confirmed planets
83,Kepler-1099 b,0,,0.252,2.16845259,,19 14 59.9,+48 16 38,1.01,1.0,5837.0,Confirmed planets
84,HD 145377 b,0,5.76,,103.95,,16 11 36.44543,-27 04 41.4286,1.12,1.14,6046.0,Confirmed planets
85,HD 75289 A b,2,0.42,,3.5098,,08 47 40,-41 44 12,1.05,1.25,,"Confirmed planets, Planets in binary systems, S-type"
86,HD 5608 b,0,1.4,,792.6,,00 58 14.21893,+33 57 03.1843,1.55,5.5,4854.0,Confirmed planets
87,HATS-28 b,0,0.672,1.194,3.1810781,,18 57 36,-49 51 41,0.929,0.922,5498.0,Confirmed planets
88,Kepler-1187 b,0,,0.233,18.87064068,,19 07 34,+38 19 07,1.06,1.09,5975.0,Confirmed planets
89,HD 68988 b,0,1.9,,6.276,1017.7,08 18 22,+61 27 38,1.2,1.14,5767.0,Confirmed planets
90,Kepler-1612 b,0,,0.092,3.91795101,,19 25 00,+45 39 18,0.96,0.94,5643.0,Confirmed planets
91,HD 183263 b,0,3.635,,625.1,,19 28 24.6,+08 21 28.9,1.121,1.117,5936.0,Confirmed planets
92,HD 183263 c,0,6.9,,4684.0,,19 28 24.6,+08 21 28.9,1.121,1.117,5936.0,Confirmed planets
93,HD 154672 b,0,5.02,,163.91,357.1,17 10 05,-56 26 57,1.06,1.27,5714.0,Confirmed planets
94,Kepler-761 b,0,,0.18100000000000002,10.12804789,,19 22 01,+44 08 37,0.95,0.93,5706.0,Confirmed planets
95,Kepler-1417 b,0,,0.08900000000000001,20.3505213,,19 23 48,+40 36 19,1.02,1.02,5839.0,Confirmed planets
96,Kepler-196 b,0,,0.17315,20.739886,,18 59 52,+42 04 45,,0.782,5128.0,Confirmed planets
97,Kepler-196 c,0,,0.20413,47.427737,,18 59 52,+42 04 45,,0.782,5128.0,Confirmed planets
98,Kepler-695 b,0,,0.8220000000000001,3.04033042,,19 57 16,+40 49 21,0.84,0.8,5181.0,Confirmed planets
99,beta Ursae Minoris b,0,6.1,,522.3,,14 50 42.32580,+74 09 19.8142,1.4,38.3,4126.0,Confirmed planets
100,Kepler-225 c,0,,0.16768,18.794234,,19 28 46,+47 27 25,,0.48,3682.0,Confirmed planets
101,Kepler-225 b,0,,0.10935999999999998,6.738975,,19 28 46,+47 27 25,,0.48,3682.0,Confirmed planets
102,Kepler-409 b,0,,0.108445,68.9584,,19 34 43,+46 51 09,0.92,0.89,5460.0,Confirmed planets
103,OGLE-TR-10 b,0,0.68,1.72,3.10129,1702.0,17 51 28,-29 52 34,1.2770000000000001,1.52,6075.0,Confirmed planets
104,Kepler-128 b,0,0.00409,0.10298,15.09,,18 49 58.128,+43 58 48.64,1.17,1.55,6090.0,Confirmed planets
105,Kepler-128 c,0,0.00472,0.10298,22.804000000000002,,18 49 58.128,+43 58 48.64,1.17,1.55,6090.0,Confirmed planets
106,WASP-11 b,2,0.46,1.045,3.7224690000000002,943.2,03 09 29,+30 40 25,0.82,0.81,4974.0,"Confirmed planets, Planets in binary systems, S-type"
107,Kepler-834 b,0,,0.18,13.32388301,,19 08 13,+45 10 49,0.7,0.66,4554.0,Confirmed planets
108,HATS-18 b,0,1.98,1.337,0.8378434000000001,,11 35 50,-29 50 38,1.037,1.02,5600.0,Confirmed planets
109,Kepler-654 b,0,,0.185,13.72465129,,19 48 16,+46 50 03,1.04,1.11,5865.0,Confirmed planets
110,KELT-16 b,0,2.75,1.415,0.9689950999999999,,20 57 04,+31 39 40,1.2109999999999999,1.36,6236.0,Confirmed planets
111,Kepler-603 b,0,,0.23600000000000002,21.05358596,,19 37 07,+42 17 27,1.01,1.01,5808.0,Confirmed planets
112,Kepler-603 c,0,,0.58,127.9075774,,19 37 07,+42 17 27,1.01,1.01,5808.0,Confirmed planets
113,Kepler-603 d,0,,0.11800000000000001,6.2171292000000005,,19 37 07,+42 17 27,1.01,1.01,5808.0,Confirmed planets
114,Kepler-579 b,0,,0.17800000000000002,9.66857723,,19 40 00,+39 57 11,0.99,0.96,5636.0,Confirmed planets
115,HD 106315 b,0,0.025,0.19899999999999998,9.5521,,12 13 53,+00 36 23,1.07,1.18,6290.0,Confirmed planets
116,HD 106315 c,0,0.063,0.35200000000000004,21.0576,,12 13 53,+00 36 23,1.07,1.18,6290.0,Confirmed planets
117,Kepler-1049 b,0,,0.085,3.27346074,,19 09 23,+47 46 23,0.51,0.49,3864.0,Confirmed planets
118,EPIC 206011691 b,0,,0.142,9.32414,,22 41 12.89,-14 29 20.35,0.64,0.6,4043.0,Confirmed planets
119,EPIC 206011691 c,0,,0.171,15.5012,,22 41 12.89,-14 29 20.35,0.64,0.6,4043.0,Confirmed planets
120,Kepler-794 b,0,,0.188,11.13125132,,19 12 32,+38 59 49,1.19,1.38,5839.0,Confirmed planets
121,Kepler-756 b,0,,0.1,1.22486632,,19 22 26,+41 12 04,0.82,0.79,5282.0,Confirmed planets
122,Kepler-784 b,0,,0.141,31.5922646,,19 43 41,+47 26 55,1.0,1.32,5674.0,Confirmed planets
123,WASP-62 b,0,0.57,1.39,4.411953,1305.2,05 48 33.59,-63 59 18.3,1.25,1.28,6230.0,Confirmed planets
124,Kepler-150 c,0,,0.33626999999999996,7.381997999999999,,19 12 56,+40 31 15,0.97,0.9390000000000001,5560.0,Confirmed planets
125,Kepler-150 d,0,,0.25425,12.56093,,19 12 56,+40 31 15,0.97,0.9390000000000001,5560.0,Confirmed planets
126,Kepler-150 e,0,,0.28433,30.826557,,19 12 56,+40 31 15,0.97,0.9390000000000001,5560.0,Confirmed planets
127,Kepler-150 b,0,,0.11391,3.428054,,19 12 56,+40 31 15,0.97,0.9390000000000001,5560.0,Confirmed planets
128,Kepler-663 b,0,,0.23199999999999998,4.99678284,,19 51 14,+47 56 48,0.86,0.82,5264.0,Confirmed planets
129,WASP-14 b,2,7.341,1.281,2.2437661,1718.8,14 33 06,+21 53 41,1.2109999999999999,1.306,6462.0,"Confirmed planets, Planets in binary systems, S-type"
130,Kepler-708 b,0,,0.261,3.16789194,,19 35 16,+42 12 45,0.97,0.96,5692.0,Confirmed planets
131,HD 2952 b,0,1.6,,311.6,,00 33 10,+54 53 41,2.5,12.02,4844.0,Confirmed planets
132,WASP-127 b,0,0.18,1.37,4.178062000000001,,10 42 14,-03 09 54,1.08,1.39,5620.0,Confirmed planets
133,Kepler-699 b,0,,1.2590000000000001,27.80756293,,19 47 33,+41 23 46,0.81,0.78,5330.0,Confirmed planets
134,Kepler-791 b,0,,0.272,14.5539759,,19 34 23,+39 01 46,1.3,1.47,6383.0,Confirmed planets
135,Kepler-173 c,0,,0.22145,8.005777,,19 38 35,+41 53 02,1.06,0.9490000000000001,6031.0,Confirmed planets
136,Kepler-173 b,0,,0.11756,4.263742,,19 38 35,+41 53 02,1.06,0.9490000000000001,6031.0,Confirmed planets
137,Kepler-611 b,0,,0.147,2.4370333,,19 04 01,+45 28 49,1.01,1.01,5761.0,Confirmed planets
138,KOI-1299 b,2,4.87,1.12,52.500969999999995,,19 33 07.73,+48 17 09.2,1.3530000000000002,4.16,4850.0,"Confirmed planets, Planets in binary systems, S-type"
139,KOI-1299 c,2,2.43,,406.2,,19 33 07.73,+48 17 09.2,1.3530000000000002,4.16,4850.0,"Controversial, Planets in binary systems, S-type"
140,Kepler-34 (AB) b,1,0.22,0.764,288.822,,19 45 45,+44 38 30,,,,"Confirmed planets, Planets in binary systems, P-type"
141,Rho Coronae Borealis b,0,169.7,,39.8449,,16 01 02.662,+33 18 12.63,1.0,,5823.0,Controversial
142,Kepler-260 b,0,,0.18317,8.187399000000001,,19 27 42,+38 00 50,0.9,0.862,5250.0,Confirmed planets
143,Kepler-260 c,0,,0.15857000000000002,76.050178,,19 27 42,+38 00 50,0.9,0.862,5250.0,Confirmed planets
144,Kepler-906 b,0,,0.188,41.6979976,,19 25 37,+40 07 32,1.06,1.02,6035.0,Confirmed planets
145,KELT-10 b,0,0.679,1.399,4.166286,1377.0,18 58 11.601,-47 00 11.68,1.112,1.209,5948.0,Confirmed planets
146,Gliese 3634 b,0,0.022000000000000002,,2.64561,565.4,10 58 35,-31 08 39,0.45,0.43,3314.0,Confirmed planets
147,Kepler-504 b,0,,0.142,9.54927542,,18 59 41,+45 58 21,0.33,0.33,3519.0,Confirmed planets
148,HD 156279 b,0,9.71,,131.05,327.8,17 12 23,+63 21 08,0.93,,5453.0,Confirmed planets
149,Kepler-864 b,0,,0.214,5.83376092,,19 00 14,+46 19 14,1.0,1.0,5754.0,Confirmed planets
150,Kepler-247 c,0,,0.37272,9.439452000000001,,19 14 34,+43 02 21,0.773,0.768,5100.0,Confirmed planets
151,Kepler-247 d,0,,0.35905,20.477912,,19 14 34,+43 02 21,0.773,0.768,5100.0,Confirmed planets
152,Kepler-247 b,0,,0.14945,3.33616,,19 14 34,+43 02 21,0.773,0.768,5100.0,Confirmed planets
153,Kepler-942 b,0,,0.19,44.96417488,,19 39 49,+44 08 59,0.81,0.75,4861.0,Confirmed planets
154,Kepler-166 b,0,,0.20686999999999997,7.650253999999999,,19 32 38,+48 52 52,0.879,0.742,5413.0,Confirmed planets
155,Kepler-166 c,0,,0.21689,34.260281,,19 32 38,+48 52 52,0.879,0.742,5413.0,Confirmed planets
156,Kepler-166 d,0,,0.154,1.55400393,,19 32 38,+48 52 52,0.879,0.742,5413.0,Confirmed planets
157,Kepler-819 b,0,,0.24600000000000002,33.1995648,,19 41 29,+39 10 38,0.86,0.81,5279.0,Confirmed planets
158,Kepler-554 b,0,,0.38299999999999995,1.90220856,,19 45 38,+51 21 29,0.93,0.92,5447.0,Confirmed planets
159,Kepler-8 b,0,0.59,1.42,3.5225400000000002,1519.5,18 45 09,+42 27 04,1.13,1.45,6251.0,Confirmed planets
160,HAT-P-56 b,0,2.18,1.466,2.7908327,1840.0,06 43 23.52950,+27 15 08.2182,1.296,1.4280000000000002,6566.0,Confirmed planets
161,Kepler-266 b,0,,0.226,6.61833,,19 37 56,+44 10 00,1.06,1.028,5885.0,Confirmed planets
162,Kepler-266 c,0,,0.3545,107.723601,,19 37 56,+44 10 00,1.06,1.028,5885.0,Confirmed planets
163,Kepler-920 b,0,,0.21600000000000003,6.53192704,,18 57 11,+49 09 31,0.89,0.85,5403.0,Confirmed planets
164,Kepler-920 c,0,,0.33899999999999997,100.8274113,,18 57 11,+49 09 31,0.89,0.85,5403.0,Confirmed planets
165,Kepler-890 b,0,,0.7929999999999999,52.75875577,,19 13 45,+43 45 49,1.09,1.13,5954.0,Confirmed planets
166,HD 12661 b,0,2.3,,263.6,291.4,02 04 34,+25 24 51,1.07,1.12,5742.0,Confirmed planets
167,HD 12661 c,0,1.57,,1708.0,167.5,02 04 34,+25 24 51,1.07,1.12,5742.0,Confirmed planets
168,Kepler-213 b,0,,0.14762999999999998,2.46236,,19 23 17,+44 38 49,0.976,1.195,5696.0,Confirmed planets
169,Kepler-213 c,0,,0.21324,4.822962,,19 23 17,+44 38 49,0.976,1.195,5696.0,Confirmed planets
170,HD 128311 b,0,1.83,,460.1,177.7,14 36 00,+09 44 47,0.828,0.73,4965.0,Confirmed planets
171,HD 128311 c,0,3.2,,910.7,140.7,14 36 00,+09 44 47,0.828,0.73,4965.0,Confirmed planets
172,WASP-49 b,0,0.37799999999999995,1.115,2.7817387000000005,1369.0,06 04 21,-16 57 55,0.938,0.976,5600.0,Confirmed planets
173,Kepler-44 b,0,1.0,1.09,3.2467292999999997,,20 00 25,+45 45 44,1.12,1.35,5800.0,Confirmed planets
174,HD 72892 b,0,5.45,,39.475,,08 34 53,-14 32 36,1.02,1.22,5688.0,Confirmed planets
175,Kepler-1043 b,0,,0.22699999999999998,38.5053398,,18 46 39,+47 34 07,0.92,0.9,5629.0,Confirmed planets
176,Kepler-1306 b,0,,0.17,16.29595382,,19 37 55,+46 56 45,0.98,0.97,5727.0,Confirmed planets
177,Kepler-821 b,0,,0.11699999999999999,1.92279873,,19 02 28,+39 22 46,0.84,0.8,5191.0,Confirmed planets
178,WASP-138 b,0,1.22,,3.634433,,02 46 33,+00 32 10,1.22,1.36,6272.0,Confirmed planets
179,Kepler-242 b,0,,0.23785,8.20395,,19 06 15,+41 48 30,0.72,0.85,5020.0,Confirmed planets
180,Kepler-242 c,0,,0.18225999999999998,14.496481,,19 06 15,+41 48 30,0.72,0.85,5020.0,Confirmed planets
181,Kepler-518 b,0,,0.188,8.51203588,,19 08 22,+41 22 26,0.96,0.88,5842.0,Confirmed planets
182,Kepler-1069 b,0,,0.14300000000000002,23.8990296,,19 23 55,+47 59 20,0.99,0.98,5722.0,Confirmed planets
183,Kepler-1475 b,0,,0.261,82.177374,,19 43 48,+44 45 11,1.18,1.28,6214.0,Confirmed planets
184,Kepler-706 b,0,,1.175,41.40831347,,19 27 02,+41 56 39,0.87,0.84,5394.0,Confirmed planets
185,Kepler-170 b,0,,0.29162,7.930592,,18 58 05,+41 37 46,1.089,1.035,5679.0,Confirmed planets
186,Kepler-170 c,0,,0.26063000000000003,16.665863,,18 58 05,+41 37 46,1.089,1.035,5679.0,Confirmed planets
187,Kepler-1065 b,0,,0.33299999999999996,3.60930891,,19 38 03,+38 47 26,0.94,0.93,5635.0,Confirmed planets
188,Kepler-1065 c,0,,0.14300000000000002,2.37030743,,19 38 03,+38 47 26,0.94,0.93,5635.0,Confirmed planets
189,CVSO 30 b,0,6.2,1.91,0.448413,,05 25 08,+01 34 24,0.39,1.39,3740.0,Confirmed planets
190,CVSO 30 c,0,4.7,1.63,,1600.0,05 25 08,+01 34 24,0.39,1.39,3740.0,Confirmed planets
191,HD 175167 b,0,7.8,,1290.0,154.0,19 00 01,-69 56 39,1.102,,5940.0,Confirmed planets
192,Kepler-725 b,0,,0.948,39.64317811,,18 55 55,+44 48 42,0.88,0.84,5363.0,Confirmed planets
193,Kepler-1394 b,0,,0.124,3.93766373,,18 53 49,+45 05 03,1.64,2.55,6481.0,Confirmed planets
194,Kepler-795 b,0,,0.15,29.619342100000004,,19 24 05,+38 32 44,0.94,0.96,5631.0,Confirmed planets
195,Kepler-94 b,0,0.034099000000000004,0.319867,2.50806,,18 44 47,+47 29 49,0.81,0.76,4781.0,Confirmed planets
196,Kepler-94 c,0,9.83346,,820.3,,18 44 47,+47 29 49,0.81,0.76,4781.0,Confirmed planets
197,TYC 3667-1280-1 b,0,5.4,,26.468000000000004,,00 51 32.9649,+58 25 34.268,1.87,6.26,5130.0,Confirmed planets
198,Kepler-1329 b,0,,0.19399999999999998,9.33646594,,18 46 35,+48 16 16,0.72,0.69,4500.0,Confirmed planets
199,HD 202206 b,0,17.4,,255.87,277.6,21 14 57,-20 47 21,1.13,1.02,5750.0,Confirmed planets
200,HD 202206 c,0,2.44,,1383.4,159.6,21 14 57,-20 47 21,1.13,1.02,5750.0,Confirmed planets
201,Kepler-918 b,0,,0.155,4.85386933,,19 52 48,+48 16 04,1.11,1.14,6028.0,Confirmed planets
202,Kepler-1326 b,0,,0.373,42.351426700000005,,19 44 53,+39 16 08,1.45,1.74,6725.0,Confirmed planets
203,Kepler-924 b,0,,0.27399999999999997,61.03701170000001,,19 22 40,+40 23 52,1.14,1.23,6167.0,Confirmed planets
204,Kepler-1255 b,0,,0.207,36.2919336,,19 40 57,+42 43 35,1.08,1.12,6018.0,Confirmed planets
205,EPIC 211990866 b,0,,0.31,1.673916,,08 38 24,+20 06 22,1.18,1.19,6120.0,Confirmed planets
206,EPIC 201828749 b,2,,0.353,33.51569,613.0,11 42 37.042,+05 53 39.56,0.74,0.71,5552.0,"Controversial, Planets in binary systems, S-type"
207,HD 131664 b,0,85.2,,1951.0,,15 00 06.08,-73 32 07.2,1.1,1.16,5886.0,Controversial
208,Kepler-728 b,0,,0.298,5.74347727,,19 24 22,+45 06 56,0.95,0.93,5660.0,Confirmed planets
209,wasp-92 b,0,0.805,1.4609999999999999,2.1746742,,16 26 46,+51 02 28,1.19,1.341,6280.0,Confirmed planets
210,OGLE-2015-BLG-0954L b,0,4.4,,,,18 00 44,-28 20 21,0.37,,,Confirmed planets
211,Kepler-968 b,0,,0.17800000000000002,3.69298373,,19 02 25,+50 06 43,0.76,0.7,4598.0,Confirmed planets
212,Kepler-968 c,0,,0.151,5.70940492,,19 02 25,+50 06 43,0.76,0.7,4598.0,Confirmed planets
213,Kepler-1085 b,0,,0.644,219.32175279999998,,19 09 55,+46 08 28,1.11,1.14,6000.0,Confirmed planets
214,Kepler-709 b,0,,0.261,16.08524954,,19 28 25,+42 22 49,0.8,0.77,5071.0,Confirmed planets
215,Kepler-1639 b,0,,0.23,9.878482,,18 52 16,+48 48 08,1.12,1.18,6150.0,Confirmed planets
216,Kepler-1256 b,0,,0.133,12.4127754,,19 25 54,+44 41 01,1.17,1.36,6129.0,Confirmed planets
217,Kepler-977 b,0,,0.23399999999999999,26.85328322,,19 26 04,+42 14 54,0.87,0.83,5315.0,Confirmed planets
218,Kepler-951 b,0,,0.499,71.52530845,,19 10 57,+38 06 52,0.77,0.73,4834.0,Confirmed planets
219,CoRoT-21 b,0,2.26,1.3,2.72474,1867.0,06 44 12.64,-00 17 57.06,1.29,1.945,6200.0,Confirmed planets
220,KIC 6185331 b,0,,0.72,49.769709999999996,,18 57 06,+41 32 06,1.0270000000000001,1.27,,Confirmed planets
