,PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SurfaceTempK,RightAscension,Declination,star_solar_mass,star_solar_radius,star_temp,ListsPlanetIsOn
2948,EPIC 201912552 b,0,,0.20600000000000002,32.94488,272.0,11 30 14.511,+07 35 18.21,0.413,0.39399999999999996,3503.0,Confirmed planets
2949,HD 38801 b,0,10.7,,696.3,280.9,05 47 59,-08 19 40,1.36,2.53,5222.0,Confirmed planets
2950,Kepler-1556 b,0,,0.175,8.82713457,,19 13 35,+40 12 48,0.97,0.95,5608.0,Confirmed planets
2951,CT Cha B,0,,2.4,,2500.0,11 04 09,-76 27 19,,,5150.0,Confirmed planets
2952,Kepler-1543 b,0,,0.242,6.96710269,,19 48 30,+47 02 13,1.39,1.65,6561.0,Confirmed planets
2953,Kepler-1553 b,0,,0.10300000000000001,4.24261881,,19 27 41,+39 01 20,0.85,0.81,5288.0,Confirmed planets
2954,HD 114613 b,0,0.48,,3827.0,,13 12 03.18502,-37 48 10.8901,1.364,,5729.0,Confirmed planets
2955,Kepler-1282 b,0,,0.138,2.13194651,,19 20 42,+46 41 54,0.92,0.89,5504.0,Confirmed planets
2956,Kepler-1196 b,0,,0.19899999999999998,66.1849031,,19 29 29,+43 54 39,0.98,0.97,5756.0,Confirmed planets
2957,Kepler-462 b,0,,0.336,84.68798079999999,,19 59 17,+43 48 51,1.59,2.04,7070.0,Confirmed planets
2958,Kepler-1441 b,0,,0.11699999999999999,39.4419839,,19 34 53,+43 07 29,1.0,1.0,5802.0,Confirmed planets
2959,HD 185269 b,2,0.94,,6.837999999999999,,19 37 11.74092,+28 29 59.5055,1.28,1.88,5980.0,"Confirmed planets, Planets in binary systems, S-type"
2960,Kepler-538 b,0,,0.20199999999999999,81.73780699,,19 49 57,+49 37 24,0.96,0.9,5650.0,Confirmed planets
2961,HD 80606 b,2,3.94,0.9209999999999999,111.4273,339.6,09 22 37,+50 36 13,0.98,0.978,5370.0,"Confirmed planets, Planets in binary systems, S-type"
2962,HIP 14810 b,0,3.88,,6.6738550000000005,918.2,03 11 14,+21 05 50,0.99,1.0,5485.0,Confirmed planets
2963,HIP 14810 c,0,1.28,,147.73,327.0,03 11 14,+21 05 50,0.99,1.0,5485.0,Confirmed planets
2964,HIP 14810 d,0,0.57,,962.0,175.6,03 11 14,+21 05 50,0.99,1.0,5485.0,Confirmed planets
2965,Gliese 649 b,0,0.32799999999999996,,598.3,102.2,16 58 09,+25 44 39,0.54,,3700.0,Confirmed planets
2966,GJ 649.02,0,0.03,,4.4762,,16 58 09,+25 44 39,0.54,,3700.0,Controversial
2967,Kepler-720 b,0,,0.75,4.70832654,,19 54 33,+44 10 15,0.95,0.92,5618.0,Confirmed planets
2968,Kepler-117 c,0,1.84,1.101,50.790391,704.0,19 15 10.326,+48 02 24.81,1.129,1.6059999999999999,6150.0,Confirmed planets
2969,Kepler-117 b,0,0.094,0.7190000000000001,18.7959228,984.0,19 15 10.326,+48 02 24.81,1.129,1.6059999999999999,6150.0,Confirmed planets
2970,KOI-142 b,0,0.0055264,0.37646999999999997,10.9542,791.0,19 24 35,+40 40 09,1.022,0.961,5513.0,Confirmed planets
2971,KOI-142 c,0,0.76,,22.1,,19 24 35,+40 40 09,1.022,0.961,5513.0,Confirmed planets
2972,Kepler-1082 b,0,,0.1,1.5432066,,19 17 26,+50 35 55,1.03,1.14,5923.0,Confirmed planets
2973,HD 8535 b,0,0.68,,1313.0,188.3,01 23 37,-41 16 11,1.13,1.19,6136.0,Confirmed planets
2974,Kepler-844 b,0,,0.15,2.61302086,,19 11 26,+48 46 27,0.59,0.57,4128.0,Confirmed planets
2975,HD 17092 b,0,4.6,,359.9,513.6,02 46 22,+49 39 11,2.3,,4650.0,Confirmed planets
2976,HD 154088 b,0,0.0193,,18.596,643.6,17 04 28,-28 34 58,,,5150.0,Confirmed planets
2977,Kepler-1386 b,0,,0.111,6.73972381,,18 43 18,+42 38 10,1.02,1.03,5733.0,Confirmed planets
2978,HD 86081 b,0,1.5,,2.1375,1486.6,09 56 06,-03 48 30,1.21,1.22,6028.0,Confirmed planets
2979,Kepler-806 b,0,,0.102,8.09219642,,19 44 02,+44 51 12,0.99,1.16,5770.0,Confirmed planets
2980,Kepler-364 c,0,,0.19593,59.980627,,18 46 16,+47 23 55,1.2,1.284,6108.0,Confirmed planets
2981,Kepler-364 b,0,,0.14125,25.745718,,18 46 16,+47 23 55,1.2,1.284,6108.0,Confirmed planets
2982,Kepler-981 b,0,,0.20600000000000002,4.46975774,,19 16 59.7,+47 39 00,0.98,0.96,5718.0,Confirmed planets
2983,HATS-20 b,0,0.273,0.7759999999999999,3.7992969,,13 12 32,-45 24 34,0.91,0.892,5406.0,Confirmed planets
2984,Kepler-1448 b,0,,0.14400000000000002,12.27065865,,19 11 28,+50 35 44,0.95,0.93,5774.0,Confirmed planets
2985,Kepler-965 b,0,,0.302,134.25272980000003,,19 54 04,+41 53 28,1.05,1.15,5886.0,Confirmed planets
2986,Kepler-438 b,0,,0.1,35.23319,,18 46 35.00,+41 57 03.9,0.544,0.52,3748.0,Confirmed planets
2987,Kepler-1521 b,0,,0.223,47.14840805,,19 30 46,+37 50 06,0.81,0.76,5042.0,Confirmed planets
2988,Gliese 3021 A b,2,3.37,,133.71,,00 16 12,-79 51 04,0.9,0.9,5540.0,"Confirmed planets, Planets in binary systems, S-type"
2989,Gliese 676 A d,2,0.013999999999999999,,3.6,,17 30 11,-51 38 13,0.71,,,"Confirmed planets, Planets in binary systems, S-type"
2990,Gliese 676 A e,2,0.036000000000000004,,35.37,,17 30 11,-51 38 13,0.71,,,"Confirmed planets, Planets in binary systems, S-type"
2991,Gliese 676 A b,2,4.95,,1050.3,,17 30 11,-51 38 13,0.71,,,"Confirmed planets, Planets in binary systems, S-type"
2992,Gliese 676 A c,2,3.0,,4400.0,,17 30 11,-51 38 13,0.71,,,"Controversial, Planets in binary systems, S-type"
2993,Kepler-722 b,0,,0.235,4.09357325,,19 21 03,+44 33 23,1.03,1.05,5863.0,Confirmed planets
2994,Kepler-722 c,0,,0.252,105.144749,,19 21 03,+44 33 23,1.03,1.05,5863.0,Confirmed planets
2995,Kepler-1488 b,0,,0.166,39.8189932,,19 06 35,+49 56 16,1.05,1.31,5820.0,Confirmed planets
2996,Kepler-1064 b,0,,0.138,16.54080322,,19 26 58,+37 41 20,0.85,0.79,5153.0,Confirmed planets
2997,Kepler-26 b,0,0.016097,0.26792,12.282972000000001,,18 59 45,+46 33 59,0.634,0.5710000000000001,4486.0,Confirmed planets
2998,Kepler-26 c,0,0.019492,0.26792,17.251204,,18 59 45,+46 33 59,0.634,0.5710000000000001,4486.0,Confirmed planets
2999,Kepler-26 d,0,,0.09751,3.5439190000000003,,18 59 45,+46 33 59,0.634,0.5710000000000001,4486.0,Confirmed planets
3000,Kepler-26 e,0,,0.21961999999999998,46.827915000000004,,18 59 45,+46 33 59,0.634,0.5710000000000001,4486.0,Confirmed planets
3001,HD 2039 b,0,4.9,,1183.0,188.3,00 24 20,-56 39 00,0.98,1.21,5947.0,Confirmed planets
3002,Kepler-478 b,0,,0.242,13.2217576,,19 29 57,+46 11 46,0.85,0.8,5210.0,Confirmed planets
3003,HD 59686 b,0,5.25,,303.0,728.2,07 31 48,+17 05 09,,11.62,5150.0,Confirmed planets
3004,HIP 57050 b,0,0.298,,41.397,218.6,11 41 45,+42 45 07,0.34,0.4,3190.0,Confirmed planets
3005,Fomalhaut b,2,,,320000.0,,22 57 39,-29 37 20,1.92,1.84,8590.0,"Controversial, Planets in binary systems, S-type"
3006,Kepler-1047 b,0,,0.18600000000000003,56.1886887,,19 14 35,+50 47 20,1.08,1.13,5754.0,Confirmed planets
3007,Kepler-1047 c,0,,0.08800000000000001,3.18897601,,19 14 35,+50 47 20,1.08,1.13,5754.0,Confirmed planets
3008,KOI-830 b,0,1.27,1.08,3.52563254,1070.0,19 22 20,+40 34 39,0.87,0.8,5150.0,Confirmed planets
3009,CoRoT-3 b,0,21.66,1.01,4.2568,1554.7,19 28 13,+00 07 19,1.37,1.56,6740.0,Confirmed planets
3010,HD 30562 b,0,1.3730000000000002,,1159.0,208.7,04 48 36,-05 40 27,1.23,1.53,5861.0,Confirmed planets
3011,Kepler-1120 b,0,,0.12300000000000001,2.94902905,,19 23 39,+42 17 12,0.78,0.74,4904.0,Confirmed planets
3012,HD 132563 B b,2,1.49,,1544.0,158.5,14 58 21.519,+44 02 35.33,1.01,,5985.0,"Confirmed planets, Planets in binary systems, S-type"
3013,Kepler-230 b,0,,0.38822,32.625555,,19 02 52,+48 30 21,0.9179999999999999,0.8170000000000001,5588.0,Confirmed planets
3014,Kepler-230 c,0,,0.18591,91.77324200000001,,19 02 52,+48 30 21,0.9179999999999999,0.8170000000000001,5588.0,Confirmed planets
3015,WASP-71 b,0,2.242,1.46,2.9036747000000003,1888.1,01 57 03,+00 45 32,1.5590000000000002,2.26,6050.0,Confirmed planets
3016,HD 34445 b,0,0.79,,1049.0,,05 17 40.98051,+07 21 12.0508,1.07,1.38,5836.0,Confirmed planets
3017,Omega Serpentis b,0,1.7,,277.02,,15 50 17.55,+02 11 47.44,2.17,12.3,4770.0,Confirmed planets
3018,Kepler-96 b,0,,0.24331799999999998,16.2385,,19 48 17,+40 31 30,1.0,1.02,5690.0,Confirmed planets
3019,Kepler-1227 b,0,,0.204,94.2887577,,19 08 16,+41 52 30,0.97,0.95,5747.0,Confirmed planets
3020,Kepler-888 b,0,,0.157,70.6979061,,19 42 05,+49 44 19,0.97,0.9,5875.0,Confirmed planets
3021,HIP 57274 b,0,0.036000000000000004,,8.1352,636.3,11 44 41,+30 57 33,0.73,0.68,4640.0,Confirmed planets
3022,HIP 57274 c,0,0.41,,32.03,399.8,11 44 41,+30 57 33,0.73,0.68,4640.0,Confirmed planets
3023,HIP 57274 d,0,0.527,,431.7,167.1,11 44 41,+30 57 33,0.73,0.68,4640.0,Confirmed planets
3024,Kepler-334 c,0,,0.13032,12.758005,,19 08 33,+47 06 54,1.06,1.068,5828.0,Confirmed planets
3025,Kepler-334 b,0,,0.10207000000000001,5.470319,,19 08 33,+47 06 54,1.06,1.068,5828.0,Confirmed planets
3026,Kepler-334 d,0,,0.12849000000000002,25.098489999999998,,19 08 33,+47 06 54,1.06,1.068,5828.0,Confirmed planets
3027,Kepler-297 b,0,,0.26154,38.871826,,18 52 50,+48 46 39,1.04,1.04,6150.0,Confirmed planets
3028,Kepler-297 c,0,0.13,0.66,74.920137,,18 52 50,+48 46 39,1.04,1.04,6150.0,Confirmed planets
3029,Kepler-36 b,0,0.01346359,0.13777999999999999,13.839879999999999,978.8,19 25 00,+49 13 54,1.071,1.619,5911.0,Confirmed planets
3030,Kepler-36 c,0,0.02541726,0.33526835,16.23855,927.8,19 25 00,+49 13 54,1.071,1.619,5911.0,Confirmed planets
3031,HATS-29 b,0,0.653,1.251,4.605874900000001,,09 00 23,-54 06 24,1.032,1.073,5670.0,Confirmed planets
3032,Kepler-1428 b,0,,0.146,10.67607169,,19 50 34,+49 35 42,1.28,1.36,6184.0,Confirmed planets
3033,HD 142415 b,0,1.62,,386.3,250.5,15 57 40,-60 12 00,1.09,1.03,5834.0,Confirmed planets
3034,WASP-107 b,0,0.12,0.94,5.72149,,12 33 33,-10 51 14,0.69,0.66,4430.0,Confirmed planets
3035,Kepler-956 b,0,,0.268,5.24867263,,19 30 07,+49 03 42,1.1,1.15,6040.0,Confirmed planets
3036,Kepler-110 b,0,,0.16677,12.691112,,19 31 42,+48 36 10,1.067,1.149,5960.0,Confirmed planets
3037,Kepler-110 c,0,,0.2014,31.719775,,19 31 42,+48 36 10,1.067,1.149,5960.0,Confirmed planets
3038,Kepler-152 b,0,,0.25425,18.207973000000003,,19 07 27,+41 59 20,,0.7240000000000001,5088.0,Confirmed planets
3039,Kepler-152 c,0,,0.2178,88.255055,,19 07 27,+41 59 20,,0.7240000000000001,5088.0,Confirmed planets
3040,KIC 9663113 b,0,,0.41,572.3847,,19 48 10.901,+46 19 43.32,0.975,1.03,6065.0,Confirmed planets
3041,KOI-179.01,0,,0.2935,20.74028413,,19 48 10.901,+46 19 43.32,0.975,1.03,6065.0,Controversial
3042,Kepler-1470 b,0,,0.095,16.295090300000002,,19 14 47,+39 52 59,0.8,0.76,4961.0,Confirmed planets
3043,Kepler-276 c,0,,0.30984,31.884362,,19 34 16,+39 02 10,1.05,1.046,6105.0,Confirmed planets
3044,Kepler-276 b,0,,0.26154,14.12841,,19 34 16,+39 02 10,1.05,1.046,6105.0,Confirmed planets
3045,Kepler-276 d,0,,0.25608000000000003,48.648869,,19 34 16,+39 02 10,1.05,1.046,6105.0,Confirmed planets
3046,Kepler-978 b,0,,0.267,49.622150899999994,,19 06 51,+43 02 36,1.07,1.09,6002.0,Confirmed planets
3047,Kepler-1298 b,0,,0.11699999999999999,7.12811928,,18 57 41,+49 06 22,1.45,2.0,6339.0,Confirmed planets
3048,WASP-25 b,0,0.58,1.26,3.7648300000000003,1135.0,13 01 26,-27 31 20,1.0,0.95,5750.0,Confirmed planets
3049,Kepler-719 b,0,,0.76,5.00731778,,19 42 09,+43 53 04,0.99,0.98,5777.0,Confirmed planets
3050,Kepler-948 b,0,,0.165,7.76846622,,19 33 12,+41 31 24,0.96,0.94,5679.0,Confirmed planets
3051,Kepler-1280 b,0,,0.16699999999999998,66.5579057,,19 34 18,+45 23 04,1.2,1.32,6227.0,Confirmed planets
3052,Kepler-1254 b,0,,0.138,9.99113313,,19 00 42,+48 46 12,0.78,0.75,4985.0,Confirmed planets
3053,Kepler-1254 c,0,,0.11599999999999999,3.60084276,,19 00 42,+48 46 12,0.78,0.75,4985.0,Confirmed planets
3054,Kepler-1254 d,0,,0.11699999999999999,5.72717226,,19 00 42,+48 46 12,0.78,0.75,4985.0,Confirmed planets
3055,Kepler-338 b,0,0.0963,0.22236,13.726976,,18 51 54,+40 47 03,1.101,1.735,5923.0,Confirmed planets
3056,Kepler-338 c,0,,0.21324,24.310856,,18 51 54,+40 47 03,1.101,1.735,5923.0,Confirmed planets
3057,Kepler-338 d,0,,0.27339,44.431014000000005,,18 51 54,+40 47 03,1.101,1.735,5923.0,Confirmed planets
3058,Kepler-338 e,0,0.027000000000000003,0.139,9.34149,,18 51 54,+40 47 03,1.101,1.735,5923.0,Confirmed planets
3059,Kepler-318 b,0,,0.42922,4.662715,,19 53 55,+46 47 37,0.98,1.189,5746.0,Confirmed planets
3060,Kepler-318 c,0,,0.33536,11.815007000000001,,19 53 55,+46 47 37,0.98,1.189,5746.0,Confirmed planets
3061,Kepler-985 b,0,,0.266,116.331901,,19 20 35,+44 02 60,0.91,0.85,5434.0,Confirmed planets
3062,HD 564 b,0,0.33,,492.3,,00 09 52.82123,-50 16 04.1606,0.961,1.01,5902.0,Confirmed planets
3063,WASP-157 b,0,0.5760000000000001,1.045,3.9516205,,13 26 37,-08 40 57,1.26,1.11,5840.0,Confirmed planets
3064,Kepler-445 b,0,,0.143986,2.9841509999999998,,19 54 56.668,+46 29 55.08,0.18,0.21,3157.0,Confirmed planets
3065,Kepler-445 c,0,,0.228737,4.8712290000000005,,19 54 56.668,+46 29 55.08,0.18,0.21,3157.0,Confirmed planets
3066,Kepler-445 d,0,,0.11391300000000001,8.15275,,19 54 56.668,+46 29 55.08,0.18,0.21,3157.0,Confirmed planets
3067,Kepler-1517 b,0,,0.871,5.54608367,,19 11 14,+43 11 20,1.58,1.95,7010.0,Confirmed planets
3068,Kepler-1245 b,0,,0.128,4.35409304,,19 22 59,+43 15 39,0.86,0.83,5306.0,Confirmed planets
3069,Kepler-1245 c,0,,0.128,2.93658468,,19 22 59,+43 15 39,0.86,0.83,5306.0,Confirmed planets
3070,Kepler-66 b,0,,0.25516500000000003,17.815815,,19 35 56,+46 41 16,1.038,0.966,5962.0,"Confirmed planets, Planets in open clusters"
