kepoi_name,disposition,pdisposition,orb_period,impact,duration,depth,prad,teq,insol,steff,slogg,srad,right_ascension,declination
K01364.01,CONFIRMED,CANDIDATE,20.8341497,0.269,4.522,803.1,2.26,563.0,23.82,5296.0,4.538,0.808,295.76614,42.424278
K01364.02,CONFIRMED,CANDIDATE,7.0556584,0.301,3.0479,705.6,2.13,808.0,100.88,5296.0,4.538,0.808,295.76614,42.424278
K01430.01,CONFIRMED,CANDIDATE,10.47548084,0.664,2.3024,1070.7,2.11,540.0,20.15,4463.0,4.677,0.611,283.03979,48.825359000000006
K01430.02,CONFIRMED,CANDIDATE,22.92886314,0.805,2.0831,908.9,2.08,416.0,7.09,4463.0,4.677,0.611,283.03979,48.825359000000006
K01430.03,CONFIRMED,CANDIDATE,77.4740991,0.758,4.168,1543.6,2.63,277.0,1.4,4463.0,4.677,0.611,283.03979,48.825359000000006
K01432.01,CONFIRMED,CANDIDATE,6.88595222,0.953,4.148,428.5,2.68,946.0,189.35,5616.0,4.394,0.999,283.20697,48.580502
K01242.01,CANDIDATE,CANDIDATE,99.6442783,0.966,5.1772,3215.6,8.48,415.0,6.98,6102.0,4.447,1.016,292.22839,42.03537
K01243.01,FALSE POSITIVE,FALSE POSITIVE,3.125814002,0.506,1.7895,238.8,1.88,1460.0,1073.04,6358.0,4.346,1.181,287.14943999999997,42.105209
K00155.01,CONFIRMED,CANDIDATE,5.6606694289999995,0.477,4.6483,737.8,3.24,1115.0,365.53,5746.0,4.266,1.173,292.3215,43.881168
K01244.01,FALSE POSITIVE,FALSE POSITIVE,10.80487163,0.207,2.7215,292.7,1.71,857.0,127.84,6092.0,4.471,0.998,292.23724,42.154289
K01245.01,CONFIRMED,CANDIDATE,13.71938426,0.022,5.5677,316.4,1.98,864.0,131.94,6387.0,4.41,1.105,292.47821,42.142288
K01306.04,CONFIRMED,CANDIDATE,29.2214959,0.779,4.014,394.0,1.81,539.0,20.03,5576.0,4.503,0.829,290.67615,48.294289
K01307.01,CONFIRMED,CANDIDATE,44.8520997,0.807,3.5729,780.8,3.35,513.0,16.35,5514.0,4.345,1.071,290.92746,48.44355
K01307.02,CONFIRMED,CANDIDATE,20.34237838,0.826,2.3351,564.6,2.88,667.0,46.93,5514.0,4.345,1.071,290.92746,48.44355
K00157.05,CONFIRMED,CANDIDATE,118.3786735,0.011,9.5574,1083.3,3.4,376.0,4.75,5657.0,4.364,1.046,297.11511,41.909141999999996
K01308.01,CONFIRMED,CANDIDATE,23.58444746,0.711,5.5545,429.2,3.0,730.0,66.96,5655.0,4.152,1.354,285.42429,47.83461
K01364.03,CONFIRMED,CANDIDATE,11.97884409,0.073,3.751,707.9,2.11,678.0,49.87,5296.0,4.538,0.808,295.76614,42.424278
K01364.04,CONFIRMED,CANDIDATE,3.71545593,0.327,2.558,331.7,1.46,1001.0,237.42,5296.0,4.538,0.808,295.76614,42.424278
K01364.05,CONFIRMED,CANDIDATE,2.58083264,0.16,2.1729,270.2,1.31,1130.0,386.18,5296.0,4.538,0.808,295.76614,42.424278
K01365.01,FALSE POSITIVE,FALSE POSITIVE,1.487084251,0.678,1.3233,295.7,1.6,1462.0,1076.29,5650.0,4.551,0.876,281.43735,42.725269
K01366.01,CONFIRMED,CANDIDATE,19.25404023,0.548,4.6509,987.7,3.04,657.0,44.17,5798.0,4.507,0.941,286.35806,42.406509
K01432.02,CONFIRMED,CANDIDATE,15.0549356,0.321,4.801,256.4,1.6,729.0,66.72,5616.0,4.394,0.999,283.20697,48.580502
K01432.03,CONFIRMED,CANDIDATE,2.92721119,0.043,2.545,170.2,1.29,1258.0,593.23,5616.0,4.394,0.999,283.20697,48.580502
K01432.04,CONFIRMED,CANDIDATE,38.2856338,0.115,6.512,322.8,1.77,534.0,19.24,5616.0,4.394,0.999,283.20697,48.580502
K01433.01,CONFIRMED,CANDIDATE,19.80787763,0.054,3.453,616.3,2.08,624.0,35.89,5775.0,4.558,0.84,287.05701,49.046021
K01434.01,CONFIRMED,CANDIDATE,2.343230566,0.047,2.0424,246.5,1.18,1054.0,292.31,4798.0,4.533,0.782,283.50479,49.451019
K01246.01,CANDIDATE,CANDIDATE,19.03723442,0.033,3.3882,401.3,5.74,1051.0,288.04,5248.0,3.523,2.892,291.42755,41.878159000000004
K01247.01,FALSE POSITIVE,FALSE POSITIVE,2.73987398,0.703,4.15886,20632.0,34.83,2113.0,4705.3,6520.0,3.844,2.26,283.46991,45.052459999999996
K01248.01,FALSE POSITIVE,FALSE POSITIVE,5.8018806529999996,0.773,4.2608,41924.0,19.91,964.0,203.62,5845.0,4.541,0.874,289.40573,44.516940999999996
K01249.01,FALSE POSITIVE,FALSE POSITIVE,85.34092607,12.773,10.6141,51746.0,1177.65,409.0,6.61,6004.0,4.522,0.898,291.90237,44.683731
K01250.01,FALSE POSITIVE,FALSE POSITIVE,0.7820457340000001,1.244,1.7945,16185.0,45.05,2070.0,4332.1,6113.0,4.463,0.995,290.26767,44.712849
K01251.01,FALSE POSITIVE,FALSE POSITIVE,0.576078683,1.113,1.63253,10085.0,23.23,1982.0,3647.63,5693.0,4.57,0.816,288.70087,44.707679999999996
K01309.01,CONFIRMED,CANDIDATE,10.1171684,0.296,4.6677,288.7,3.07,1163.0,433.41,6306.0,4.077,1.792,288.85528999999997,48.208542
K01310.01,CONFIRMED,CANDIDATE,19.12947603,0.861,3.9622,451.2,4.23,817.0,105.25,5372.0,4.007,1.71,285.66269,48.435371
K01311.01,CANDIDATE,CANDIDATE,83.5781976,0.544,7.2487,630.8,6.63,655.0,43.62,6056.0,3.7880000000000003,2.562,283.53296,48.094260999999996
K01312.01,CONFIRMED,CANDIDATE,6.1469956,0.083,3.3153,249.6,2.04,1164.0,433.72,6110.0,4.285,1.296,284.91049,48.431641
K01313.01,FALSE POSITIVE,FALSE POSITIVE,0.522457732,0.967,0.8907,143.8,1.52,2308.0,6715.55,5991.0,4.459,0.954,286.66568,48.144581
K01366.02,CONFIRMED,CANDIDATE,54.1558384,0.927,4.432,1109.8,3.88,466.0,11.12,5798.0,4.507,0.941,286.35806,42.406509
K00018.01,CONFIRMED,CANDIDATE,3.5484654460000002,0.075,4.56904,7251.5,14.92,1640.0,1708.28,6290.0,4.074,1.746,299.40701,44.035053000000005
K00163.01,CONFIRMED,CANDIDATE,11.1199028,0.72,3.3759,636.3,2.08,649.0,42.07,5078.0,4.581,0.766,288.0676,42.35537
K01367.01,CONFIRMED,CANDIDATE,0.567856484,0.324,1.0258,334.8,1.55,1848.0,2760.23,5073.0,4.4830000000000005,0.853,286.88727,42.47126
K00169.01,FALSE POSITIVE,FALSE POSITIVE,11.70219638,1.166,2.6658,639.7,16.15,719.0,63.16,5758.0,4.596,0.762,284.45691,41.56131
K01435.01,CONFIRMED,CANDIDATE,40.7150498,0.638,8.587,563.9,2.2,516.0,16.76,5968.0,4.534,0.881,295.2887,48.59972
K01435.02,CONFIRMED,CANDIDATE,10.44635944,0.967,2.749,354.2,2.18,812.0,102.77,5968.0,4.534,0.881,295.2887,48.59972
K01436.01,CONFIRMED,CANDIDATE,2.508553286,0.009,2.2664,211.6,1.28,1278.0,629.8,5814.0,4.523,0.881,283.98297,49.23299
K01436.02,CONFIRMED,CANDIDATE,13.75129636,0.359,3.853,348.5,1.66,725.0,65.24,5814.0,4.523,0.881,283.98297,49.23299
K01252.01,FALSE POSITIVE,FALSE POSITIVE,0.8857474559999999,1.205,4.4788,895.2,269.98,4958.0,142553.16,5487.0,2.8160000000000003,10.396,284.28253,44.987228
K01253.01,FALSE POSITIVE,FALSE POSITIVE,3.611541977,1.254,8.6068,2972.3,28.07,1005.0,240.29,5203.0,4.504,0.802,301.35507,44.492271
