Series name;Unit;Data supplier;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Extent;10^3 km2;npolar.no [UNKNOWN NAME];19.375;183.75;168.75;325.625;97.5;35;49.375;191.875;216.875;275;319.375;132.5;138.125;151.875;273.125;122.5;136.875;38.125;128.75;186.25;92.5;125;13.125;148.75;245.625;21.875;100;111.25;48.75;146.25;138.125;141.25;10;8.125;1.875;256.25;44.375;49.375;60;11.875
Three years running average;10^3 km2;npolar.no [UNKNOWN NAME];;123.958;226.042;197.292;152.708;60.625;92.083;152.708;227.917;270.417;242.292;196.667;140.833;187.708;182.5;177.5;99.167;101.25;117.708;135.833;134.583;76.875;95.625;135.833;138.75;122.5;77.708;86.667;102.083;111.042;141.875;96.458;53.125;6.667;88.75;100.833;116.667;51.25;40.417;
Trend;10^3 km2;npolar.no [UNKNOWN NAME];183.096;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65.154
