Series name;Unit;Data supplier;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Extent;10^3 km2;npolar.no [UNKNOWN NAME];661.25;607.5;573.75;711.875;490;426.875;677.5;761.875;586.25;676.875;549.375;519.375;518.75;559.375;452.5;428.75;486.875;626.875;568.125;493.75;423.75;516.25;564.375;460.625;522.5;410;505;435.625;475;488.125;482.5;461.25;456.25;488.125;519.375;485.625;423.125;451.25;549.375;427.5
Three years running average;10^3 km2;npolar.no [UNKNOWN NAME];;614.167;631.042;591.875;542.917;531.458;622.083;675.208;675;604.167;581.875;529.167;532.5;510.208;480.208;456.042;514.167;560.625;562.917;495.208;477.917;501.458;513.75;515.833;464.375;479.167;450.208;471.875;466.25;481.875;477.292;466.667;468.542;487.917;497.708;476.042;453.333;474.583;476.042;
Trend;10^3 km2;npolar.no [UNKNOWN NAME];608.0739;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;438.0823
