Series name;Unit;Data supplier;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Extent;10^3 km2;npolar.no [UNKNOWN NAME];1020;878.75;1039.375;931.25;752.5;829.375;848.75;915;953.125;901.875;809.375;719.375;720;670;864.375;749.375;620.625;840;895.625;996.25;863.125;746.25;804.375;686.25;928.75;723.125;720.625;561.875;569.375;598.75;746.25;717.5;683.125;576.25;663.125;645;513.125;458.125;606.875;657.5
Three years running average;10^3 km2;npolar.no [UNKNOWN NAME];;979.375;949.792;907.708;837.708;810.208;864.375;905.625;923.333;888.125;810.208;749.583;703.125;751.458;761.25;744.792;736.667;785.417;910.625;918.333;868.542;804.583;745.625;806.458;779.375;790.833;668.542;617.292;576.667;638.125;687.5;715.625;658.958;640.833;628.125;607.083;538.75;526.042;574.167;
Trend;10^3 km2;npolar.no [UNKNOWN NAME];937.7546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;583.4642
