Series name;Unit;Data supplier;1990-08;1990-09;1990-10;1990-11;1990-12;1991-01;1991-02;1991-03;1991-04;1991-05;1991-06;1991-07;1991-08;1991-09;1991-10;1991-11;1991-12;1992-01;1992-02;1992-03;1992-04;1992-05;1992-06;1992-07;1992-08;1992-09;1992-10;1992-11;1992-12;1993-01;1993-02;1993-03;1993-08;1993-09;1993-10;1993-11;1993-12;1994-01;1994-02;1994-03;1994-04;1994-05;1994-06;1994-07;1994-08;1994-09;1994-10;1994-11;1994-12;1995-01;1995-02;1995-03;1995-04;1995-05;1995-06;1995-07;1996-09;1996-10;1996-11;1996-12;1997-01;1997-02;1997-03;1997-04;1997-05;1997-06;1997-07;1997-08;1997-09;1997-10;1997-11;1997-12;1998-01;1998-02;1998-03;1998-04;1998-05;1998-06;1998-07;1998-08;1998-09;1998-10;1998-11;1998-12;1999-01;1999-02;1999-03;1999-04;1999-05;1999-06;1999-07;1999-08;1999-09;1999-10;1999-11;1999-12;2000-01;2000-02;2000-03;2000-04;2000-05;2000-06;2000-07;2000-08;2000-09;2000-10;2000-11;2000-12;2001-01;2001-02;2001-03;2001-04;2001-05;2001-06;2002-09;2002-10;2002-11;2002-12;2003-01;2003-02;2003-03;2003-04;2003-05;2003-06;2003-07;2003-08;2003-09;2003-10;2003-11;2003-12;2004-01;2004-02;2004-03;2004-04;2004-05;2004-09;2004-10;2004-11;2004-12;2005-01;2005-02;2005-03;2005-04;2005-05;2005-06;2005-07;2005-08;2005-09;2005-10;2005-11;2005-12;2006-01;2006-02;2006-03;2006-04;2006-05;2006-09;2006-10;2006-11;2006-12;2007-01;2007-02;2007-03;2007-04;2007-05;2007-06;2007-07;2007-08;2007-09;2007-10;2007-11;2007-12;2008-01;2008-09;2008-10;2008-11;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08
Mean thickness;m;npolar.no [UNKNOWN NAME];3.97;1.79;2.08;2.6;2.8;2.74;2.96;2.88;2.84;2.92;4.01;4.13;3.46;2.6;2.92;3.1;2.68;2.65;3.25;3.11;3.02;3.06;3.68;4.13;4.05;3.5;2.69;2.92;2.76;2.76;2.7;2.83;3.51;3.05;2.71;2.82;2.4;2.41;2.14;3.06;3.31;2.93;3.56;3.53;3.05;3.33;3.74;3.9;3.77;2.69;3.4;3.75;4.08;3.8;3.21;2.63;1.71;2.37;2.49;3.06;3;3.74;3.51;3.88;4.32;3.97;2.8;1.52;2.11;2.31;2.49;2.96;3.28;3.03;2.86;3.06;3.21;3.86;4.11;3.31;1.1;2.32;3.25;2.46;2.18;2.67;2.31;2.58;3.03;3.6;3.45;3.86;2.45;3.05;3.59;3.51;3.05;2.7;3.11;4.1;3.68;3.18;3.58;2.99;2.07;2.82;3.29;3.6;3.44;2.93;2.59;2.15;2.29;1.8;1.56;0.86;1.06;1.09;2.16;2.59;3.23;3.47;4.14;4.4;3.14;3.29;1.18;2.79;3.44;3.85;2.59;2.8;2.9;2.81;2.34;0.9;1.43;2.33;3.26;3.65;3.74;3.51;2.73;2.58;2.67;3.26;2.65;3.02;3.52;3.92;3.41;4.04;4.09;3.66;3.33;3.54;1.73;2.35;3.33;3.77;3.04;2.91;2.26;3.11;3.82;3.54;2.53;2.7;2.93;3.11;2.87;3.13;2.75;2.44;1.85;2.04;2.36;2.71;2.36;2.01;1.94;2.24;3.23;2.59;2.36;1.8;2.9;3;2.4;2.5;1.9;2.4;2.1;2.4;2;1.9;3;1.3;1.7;2.1;1.8;1.8;1.7;2.2;2.7;2.2;2.2;1.7;1.4;1.3;1.4;1.6;2.2;2.5;2.5;2.5;2.5;2;2.7;2.1;2.4;1.79;2;2;2.69;2.16;1.78;1.65;1.93;2.17;2.79;2.98;1.9;1.72;1.6;1.8;2.72;1.93;2.16;2;2.27;3.45;3.77;3.22;2.53
Mode thickness;m;npolar.no [UNKNOWN NAME];2.5;2.5;2.6;2.8;3;2.9;3.2;3.5;3.6;3.4;3.4;3.2;3;2.8;3;2.9;2.9;2.7;2.9;3;3.2;3.2;3;3;2.7;2.6;2.9;3.2;2.6;2.5;2.4;2.6;2;2.1;2.7;2.4;2.3;2.4;2.6;2.8;3;2.9;2.8;2.6;2.5;2.6;2.8;2.9;2.7;2.5;2.7;2.7;2.9;3;2.8;2.8;2.9;2.8;2.4;3;3.2;3.4;3.5;3.6;3.6;3.6;3.4;2.6;2.5;2.5;2.7;3.4;3.5;3.2;3.3;3.5;3.5;3.4;3.2;2.3;2.6;2.7;2.7;2.2;2.1;2.2;2.4;2.5;2.7;2.6;2.6;2.7;1.9;2;2.6;2.6;2.5;2.4;2.4;2.7;2.6;2.4;2.3;1.9;2.2;2.4;2.6;2.6;2.2;2.5;2.3;2;1.9;2;1.9;1.7;2.1;2.5;2.5;2.4;2.8;3.1;3.2;3.2;3;2.2;3.1;2.8;2.8;3.5;3;3;2.8;2.4;1.8;;;2.5;2.7;2.7;2.8;2.8;2.6;2.2;2.2;2.1;2;2.1;2.3;2.5;2.4;2.6;2.5;2.6;2.8;2.9;1.9;2.1;2.3;2.5;2.3;2.2;2.2;2.3;2.3;2.2;1.9;1.7;1.7;1.9;2;2;1.9;1.5;1.7;1.8;1.9;1.9;1.9;1.8;1.9;2;2.3;1.7;1.7;1.8;1.9;1.9;2;2;2;2.1;2.1;2.2;2.2;1.8;2.3;1.7;1.8;1.9;2.1;2.4;1.8;2.1;2.3;2.3;2.4;1.9;1.7;1.2;1.3;1.6;1.8;1.9;1.8;1.9;2;1.8;2.1;1.7;1.7;1.3;1.5;1.5;1.8;1.8;1.7;1.6;1.6;1.7;2.2;2;1.6;1.5;1.6;1.7;2.2;2.2;2.4;1.9;2.3;2.4;2.7;2.2;1.8
