pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,ra,dec,st_dist,st_teff,st_mass,st_rad
GJ 436 b,Radial Velocity,1,2.64388312,0.0291,0.13827,0.07,0.37200000000000005,175.546219,26.706570000000003,9.76,,0.47,0.46
GJ 504 b,Imaging,1,,43.5,,4.0,,199.193817,9.424156,17.54,6234.0,1.22,
GJ 536 b,Radial Velocity,1,8.7076,0.06661,0.08,0.01686,,210.26328999999998,-2.654864,10.03,3685.0,0.52,0.5
GJ 581 b,Radial Velocity,3,5.3686,0.04061,0.0,0.0497,,229.861771,-7.7222800000000005,6.3,,0.31,0.29
GJ 581 c,Radial Velocity,3,12.914,0.0721,0.0,0.0173,,229.861771,-7.7222800000000005,6.3,,0.31,0.29
GJ 581 e,Radial Velocity,3,3.149,0.02815,0.0,0.0053,,229.861771,-7.7222800000000005,6.3,,0.31,0.29
GJ 625 b,Radial Velocity,1,14.628,0.078361,0.13,0.008870000000000001,,246.3526,54.304104,6.49,3499.0,0.3,0.31
GJ 649 b,Radial Velocity,1,598.3,1.135,0.3,0.328,,254.53687999999997,25.74416,10.38,3700.0,0.54,
GJ 667 C b,Radial Velocity,5,7.2004,0.0505,0.13,0.018,,259.745085,-34.996827,6.8,3350.0,0.33,
GJ 667 C c,Radial Velocity,5,28.14,0.125,0.02,0.012,,259.745085,-34.996827,6.8,3350.0,0.33,
GJ 667 C e,Radial Velocity,5,62.24,0.213,0.02,0.008,,259.745085,-34.996827,6.8,3350.0,0.33,
GJ 667 C f,Radial Velocity,5,39.026,0.156,0.03,0.008,,259.745085,-34.996827,6.8,3350.0,0.33,
GJ 667 C g,Radial Velocity,5,256.2,0.549,0.08,0.014,,259.745085,-34.996827,6.8,3350.0,0.33,
GJ 674 b,Radial Velocity,1,4.6938,0.039,0.2,0.035,,262.166443,-46.895191,4.55,3600.0,0.35,
GJ 676 A b,Radial Velocity,4,1056.80005,1.82,0.33,4.96,,262.546692,-51.636978000000006,16.9,3734.0,0.73,0.69
GJ 676 A c,Radial Velocity,4,7337.0,6.6,,6.8,,262.546692,-51.636978000000006,16.9,3734.0,0.73,0.69
GJ 676 A d,Radial Velocity,4,3.6005,,0.262,0.014,,262.546692,-51.636978000000006,16.9,3734.0,0.73,0.69
GJ 676 A e,Radial Velocity,4,35.39,,0.125,0.025,,262.546692,-51.636978000000006,16.9,3734.0,0.73,0.69
GJ 685 b,Radial Velocity,1,24.16,0.1344,0.0,0.028319999999999998,,263.893677,61.681564,14.32,3816.0,0.55,0.54
GJ 687 b,Radial Velocity,1,38.14,0.17,0.04,0.06,,264.10791,68.33914200000001,4.55,3340.0,0.45,0.43
GJ 832 b,Radial Velocity,2,3657.0,3.56,0.08,0.68,,323.391571,-49.009006,4.97,3472.0,0.45,
GJ 832 c,Radial Velocity,2,35.68,0.163,0.18,0.017,,323.391571,-49.009006,4.97,3472.0,0.45,
GJ 849 b,Radial Velocity,1,1882.0,2.35,0.04,1.0,,332.418121,-4.640729,8.8,3241.0,0.65,0.53
GJ 86 b,Radial Velocity,1,15.76491,0.11,0.04,4.42,,32.608059000000004,-50.823723,10.79,5182.0,0.93,0.77
GJ 876 b,Radial Velocity,4,61.1166,0.208317,0.0324,2.2756,,343.319733,-14.2637,4.68,,0.32,0.3
GJ 876 c,Radial Velocity,4,30.0881,0.12959,0.25590999999999997,0.7142,,343.319733,-14.2637,4.68,,0.32,0.3
GJ 876 d,Radial Velocity,4,1.93778,0.020807,0.207,0.021,,343.319733,-14.2637,4.68,,0.32,0.3
GJ 876 e,Radial Velocity,4,124.26,0.3343,0.055,0.046,,343.319733,-14.2637,4.68,,0.32,0.3
GJ 96 b,Radial Velocity,1,73.94,0.291,0.44,0.061860000000000005,,35.561015999999995,47.880028,11.94,3785.0,0.6,
GJ 9827 b,Transit,3,1.2089802,0.01888,,0.010759999999999999,0.145,351.77014199999996,-1.286273,30.32,4269.0,0.61,0.61
GJ 9827 c,Transit,3,3.648083,0.03942,,0.00761,0.113,351.77014199999996,-1.286273,30.32,4269.0,0.61,0.61
GJ 9827 d,Transit,3,6.201467,0.05615,,0.01636,0.185,351.77014199999996,-1.286273,30.32,4269.0,0.61,0.61
GQ Lup b,Imaging,1,,100.0,,20.0,3.0,237.300427,-35.651421,139.0,,0.7,
GSC 06214-00210 b,Imaging,1,,320.0,,16.0,,245.47777999999997,-20.719202,145.0,4200.0,0.9,
GU Psc b,Imaging,1,,2000.0,,11.3,1.265,18.146006,17.065475,48.0,,0.33,
Gl 378 b,Radial Velocity,1,3.822,0.039435000000000005,0.109,0.04097,,150.590622,48.088806,14.96,3879.0,0.56,0.56
Gl 686 b,Radial Velocity,1,15.53209,0.091,0.0,0.022340000000000002,,264.47229,18.591708999999998,8.16,3663.0,0.42,0.42
HAT-P-1 b,Transit,1,4.46529976,0.05561,,0.525,1.319,344.445104,38.674953,139.0,5980.0,1.15,1.17
HAT-P-11 b,Transit,2,4.88780244,0.052539999999999996,0.218,0.07362,0.389,297.70935099999997,48.080856,37.81,4780.0,0.81,0.68
HAT-P-11 c,Radial Velocity,2,3407.0,4.13,0.601,1.5951899999999999,,297.70935099999997,48.080856,37.81,4780.0,0.81,0.68
HAT-P-12 b,Transit,1,3.2130598,0.0384,0.0,0.211,0.9590000000000001,209.389489,43.493534000000004,142.5,4650.0,0.73,0.7
HAT-P-13 b,Transit,2,2.91625,,0.0133,0.851,1.272,129.88253600000002,47.352051,214.0,5653.0,1.22,1.56
HAT-P-13 c,Radial Velocity,2,446.27,,0.6616,14.28,,129.88253600000002,47.352051,214.0,5653.0,1.22,1.56
HAT-P-14 b,Transit,1,4.62767,,0.11,3.44,1.42,260.116169,38.242165,205.0,6600.0,2.65,1.82
HAT-P-15 b,Transit,1,10.8635,,0.19,1.94,1.06,66.248026,39.460636,190.0,5568.0,1.0,1.07
HAT-P-16 b,Transit,1,2.77596,0.0413,0.036,4.193,1.2890000000000001,9.573181,42.463078,235.0,6158.0,1.22,1.24
HAT-P-17 b,Transit,2,10.33852,,0.35,0.58,1.05,324.53639599999997,30.488715999999997,90.0,5246.0,0.99,0.87
HAT-P-17 c,Radial Velocity,2,5584.0,5.6,0.39,3.4,,324.53639599999997,30.488715999999997,90.0,5246.0,0.99,0.87
HAT-P-18 b,Transit,1,5.508023,0.0559,0.084,0.197,0.995,256.346473,33.012512,166.0,4803.0,0.77,0.75
HAT-P-19 b,Transit,1,4.008778,0.0466,0.067,0.292,1.1320000000000001,9.516742,34.711575,215.0,4990.0,0.84,0.82
HAT-P-2 b,Transit,1,5.6335158,0.06813999999999999,0.5172,8.62,,245.15148900000003,41.048084,128.25,6380.0,1.33,1.39
HAT-P-20 b,Transit,1,2.875317,0.0361,0.015,7.246,0.867,111.91646899999999,24.33663,70.0,4595.0,0.76,0.69
HAT-P-21 b,Transit,1,4.12448,,0.23,4.87,1.11,171.274955,41.027954,254.0,5588.0,1.24,1.21
HAT-P-22 b,Transit,1,3.21222,,0.02,2.47,1.15,155.681719,50.128345,82.0,5302.0,1.13,1.11
HAT-P-23 b,Transit,1,1.21288,,0.11,1.34,1.09,306.123854,16.762152,393.0,5905.0,0.58,0.96
HAT-P-24 b,Transit,1,3.35524,,0.07,0.75,1.3,108.82505800000001,14.262599,396.0,6373.0,1.37,1.38
HAT-P-25 b,Transit,1,3.65281514,0.0466,0.023,0.569,1.135,48.435419,25.197405,297.0,5519.0,1.01,0.92
HAT-P-26 b,Transit,1,4.23452,,0.12,0.07,0.63,213.156383,4.059997,134.0,5079.0,1.12,0.87
HAT-P-27 b,Transit,1,3.039577,0.04,0.0,0.62,1.02,222.76743599999998,5.947368,204.0,5300.0,0.94,0.9
HAT-P-28 b,Transit,1,3.257215,0.0434,0.051,0.626,1.212,13.000766,34.728413,395.0,5680.0,1.02,1.1
HAT-P-29 b,Transit,1,5.72319,,0.09,0.88,1.17,33.131142,51.778759,322.0,6087.0,1.45,1.3
HAT-P-3 b,Transit,1,2.8997,,0.0,0.65,0.94,206.094121,48.028667,138.0,5185.0,1.06,0.87
HAT-P-30 b,Transit,1,2.8106,,0.04,0.83,1.44,123.949894,5.836719,193.0,6304.0,1.55,1.31
HAT-P-31 b,Transit,1,5.00542,,0.25,2.27,1.09,271.53770499999996,26.426662,354.0,6065.0,1.31,1.39
HAT-P-32 b,Transit,1,2.15001,,0.0,0.83,1.75,31.042848,46.687836,283.0,6207.0,1.09,1.19
HAT-P-33 b,Transit,1,3.47447,,0.0,0.92,1.85,113.18421200000002,33.835052000000005,387.0,6446.0,1.82,1.79
HAT-P-34 b,Transit,1,5.45265,,0.44,7.01,1.35,303.195342,18.104868,257.0,6442.0,4.26,1.73
HAT-P-35 b,Transit,1,3.64671,,0.03,7.52,3.55,123.25076399999999,4.7870230000000005,535.0,6096.0,23.56,3.82
HAT-P-36 b,Transit,1,1.32735,,0.06,1.53,1.15,188.266255,44.915352,317.0,5560.0,0.78,1.0
HAT-P-37 b,Transit,1,2.797436,0.0379,0.058,1.169,1.178,284.296064,51.269138,411.0,5500.0,0.93,0.88
HAT-P-38 b,Transit,1,4.640382,0.0523,0.067,0.267,0.825,35.383234,32.246151,249.0,5330.0,0.89,0.92
