P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Mean (EU),P. Teq Mean (K),P. Ts Mean (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),S. Name,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Age (Gyrs),S. Distance (pc),S. RA (hrs),S. DEC (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
Kepler-399 c,Hot,Terran,rocky-iron,metals-rich,non-habitable,2.97,1.43,1.01,1.44,1.44,        15.82438,508.1,546.8,3.0,-20.97,2.72,26.68,0.155,0.0,0.15,Kepler-399,Cyg,G,0.7,0.68,5502.0,0.380181,,,19.9668,40.6708,3,0,0.47,1.117,-1.98,-0.16,-0.5,0.33,0.36,0,0,1,Primary Transit,      2014.00
Kepler-399 d,Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.29,1.89,1.22,2.31,2.09,        5.580961,391.6,435.5,10.1,-20.44,3.6,58.03,0.261,0.0,0.26,Kepler-399,Cyg,G,0.7,0.68,5502.0,0.380181,,,19.9668,40.6708,3,0,0.47,1.117,-1.65,-0.14,0.32,0.37,0.46,0,0,1,Primary Transit,      2014.00
Kepler-400 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,4.89,1.65,1.1,1.8,1.72,        188.1603,943.6,984.8,5.4,-23.98,3.13,9.02,0.087,0.0,0.09,Kepler-400,Lyr,G,1.08,1.15,5886.0,1.424185,,,19.3963,40.48,2,0,0.89,2.09,-2.34,-0.15,-0.64,0.29,0.28,0,0,1,Primary Transit,      2014.00
Kepler-400 c,Hot,Terran,rocky-iron,metals-rich,non-habitable,3.4,1.49,1.03,1.53,1.51,        79.31528,760.3,799.7,3.5,-22.81,2.83,17.34,0.134,0.0,0.13,Kepler-400,Lyr,G,1.07,1.15,5886.0,1.424185,,,19.3963,40.48,2,0,0.89,2.09,-2.26,-0.15,-0.67,0.3,0.3,0,0,1,Primary Transit,      2014.00
Kepler-401 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.68,1.71,1.13,1.93,1.82,        149.2889,890.5,932.5,6.4,-23.81,3.26,14.38,0.122,0.0,0.12,Kepler-401,Cyg,F,1.17,1.33,6117.0,2.222016,,,19.3389,50.8635,3,0,1.0959999999999999,2.5610000000000004,-2.33,-0.15,-0.55,0.29,0.28,0,0,1,Primary Transit,      2014.00
Kepler-401 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,13.85,2.15,1.39,2.99,2.54,        30.70737,599.7,646.4,19.3,-22.58,4.09,47.32,0.269,0.0,0.27,Kepler-401,Cyg,F,1.16,1.33,6117.0,2.222016,,,19.3389,50.8635,3,0,1.0959999999999999,2.5610000000000004,-2.13,-0.13,0.27,0.32,0.29,0,0,1,Primary Transit,      2014.00
Kepler-401 d,,Superterran,rocky-iron,,non-habitable,17.55,2.27,1.49,3.39,2.78,             ,,,26.2,,4.32,184.26,,0.0,,Kepler-401,Cyg,F,,1.33,6117.0,2.222016,,,19.3388,50.8635,3,0,1.0959999999999999,2.5610000000000004,,-0.12,,,,0,0,1,Transit,      2016.00
Kepler-402 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.7,1.22,0.93,1.14,1.18,        753.2856,1334.7,1370.7,1.6,-24.84,2.32,4.03,0.051,0.0,0.05,Kepler-402,Lyr,F,1.09,1.26,6090.0,1.959296,,,19.2247,43.3546,4,0,1.031,2.41,-2.42,-0.17,-1.11,0.27,0.29,0,0,1,Primary Transit,      2014.00
Kepler-402 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,3.99,1.56,1.06,1.65,1.6,        423.7232,1155.9,1196.0,4.2,-24.74,2.96,6.12,0.068,0.0,0.07,Kepler-402,Lyr,F,1.12,1.26,6090.0,1.959296,,,19.2247,43.3546,4,0,1.031,2.41,-2.4,-0.15,-0.82,0.28,0.28,0,0,1,Primary Transit,      2014.00
Kepler-402 d,Hot,Terran,rocky-iron,metals-rich,non-habitable,2.58,1.38,0.99,1.36,1.37,        258.8580,1021.9,1059.9,2.5,-23.93,2.62,8.92,0.087,0.0,0.09,Kepler-402,Lyr,F,1.1,1.26,6090.0,1.959296,,,19.2247,43.3546,4,0,1.031,2.41,-2.37,-0.16,-0.9,0.28,0.29,0,0,1,Primary Transit,      2014.00
Kepler-402 e,Hot,Terran,rocky-iron,metals-rich,non-habitable,3.14,1.46,1.02,1.48,1.47,        188.3214,943.8,982.7,3.2,-23.71,2.77,11.24,0.102,0.0,0.1,Kepler-402,Lyr,F,1.12,1.26,6090.0,1.959296,,,19.2247,43.3546,4,0,1.031,2.41,-2.35,-0.16,-0.81,0.29,0.29,0,0,1,Primary Transit,      2014.00
Kepler-403 b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.86,1.25,0.94,1.18,1.22,        377.9506,1123.3,1159.7,1.8,-24.14,2.38,7.03,0.076,0.0,0.08,Kepler-403,Cyg,F,1.19,1.33,6090.0,2.183043,,,19.3281,46.7446,3,0,1.088,2.544,-2.39,-0.16,-1.03,0.28,0.29,0,0,1,Primary Transit,      2014.00
Kepler-403 c,Hot,Superterran,rocky-iron,metals-rich,non-habitable,6.1,1.75,1.14,2.0,1.87,        24.74853,568.2,610.6,7.0,-21.89,3.32,54.28,0.297,0.0,0.3,Kepler-403,Cyg,F,1.19,1.33,6090.0,2.183043,,,19.3281,46.7446,3,0,1.088,2.544,-2.09,-0.14,-0.21,0.32,0.32,0,0,1,Primary Transit,      2014.00
Kepler-403 d,,Terran,rocky-iron,,non-habitable,2.89,1.42,1.0,1.43,1.42,             ,,,2.9,,2.7,13.61,,0.0,,Kepler-403,Cyg,F,,1.33,6090.0,2.183043,,,19.3281,46.7446,3,0,1.088,2.544,,-0.16,,,,0,0,1,Transit,      2016.00
