P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Mean (EU),P. Teq Mean (K),P. Ts Mean (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),S. Name,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Age (Gyrs),S. Distance (pc),S. RA (hrs),S. DEC (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
1RXS 1609 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4451.16,19.04,0.64,12.28,15.29,    4.079751e-06,11.4,,2870.4,-10.06,36.81,,330.0,0.0,330.0,1RXS 1609,Sco,K7V,0.73,1.35,4060.0,0.44428500000000004,0.011000000000000001,145.0,16.1583,-21.0828,1,0,0.54,1.3619999999999999,800.07,23.51,85.62,0.0,0.05,0,0,1,Imaging,      2008.00
1SWASP J1407 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,6358.8,10.94,4.86,53.12,24.11,      0.02166914,97.7,,30873.8,-18.21,20.91,3725.0,3.9,0.0,3.9,1SWASP J1407,Cen,K,0.9,0.99,4400.0,0.329588,0.016,133.0,14.13,-39.7619,1,0,0.461,1.143,9.07,15.3,45.41,0.02,0.07,0,0,1,Primary Transit,      2012.00
2M 0103-55(AB) b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4133.22,11.4,2.79,31.79,19.04,    3.961934e-06,11.4,,11520.8,-8.91,21.8,,84.0,0.0,84.0,2M 0103-55(AB),Phe,M,0.4,0.38,3840.0,0.027955,0.03,47.2,1.06,-55.2656,1,0,0.136,0.34700000000000003,793.67,12.57,107.44,0.0,0.06,0,0,1,Imaging,      2013.00
2M 0122-24 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,6358.8,11.2,4.53,50.69,23.83,    1.033854e-05,14.4,,28780.4,-9.92,21.41,,52.0,0.0,52.0,2M 0122-24,Cet,M3.5,0.4,0.38,3840.0,0.027955,0.12,36.0,1.3808,-24.6142,1,0,0.136,0.34700000000000003,490.45,15.72,119.46,0.0,0.08,0,0,1,Imaging,      2013.00
2M 0219-39 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4419.37,16.13,1.05,16.99,16.55,    2.368772e-07,5.6,,4655.6,-6.6,31.03,,156.0,0.0,156.0,2M 0219-39,For,M6,0.11,0.27,3064.0,0.005765,,39.4,2.3228,-39.4231,1,0,0.062,0.165,3028.82,19.46,133.25,0.0,0.06,0,0,1,Imaging,      2015.00
2M 0441+23 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,2384.55,11.66,1.5,17.53,14.3,    1.264487e-07,4.8,,3585.2,-5.21,22.3,,15.0,0.0,15.0,2M 0441+23,Tau,M8.5,0.02,0.01,3840.0,2.8000000000000003e-05,0.001,140.0,4.6958,23.0308,1,0,0.004,0.011000000000000001,4453.14,10.21,124.39,0.0,0.07,0,0,1,Imaging,      2010.00
2M 0746+20 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,9538.2,10.86,7.44,80.81,29.63,    2.291890e-05,16.8,,70951.8,-10.87,20.76,4640.0,2.897,0.49,2.53,2M 0746+20,Gem,,0.12,0.09,2205.0,0.000168,,12.21,7.7786,20.0089,1,0,0.011000000000000001,0.028999999999999998,325.42,20.19,132.41,0.0,0.08,0,0,1,Imaging,      2010.00
2M 1207-39 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,1271.76,11.66,0.8,9.36,10.44,    2.736194e-08,3.3,,1020.6,-3.53,22.3,,46.0,0.0,46.0,2M 1207-39,Cen,M8,0.03,0.02,3840.0,5.7999999999999994e-05,0.008,52.4,12.1258,-39.5483,1,0,0.006,0.016,9575.68,8.56,109.81,0.0,0.08,0,0,1,Imaging,      2004.00
2M 1938+46 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,604.09,11.21,0.43,4.81,7.34,       0.1531191,159.4,,259.4,-20.4,21.42,416.0,0.92,0.0,0.92,2M 1938+46,Cyg,sdB+M,0.6,,,0.1296,,,19.6425,46.0664,1,0,,,2.51,7.35,9.51,0.08,0.24,0,0,1,Pulsar,      2015.00
2M 2140+16 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,6358.8,10.3,5.81,59.89,24.84,    2.086658e-05,17.0,,36960.1,-10.54,19.68,7340.0,3.53,0.26,3.41,2M 2140+16,Peg,,0.08,0.1,2300.0,0.000251,,25.0,21.6747,16.4217,1,0,0.013000000000000001,0.035,316.89,14.27,113.5,0.0,0.08,0,0,1,Imaging,      2010.00
2M 2206-20 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,9538.2,14.56,3.09,44.99,25.59,    1.649645e-05,16.2,,29474.7,-11.0,27.95,8686.0,4.48,0.0,4.48,2M 2206-20,Aqr,,0.13,0.11,2350.0,0.000331,,26.67,22.1064,-20.785,1,0,0.015,0.040999999999999995,347.42,27.82,121.07,0.0,0.06,0,0,1,Imaging,      2010.00
2M 2236+4751 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,3974.25,11.43,2.66,30.4,18.64,    7.434049e-07,7.5,,10567.3,-7.09,21.86,,230.0,0.0,230.0,2M 2236+4751,Lac,K7,0.6,0.25,5150.0,0.039326,0.12,63.0,22.6069,47.8619,1,0,0.154,0.371,2122.87,12.37,130.05,0.0,0.06,0,0,1,Imaging,      2016.00
2MASS J1450-7841 Ab,Cold,Jovian,gas,hydrogen-rich,non-habitable,12717.6,9.75,13.73,133.83,36.12,    1.556766e-09,1.6,,174590.9,-0.02,18.61,,300.0,0.0,300.0,2MASS J1450-7841 Ab,Aps,M9p,0.04,0.03,3840.0,0.00014,,75.0,14.8447,-78.6939,1,0,0.01,0.025,40152.3,22.78,550.24,0.0,0.04,0,0,1,Imaging,      2017.00
2MASS J1450-7841 Bb,Cold,Jovian,gas,hydrogen-rich,non-habitable,12717.6,9.75,13.73,133.83,36.12,    1.556766e-09,1.6,,174590.9,-0.02,18.61,,300.0,0.0,300.0,2MASS J1450-7841 Bb,Aps,M8p,0.04,0.03,3840.0,0.00014,,75.0,14.845,-78.6947,1,0,0.01,0.025,40152.3,22.78,550.24,0.0,0.04,0,0,1,Imaging,      2017.00
2MASS J2250+2325 b,,Jovian,gas,,non-habitable,9538.2,10.3,8.73,89.9,30.43,             ,,,83247.3,,19.67,,518.0,0.0,518.0,2MASS J2250+2325,Peg,M3,,,3840.0,,0.15,41.5,22.8375,23.4261,1,0,,,,19.03,,,,0,0,1,Imaging,      2017.00
2MASS J11193254 AB b,,Jovian,gas,,non-habitable,1176.38,11.64,0.75,8.68,10.05,             ,,,877.3,,22.26,32850.0,,0.0,,2MASS J11193254 AB,Crt,L7,,,,,0.01,,11.3257,-11.6296,1,0,,,,8.41,,,,0,0,1,Imaging,      2017.00
2M J2126-81 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4228.6,11.38,2.87,32.62,19.27,    7.824422e-09,2.4,,12117.6,-2.12,21.77,,6900.0,0.0,6900.0,2M J2126-81,Oct,M2,0.4,1.39,3840.0,0.372521,0.027000000000000003,24.75,21.4244,-81.6411,1,0,0.49700000000000005,1.2670000000000001,17908.75,12.7,238.96,0.0,0.06,0,0,1,Imaging,      2016.00
4 Uma b,Hot,Jovian,gas,hydrogen-rich,non-habitable,2257.37,11.67,1.42,16.57,13.91,        163.7823,877.3,,3205.8,-28.21,22.32,269.3,0.87,0.43,0.78,4 Uma,UMa,K1III,1.23,18.11,4415.0,111.801993,4.604,78.5,8.6703,64.3281,1,0,8.48,21.034000000000002,-2.21,10.03,7.06,0.07,0.07,0,0,1,Radial Velocity,      2007.00
6 Lyn b,Hot,Jovian,,,non-habitable,21874.27,,,,,        3.106028,337.1,,,,,899.0,2.2,0.13,2.18,6 Lyn,Lyn,K0IV,1.7,5.2,4978.0,14.897592999999999,,56.9,6.5131,58.1628,1,0,3.0260000000000002,7.3229999999999995,-1.38,,,,0.25,0,0,1,Radial Velocity,      2008.00
7 CMa b,Warm,Jovian,gas,hydrogen-rich,non-habitable,782.13,11.44,0.52,5.98,8.27,       0.6887656,230.0,,408.7,-22.11,21.87,796.0,1.93,0.22,1.88,7 CMa,CMa,K1 III,1.52,2.3,4792.0,2.502723,,19.75,6.6114,-19.2558,1,1,1.251,3.05,-0.23,7.72,8.73,0.08,0.42,0,0,1,Radial Velocity,      2011.00
8 Umi b,Hot,Jovian,gas,hydrogen-rich,non-habitable,476.91,10.92,0.37,4.0,6.61,        202.5754,960.5,,174.8,-28.19,20.86,93.4,0.49,0.06,0.49,8 Umi,UMi,K0,1.8,9.9,4847.4,48.550717,1.7,159.1,14.9467,74.9008,1,0,5.496,13.370999999999999,-2.27,7.02,2.39,0.11,0.11,0,0,1,Radial Velocity,      2015.00
11 Com b,Hot,Jovian,gas,hydrogen-rich,non-habitable,6168.04,10.98,4.66,51.15,23.7,        101.1515,799.7,,28729.5,-27.47,20.99,326.03,1.29,0.23,1.26,11 Com,Com,G8 III,2.7,19.0,4742.0,163.77336200000002,,110.6,12.3453,17.7928,1,0,10.14,24.781,-2.21,15.07,14.33,0.05,0.06,0,0,1,Radial Velocity,      2008.00
11 Oph b,Cold,Jovian,gas,hydrogen-rich,non-habitable,6676.74,10.87,5.19,56.47,24.78,    2.967563e-10,1.1,,34672.8,1.55,20.78,730000.0,243.0,0.0,243.0,11 Oph,Sco,M9,0.02,0.02,2375.0,1.8e-05,0.011000000000000001,145.0,16.3736,-24.0872,1,0,0.003,0.009000000000000001,82422.85,15.68,464.12,0.0,0.05,0,0,1,Imaging,      2007.00
11 UMi b,Hot,Jovian,gas,hydrogen-rich,non-habitable,3338.37,11.54,2.17,25.05,17.0,        78.07546,756.4,,7242.6,-27.27,22.08,516.22,1.54,0.08,1.54,11 UMi,UMi,K4III,1.8,24.08,4340.0,184.570281,1.56,119.5,15.285,71.8239,1,0,10.921,27.186999999999998,-2.15,11.54,10.21,0.06,0.07,0,0,1,Radial Velocity,      2009.00
14 And b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1694.62,11.68,1.06,12.41,12.04,        84.56341,772.6,,1800.5,-27.38,22.34,185.84,0.83,0.0,0.83,14 And,And,K0III,2.2,11.0,4813.0,58.25573000000001,,76.4,23.5214,39.2361,1,0,6.029,14.69,-2.2,9.2,6.65,0.08,0.09,0,0,1,Radial Velocity,      2008.00
14 Her b,Cold,Jovian,gas,hydrogen-rich,non-habitable,1475.24,11.68,0.93,10.82,11.24,      0.05017497,117.3,,1366.4,-19.35,22.33,1773.4,2.77,0.37,2.57,14 Her,Her,K0 V,0.9,0.71,5311.0,0.357817,5.1,18.1,16.1731,43.8217,1,0,0.461,1.102,6.36,8.87,17.88,0.05,0.13,0,0,1,Radial Velocity,      2002.00
16 Cyg B b,Cold,Jovian,gas,hydrogen-rich,non-habitable,534.14,11.06,0.39,4.36,6.95,       0.4656991,187.6,,210.6,-21.94,21.15,799.5,1.68,0.69,1.22,16 Cyg B,Cyg,G2.5 V,1.01,0.98,5766.0,0.9524459999999999,8.0,21.41,19.6975,50.5175,1,0,0.733,1.7269999999999999,1.15,7.17,7.16,0.09,0.39,0,0,1,Radial Velocity,      1996.00
18 Del b,Hot,Jovian,gas,hydrogen-rich,non-habitable,3274.78,11.55,2.12,24.53,16.83,        5.912127,396.8,,6951.2,-24.46,22.1,993.3,2.6,0.08,2.59,18 Del,Del,G6III,2.3,8.5,4979.0,39.83788,,73.1,20.9739,10.8392,1,0,4.949,11.975,-1.67,11.45,14.59,0.05,0.2,0,0,1,Radial Velocity,      2008.00
24 Boo b,Hot,Jovian,gas,metals-rich,non-habitable,289.33,10.09,0.28,2.84,5.35,        1614.173,1614.3,,81.4,-30.28,19.27,30.35,0.19,0.04,0.19,24 Boo,Boo,G3IV,0.99,10.64,4893.0,58.220234,,100.0,14.4775,49.845,1,0,6.006,14.585,-2.36,6.34,0.85,0.13,0.12,0,0,1,Radial Velocity,      2018.00
24 Sex b,Hot,Jovian,gas,hydrogen-rich,non-habitable,632.7,11.25,0.44,5.0,7.5,        8.222184,430.8,,280.9,-24.76,21.51,452.8,1.333,0.09,1.33,24 Sex,Sex,G5,1.54,4.9,5098.0,14.550614999999999,2.7,74.8,10.3911,0.9022,2,0,2.9739999999999998,7.162000000000001,-1.78,7.41,5.25,0.1,0.21,0,0,1,Radial Velocity,      2010.00
24 Sex c,Hot,Jovian,gas,hydrogen-rich,non-habitable,273.43,9.99,0.27,2.74,5.23,        3.514242,343.2,,75.1,-23.61,19.06,883.0,2.08,0.29,1.99,24 Sex,Sex,G5,1.54,4.9,5098.0,14.550614999999999,2.7,74.8,10.3911,0.9022,2,0,2.9739999999999998,7.162000000000001,-1.42,6.26,3.66,0.12,0.35,0,0,1,Radial Velocity,      2010.00
30 Ari B b,Hot,Jovian,gas,hydrogen-rich,non-habitable,3141.25,11.58,2.03,23.44,16.47,        2.531428,316.2,,6362.4,-23.58,22.13,335.1,0.995,0.29,0.95,30 Ari B,Ari,F6V,1.22,1.23,6484.0,2.3992310000000003,0.91,39.4,2.6161,24.6481,1,0,1.114,2.5860000000000003,-1.15,11.27,15.94,0.05,0.31,0,0,1,Radial Velocity,      2009.00
38 Vir b,Warm,Jovian,gas,hydrogen-rich,non-habitable,1433.91,11.68,0.9,10.52,11.08,        1.053172,258.0,,1291.7,-22.59,22.33,825.9,1.82,0.03,1.82,38 Vir,Vir,F6 V,1.18,1.45,6557.0,3.486957,1.9,,12.8864,-3.5531,1,1,1.337,3.102,-0.45,8.8,11.61,0.06,0.41,0,1,1,Primary Transit,      2016.00
42 Dra b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1233.61,11.65,0.78,9.09,10.29,        103.4399,789.4,,961.9,-27.68,22.28,479.1,1.19,0.38,1.1,42 Dra,Dra,K1.5III,0.98,22.03,4200.0,135.49270900000002,9.49,97.3,18.4331,65.5636,1,0,9.395,23.546,-2.16,8.5,5.18,0.09,0.09,0,0,1,Radial Velocity,      2009.00
47 Uma b,Warm,Jovian,gas,hydrogen-rich,non-habitable,804.39,11.46,0.53,6.13,8.38,       0.3771968,199.6,,430.0,-21.43,21.91,1078.0,2.1,0.03,2.1,47 Uma,UMa,G0V,1.03,1.24,5892.0,1.6625860000000001,7.4,13.97,10.9914,40.4294,3,1,0.961,2.258,0.76,7.77,9.73,0.07,0.35,0,0,1,Radial Velocity,      1996.00
47 Uma c,Cold,Jovian,gas,hydrogen-rich,non-habitable,171.69,9.01,0.23,2.11,4.36,       0.1289065,152.4,,40.3,-19.74,17.19,2391.0,3.6,0.1,3.58,47 Uma,UMa,G0V,1.03,1.24,5892.0,1.6625860000000001,7.4,13.97,10.9914,40.4294,3,1,0.961,2.258,3.08,5.63,5.1,0.11,0.27,0,0,1,Radial Velocity,      2001.00
47 Uma d,Cold,Jovian,gas,hydrogen-rich,non-habitable,521.42,11.03,0.39,4.28,6.87,      0.01251699,84.8,,202.4,-17.65,21.09,14002.0,11.6,0.16,11.45,47 Uma,UMa,G0V,1.03,1.24,5892.0,1.6625860000000001,7.4,13.97,10.9914,40.4294,3,1,0.961,2.258,15.47,7.14,12.64,0.05,0.12,0,0,1,Radial Velocity,      2010.00
51 Eri b,Cold,Jovian,gas,hydrogen-rich,non-habitable,2893.25,12.43,1.51,18.72,15.26,      0.02944644,104.7,,4356.6,-18.85,23.8,14965.0,14.0,0.21,13.69,51 Eri,Eri,F0IV,1.75,1.49,7300.0,5.6428,0.02,29.4,4.6267,-2.4735,1,0,1.6469999999999998,3.7960000000000003,10.57,11.9,26.9,0.03,0.1,0,0,1,Imaging,      2015.00
51 Peg b,Hot,Jovian,gas,metals-rich,non-habitable,149.43,21.28,0.02,0.33,2.65,        598.9285,1260.3,,2.3,-30.82,41.33,4.23,0.052,0.01,0.05,51 Peg,Peg,G2 IV,1.11,1.27,5793.0,1.619464,4.0,14.7,22.9575,20.7686,1,0,0.9540000000000001,2.247,-2.4,18.21,-0.29,0.05,0.05,0,0,1,Radial Velocity,      1995.00
55 Cnc b,Hot,Jovian,gas,hydrogen-rich,non-habitable,267.07,9.94,0.27,2.7,5.18,        45.23154,660.7,,72.6,-26.34,18.98,14.65,0.1134,0.0,0.11,55 Cnc,Cnc,K0IV-V,0.91,0.94,5196.0,0.581554,10.2,12.34,8.8769,28.3339,5,1,0.591,1.419,-2.15,6.23,2.17,0.13,0.15,0,0,1,Radial Velocity,      1996.00
55 Cnc c,Hot,Jovian,gas,metals-rich,non-habitable,56.72,6.56,0.2,1.32,2.94,        10.34999,456.5,,11.4,-23.83,12.49,44.37,0.2374,0.07,0.24,55 Cnc,Cnc,K0IV-V,0.91,0.94,5196.0,0.581554,10.2,12.34,8.8769,28.3339,5,1,0.591,1.419,-1.86,4.23,0.93,0.17,0.28,0,0,1,Radial Velocity,      2002.00
55 Cnc d,Cold,Jovian,gas,hydrogen-rich,non-habitable,1227.25,11.65,0.78,9.04,10.26,      0.01961515,95.3,,952.3,-18.24,22.28,4867.0,5.446,0.03,5.44,55 Cnc,Cnc,K0IV-V,0.91,0.94,5196.0,0.581554,10.2,12.34,8.8769,28.3339,5,1,0.591,1.419,10.73,8.49,18.59,0.04,0.1,0,0,1,Radial Velocity,      2002.00
55 Cnc e,Hot,Superterran,rocky-water,metals-rich,non-habitable,8.1,1.99,1.03,2.05,2.02,        2440.741,1790.4,1833.5,8.3,-27.18,3.78,0.74,0.0154,0.03,0.02,55 Cnc,Cnc,K0IV-V,0.91,0.94,5196.0,0.581554,10.2,12.34,8.8769,28.3339,5,1,0.591,1.419,-2.39,0.06,-0.81,0.28,0.26,0,0,1,Primary Transit,      2004.00
55 Cnc f,Warm,Neptunian,gas,hydrogen-rich,non-habitable,47.02,6.17,0.2,1.23,2.76,       0.9756365,252.9,,9.4,-21.12,11.75,260.91,0.7733,0.08,0.77,55 Cnc,Cnc,K0IV-V,0.91,0.94,5196.0,0.581554,10.2,12.34,8.8769,28.3339,5,1,0.591,1.419,-0.56,4.03,1.62,0.19,0.6,0,0,1,Radial Velocity,      2007.00
61 Vir b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.09,1.66,1.1,1.84,1.75,        296.5414,1054.4,1095.7,5.6,-24.5,3.16,4.21,0.0502,0.12,0.05,61 Vir,Vir,G5V,0.95,0.94,5531.0,0.741925,8.96,8.52,13.3067,-18.3111,3,0,0.6559999999999999,1.556,-2.35,-0.15,-0.69,0.29,0.27,0,0,1,Radial Velocity,      2009.00
61 Vir c,Hot,Neptunian,gas,metals-rich,non-habitable,18.22,4.51,0.2,0.9,2.01,        15.83946,506.4,,3.6,-23.48,8.57,38.02,0.2175,0.14,0.22,61 Vir,Vir,G5V,0.95,0.94,5531.0,0.741925,8.96,8.52,13.3067,-18.3111,3,0,0.6559999999999999,1.556,-1.97,3.18,-0.01,0.21,0.3,0,0,1,Radial Velocity,      2009.00
61 Vir d,Hot,Neptunian,gas,metals-rich,non-habitable,22.89,4.87,0.2,0.97,2.17,        3.495620,340.0,,4.5,-22.06,9.26,123.01,0.476,0.35,0.45,61 Vir,Vir,G5V,0.95,0.94,5531.0,0.741925,8.96,8.52,13.3067,-18.3111,3,0,0.6559999999999999,1.556,-1.38,3.36,0.5,0.21,0.48,0,0,1,Radial Velocity,      2009.00
70 Vir b,Hot,Jovian,gas,hydrogen-rich,non-habitable,2098.4,11.68,1.32,15.39,13.4,        14.54430,479.1,,2764.7,-25.57,22.33,116.67,0.48,0.43,0.43,70 Vir,Vir,G4 V,0.92,1.97,5432.0,3.025375,7.09,22.0,13.4739,13.7867,1,0,1.3319999999999999,3.17,-1.91,9.8,9.74,0.07,0.14,0,0,1,Radial Velocity,      1996.00
75 Cet b,Hot,Jovian,gas,hydrogen-rich,non-habitable,953.82,11.56,0.62,7.14,9.08,        12.36982,477.8,,588.8,-25.26,22.11,691.9,2.1,0.0,2.1,75 Cet,Cet,G3III,2.49,10.5,4846.0,54.550918,,81.5,2.5358,-1.035,1,0,5.8260000000000005,14.175,-1.89,8.04,6.3,0.09,0.17,0,0,1,Radial Velocity,      2012.00
81 Cet b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1685.08,11.68,1.06,12.34,12.01,        25.02150,565.2,,1780.3,-26.07,22.34,952.7,2.5,0.21,2.45,81 Cet,Cet,G5III,2.4,18.0,4790.0,153.030103,,97.2,2.6283,-3.3961,1,0,9.782,23.855999999999998,-2.03,9.18,7.97,0.08,0.12,0,0,1,Radial Velocity,      2008.00
91 Aqr b,Hot,Jovian,gas,hydrogen-rich,non-habitable,1017.41,11.59,0.65,7.57,9.37,        63.41486,718.8,,664.8,-27.05,22.16,181.4,0.7,0.03,0.7,91 Aqr,Aqr,K0 III,2.5,8.55,4665.0,31.06195,3.56,45.9,23.2647,-9.0875,1,0,4.43,10.862,-2.16,8.15,5.03,0.09,0.1,0,0,1,Radial Velocity,      2003.00
AB Pic b,Cold,Jovian,gas,hydrogen-rich,non-habitable,4292.19,11.37,2.92,33.19,19.43,    6.354142e-06,12.8,,12525.9,-9.42,21.74,,275.0,0.0,275.0,AB Pic,Pic,K2 V,,0.98,4875.0,0.48053199999999996,0.03,47.3,6.32,-58.0542,1,0,0.546,1.327,701.84,12.78,103.28,0.0,0.06,0,0,1,Imaging,      2005.00
Aldebaran b,Hot,Jovian,gas,hydrogen-rich,non-habitable,2057.07,11.68,1.29,15.08,13.27,        232.6393,993.1,,2655.8,-28.49,22.34,628.96,1.46,0.1,1.45,Aldebaran,Tau,K5III,1.13,45.1,4055.0,493.408199,6.6,20.43,4.5986,16.5092,1,0,17.994,45.42,-2.21,9.73,6.4,0.08,0.07,0,0,1,Radial Velocity,      1998.00
alf Ari b,Hot,Jovian,gas,hydrogen-rich,non-habitable,572.29,11.15,0.41,4.61,7.17,        53.42722,680.5,,236.5,-26.81,21.3,380.8,1.2,0.25,1.16,alf Ari,Ari,K2III,1.5,13.9,4553.0,74.492062,,20.2,2.1194,23.4622,1,0,6.888999999999999,16.979,-2.13,7.27,3.53,0.11,0.12,0,0,1,Radial Velocity,      2011.00
alf Cen B b,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.14,1.09,0.89,0.97,1.03,        308.7997,1068.0,1102.1,1.0,-23.61,2.06,3.24,0.04,0.0,0.04,alf Cen B,Cen,K1V,0.93,0.86,5214.0,0.49408,,1.29,14.6597,-60.8375,1,0,0.545,1.306,-2.33,-0.17,-1.12,0.28,0.3,0,0,1,Radial Velocity,      2012.00
AS 205 A b,Hot,Jovian,gas,hydrogen-rich,non-habitable,6120.35,10.99,4.61,50.66,23.6,        170.8106,899.0,,28208.8,-28.08,21.01,24.84,0.162,0.35,0.15,AS 205 A,Sco,K5,0.9,3.7,4300.0,4.199205,,140.0,16.1919,-18.6403,1,0,1.649,4.114,-2.21,15.02,13.18,0.05,0.06,0,0,1,Radial Velocity,      2017.00
BD+03 2562 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,2034.82,11.68,1.28,14.91,13.2,        159.4528,898.4,,2598.2,-28.09,22.34,481.9,1.3,0.2,1.27,BD+03 2562,Vir,K,1.14,32.35,4095.0,264.03051,5.25,2618.0,11.8377,2.7601,1,0,13.15,33.128,-2.19,9.7,6.73,0.08,0.08,0,0,1,Radial Velocity,      2017.00
BD+14 4559 b,Warm,Jovian,gas,hydrogen-rich,non-habitable,467.37,10.89,0.36,3.94,6.55,       0.6028023,220.8,,169.2,-21.88,20.81,268.94,0.777,0.29,0.74,BD+14 4559,Peg,K2V,0.86,0.79,5008.0,0.34828899999999996,,50.0,21.2267,14.6894,1,1,0.462,1.117,-0.01,6.99,6.68,0.09,0.43,0,0,1,Radial Velocity,      2009.00
BD+15 2375 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,337.02,10.37,0.3,3.13,5.7,        101.1881,808.0,,101.8,-27.31,19.81,153.22,0.576,0.0,0.58,BD+15 2375,Leo,K,1.08,8.95,4649.0,33.571764,7.4,774.0,11.7656,14.6164,1,0,4.6080000000000005,11.308,-2.2,6.54,2.15,0.12,0.13,0,0,1,Radial Velocity,      2016.00
BD+15 2940 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,352.91,10.45,0.31,3.23,5.81,        365.6481,1099.6,,109.1,-28.77,19.96,137.48,0.539,0.26,0.52,BD+15 2940,Ser,K0,1.1,14.7,4796.0,102.574923,7.1,585.0,16.0064,15.5469,1,0,8.007,19.521,-2.3,6.61,1.62,0.12,0.12,0,0,1,Radial Velocity,      2013.00
BD+20 274 c,Hot,Jovian,gas,hydrogen-rich,non-habitable,1335.35,11.67,0.84,9.81,10.7,        54.11934,691.0,,1122.8,-26.89,22.31,578.2,1.3,0.0,1.3,BD+20 274,Psc,K5,0.8,17.3,4296.0,91.461682,,,1.7281,21.005,1,0,7.6979999999999995,19.204,-2.11,8.65,6.14,0.08,0.1,0,0,1,Radial Velocity,      2012.00
BD+20 594 b,Hot,Superterran,rocky-iron,metals-rich,non-habitable,16.31,2.23,1.47,3.28,2.71,        14.70450,498.9,546.5,24.0,-21.85,4.24,41.69,0.241,0.0,0.24,BD+20 594,Tau,K0,0.96,0.93,5766.0,0.854052,3.34,152.1,3.5767,20.5992,1,0,0.6940000000000001,1.636,-1.96,-0.13,0.61,0.33,0.33,0,0,1,Primary Transit,      2016.00
BD+20 1790 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,2025.28,11.68,1.27,14.84,13.17,        40.25745,635.8,,2573.7,-26.59,22.34,7.78,0.066,0.22,0.06,BD+20 1790,Gem,K5V,0.63,0.71,4410.0,0.17106500000000002,0.057,25.4,7.3956,20.4142,1,0,0.332,0.823,-2.08,9.69,8.29,0.07,0.1,0,0,1,Other,      2009.00
BD+20 2457 b,Hot,Jovian,gas,hydrogen-rich,non-habitable,6810.27,10.85,5.34,57.9,25.06,        2.400301,315.8,,36354.4,-23.34,20.72,379.63,1.45,0.15,1.43,BD+20 2457,Leo,K2II,2.8,4.39,4127.0,4.989534,,200.0,10.2792,19.8914,2,1,1.806,4.543,-1.26,15.83,25.44,0.03,0.3,0,0,1,Radial Velocity,      2009.00
BD+20 2457 c,Warm,Jovian,gas,hydrogen-rich,non-habitable,3964.71,11.44,2.65,30.32,18.62,        1.255510,268.0,,10511.7,-22.76,21.86,621.99,2.01,0.18,1.98,BD+20 2457,Leo,K2II,2.8,4.39,4127.0,4.989534,,200.0,10.2792,19.8914,2,1,1.806,4.543,-0.85,12.36,20.15,0.04,0.37,0,1,1,Radial Velocity,      2009.00
BD+24 4697 b,Warm,Jovian,gas,hydrogen-rich,non-habitable,16850.82,9.15,21.97,201.11,42.91,        1.461887,265.7,,370219.9,-22.58,17.46,145.08,0.5,0.5,0.43,BD+24 4697,Peg,K,0.75,0.73,5077.0,0.316406,,48.8,23.0275,25.7881,1,1,0.439,1.058,-0.75,27.87,46.94,0.02,0.33,0,1,1,Radial Velocity,      2016.00
BD+26 1888 b,Cold,Jovian,gas,hydrogen-rich,non-habitable,8266.44,10.55,7.05,74.31,28.0,       0.1307965,151.1,,58243.7,-20.14,20.15,536.78,1.19,0.27,1.15,BD+26 1888,Cnc,K7,0.76,0.63,4748.0,0.178471,,38.0,9.0419,25.8894,1,0,0.335,0.818,2.59,17.54,41.79,0.02,0.16,0,0,1,Radial Velocity,      2016.00
