P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
KOI-2175.01,Kepler-368 b,2175.01,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.69,,1.22,0.93,1.14,1.18,        17.73068,        17.73068,        17.73068,522.8,522.8,522.8,558.7,558.7,558.7,1.6,-20.74,2.32,26.85,0.1608,0.00,0.16,89.4,0.0,KOI-2175,,,Cyg,G,0.77,0.75,5501.0,0.458456,0.000,0.000,12.8,261.95,19.4587,45.3879,-29.9,2.4759,2,0,0.516,1.227,-2.00,-0.17,-0.73,0.32,0.00,0.00,0.00,0.36,0,0,0,1,transit,2015
KOI-2175.02,Kepler-368 c,2175.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.87,,1.42,1.00,1.42,1.42,        4.724779,        4.724779,        4.724779,375.6,375.6,375.6,414.1,414.1,414.1,2.9,-19.63,2.70,72.38,0.3115,0.00,0.31,90.0,0.0,KOI-2175,,,Cyg,G,0.77,0.75,5501.0,0.458456,0.000,0.000,12.8,261.95,19.4587,45.3879,-28.4,1.2780,2,0,0.516,1.227,-1.58,-0.16,-0.31,0.38,0.00,0.00,0.00,0.52,0,0,0,1,transit,2015
KOI-2177.01,,2177.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,11.61,,2.06,1.33,2.73,2.37,        4.499645,        4.499647,        4.499648,371.1,371.1,371.1,416.8,416.8,416.8,15.4,-20.39,3.92,62.89,0.2867,0.00,0.29,90.0,0.0,KOI-2177,,,Dra,G,0.80,0.72,5314.0,0.369857,0.000,0.000,15.5,786.44,19.0912,48.4239,-28.4,1.3365,1,0,0.469,1.120,-1.56,-0.13,0.65,0.37,0.00,0.00,0.00,0.49,0,0,0,0,transit,2015
KOI-2179.01,Kepler-369 c,2179.01,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.22,,1.32,0.97,1.28,1.30,        3.137936,        3.137936,        3.137936,339.1,339.1,339.1,376.4,376.4,376.4,2.1,-19.03,2.51,14.87,0.0894,0.00,0.09,88.8,0.0,KOI-2179,,,Cyg,M,0.43,0.41,3591.0,0.025080,0.000,0.000,15.7,223.63,19.5783,47.9085,-28.0,2.4442,2,0,0.129,0.334,-1.39,-0.16,-0.37,0.41,0.00,0.00,0.00,0.62,0,0,0,1,transit,2015
KOI-2179.02,Kepler-369 b,2179.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,0.87,,1.00,0.87,0.87,0.93,        30.02779,        30.02779,        30.02780,596.4,596.4,596.4,629.2,629.2,629.2,0.8,-20.89,1.90,2.73,0.0289,0.00,0.03,89.4,0.0,KOI-2179,,,Cyg,M,0.43,0.41,3591.0,0.025080,0.000,0.000,15.7,223.63,19.5783,47.9085,-30.4,7.5659,2,0,0.129,0.334,-1.98,-0.17,-0.99,0.31,0.00,0.00,0.00,0.34,0,0,0,1,transit,2015
KOI-2180.01,,2180.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,5.75,,1.72,1.13,1.95,1.83,        63.85325,        63.85326,        63.85327,720.2,720.2,720.2,762.2,762.2,762.2,6.5,-22.89,3.27,11.56,0.0959,0.00,0.10,90.0,0.0,KOI-2180,,,Cyg,G,0.88,0.81,5627.0,0.587246,0.000,0.000,14.8,730.62,19.5548,42.8675,-31.3,4.4912,1,0,0.580,1.373,-2.22,-0.15,-0.41,0.31,0.00,0.00,0.00,0.29,0,0,0,0,transit,2015
KOI-2181.01,,2181.01,Hot,Neptunian,gas,metals-rich,non-habitable,,6.08,,3.14,0.20,0.62,1.39,        165.0230,        165.0230,        165.0230,913.1,913.1,913.1,,,,1.2,-25.24,5.97,12.29,0.1017,0.00,0.10,89.4,0.0,KOI-2181,,,Cyg,K,0.93,1.67,5109.0,1.706815,0.000,0.000,14.4,1036.00,20.0895,44.6722,-32.3,8.7647,1,0,1.018,2.451,-2.28,2.59,-0.84,0.22,,0.00,0.00,0.21,0,0,0,0,transit,2015
KOI-2182.01,,2182.01,Hot,Neptunian,gas,metals-rich,non-habitable,,3.34,,2.60,0.19,0.49,1.13,        33.56807,        33.56807,        33.56807,613.2,613.2,613.2,,,,0.6,-23.09,4.94,17.13,0.1243,0.00,0.12,89.4,0.0,KOI-2182,,,Cyg,G,0.87,0.80,5489.0,0.518643,0.000,0.000,15.8,1098.85,19.7045,42.4783,-30.6,3.4218,1,0,0.550,1.306,-2.12,2.42,-0.85,0.23,,0.00,0.00,0.26,0,0,0,0,transit,2015
KOI-2183.01,Kepler-370 c,2183.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,8.59,,1.91,1.23,2.35,2.12,        41.94337,        41.94339,        41.94339,648.4,648.4,648.4,692.5,692.5,692.5,10.6,-22.66,3.63,19.02,0.1381,0.00,0.14,89.4,0.0,KOI-2183,,,Cyg,G,0.97,0.87,5845.0,0.799928,0.000,0.000,15.2,1015.88,19.4781,40.9163,-30.8,3.3732,2,0,0.668,1.572,-2.17,-0.14,-0.12,0.31,0.00,0.00,0.00,0.29,0,0,0,1,transit,2015
KOI-2183.02,Kepler-370 b,2183.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.11,,1.30,0.96,1.25,1.27,        280.5229,        280.5229,        280.5229,1042.6,1042.6,1042.6,1079.7,1079.7,1079.7,2.0,-23.90,2.47,4.58,0.0534,0.00,0.05,90.0,0.0,KOI-2183,,,Cyg,G,0.97,0.87,5845.0,0.799928,0.000,0.000,15.2,1015.88,19.4781,40.9163,-32.9,8.7307,2,0,0.668,1.572,-2.36,-0.16,-0.97,0.28,0.00,0.00,0.00,0.29,0,0,0,1,transit,2015
KOI-2184.02,,2184.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,8.24,,1.89,1.22,2.31,2.09,        1.637918,        1.637918,        1.637919,288.2,288.2,288.2,332.1,332.1,332.1,10.1,-19.10,3.59,95.91,0.3659,0.00,0.37,90.0,0.0,KOI-2184,,,Cyg,K,0.72,0.65,4893.0,0.219289,0.000,0.000,15.5,611.98,19.3450,52.2203,-27.3,0.9511,1,0,0.369,0.895,-1.01,-0.14,0.65,0.45,0.00,0.00,0.00,0.72,0,0,0,0,transit,2015
KOI-2185.01,,2185.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,10.10,,1.99,1.28,2.55,2.25,        9.831126,        9.831128,        9.831129,451.1,451.1,451.1,496.1,496.1,496.1,12.9,-21.17,3.78,76.96,0.3436,0.00,0.34,89.4,0.0,KOI-2185,,,Lyr,G,0.91,1.04,5878.0,1.160672,0.000,0.000,14.4,830.77,19.0669,44.7566,-29.2,1.6146,1,0,0.804,1.888,-1.85,-0.13,0.32,0.35,0.00,0.00,0.00,0.38,0,0,0,0,transit,2015
KOI-2186.01,,2186.01,Hot,Neptunian,gas,metals-rich,non-habitable,,6.57,,3.22,0.20,0.63,1.43,        35.04016,        35.04017,        35.04018,619.8,619.8,619.8,,,,1.3,-23.60,6.12,14.98,0.1106,0.00,0.11,89.4,0.0,KOI-2186,,,Lyr,K,0.80,0.85,5062.0,0.428624,0.000,0.000,15.5,873.42,19.0606,38.2127,-30.6,4.1110,1,0,0.511,1.233,-2.11,2.62,-0.62,0.23,,0.00,0.00,0.24,0,0,0,0,transit,2015
KOI-2189.01,,2189.01,Hot,Neptunian,gas,metals-rich,non-habitable,,7.63,,3.38,0.20,0.67,1.50,        10.48982,        10.48982,        10.48982,458.5,458.5,458.5,,,,1.5,-22.39,6.43,33.36,0.1854,0.00,0.19,90.0,0.0,KOI-2189,,,Cyg,K,0.76,0.80,5009.0,0.360568,0.000,0.000,15.3,699.46,19.8716,40.9490,-29.3,2.2968,1,0,0.470,1.136,-1.85,2.68,-0.37,0.23,,0.00,0.00,0.30,0,0,0,0,transit,2015
KOI-2191.01,,2191.01,Hot,Terran,rocky-iron,metals-rich,non-habitable,,0.90,,1.01,0.87,0.88,0.94,        8.589127,        8.589127,        8.589128,436.1,436.1,436.1,469.1,469.1,469.1,0.8,-19.54,1.92,8.85,0.0652,0.00,0.07,89.4,0.0,KOI-2191,,,Lyr,M,0.47,0.46,3724.0,0.036513,0.000,0.000,14.9,190.29,19.0058,40.8990,-29.1,3.7605,1,0,0.156,0.400,-1.74,-0.17,-0.86,0.34,0.00,0.00,0.00,0.44,0,0,0,0,transit,2015
KOI-2193.01,,2193.01,Hot,Terran,rocky-iron,metals-rich,non-habitable,,3.83,,1.54,1.05,1.62,1.58,        171.0196,        171.0196,        171.0196,921.3,921.3,921.3,961.3,961.3,961.3,4.0,-23.73,2.93,2.36,0.0299,0.00,0.03,90.0,0.0,KOI-2193,,,Lyr,K,0.64,0.65,4478.0,0.152893,0.000,0.000,15.7,548.37,18.9405,44.2458,-32.3,11.6229,1,0,0.313,0.774,-2.23,-0.15,-0.72,0.30,0.00,0.00,0.00,0.29,0,0,0,0,transit,2015
KOI-2194.01,Kepler-371 b,2194.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,5.39,,1.69,1.12,1.89,1.79,        23.31911,        23.31911,        23.31912,559.9,559.9,559.9,601.5,601.5,601.5,6.0,-21.75,3.21,34.76,0.2085,0.00,0.21,89.4,0.0,KOI-2194,,,Cyg,F,1.00,0.92,6038.0,1.013734,0.000,0.000,13.9,620.80,19.4884,38.6576,-30.2,2.3568,2,0,0.744,1.741,-2.07,-0.15,-0.27,0.32,0.00,0.00,0.00,0.33,0,0,0,1,transit,2015
KOI-2194.02,Kepler-371 c,2194.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,3.83,,1.54,1.05,1.62,1.58,        9.538693,        9.538695,        9.538697,447.7,447.7,447.7,487.7,487.7,487.7,4.0,-20.58,2.93,67.97,0.3260,0.00,0.33,90.0,0.0,KOI-2194,,,Cyg,F,1.00,0.92,6038.0,1.013734,0.000,0.000,13.9,620.80,19.4884,38.6576,-29.2,1.5072,2,0,0.744,1.741,-1.84,-0.15,-0.29,0.35,0.00,0.00,0.00,0.41,0,0,0,1,transit,2015
KOI-2195.01,Kepler-372 c,2195.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,25.45,,2.47,1.69,4.17,3.21,        93.11097,        93.11098,        93.11099,791.4,791.4,791.4,841.5,841.5,841.5,43.0,-24.09,4.70,20.05,0.1528,0.00,0.15,84.8,0.0,KOI-2195,,,Cyg,F,1.18,1.16,6517.0,2.173940,0.000,0.000,14.9,1448.26,19.4171,49.2589,-31.7,4.0430,3,0,1.058,2.456,-2.30,-0.11,0.48,0.30,0.00,0.00,0.00,0.25,0,0,0,1,transit,2015
KOI-2195.02,Kepler-372 d,2195.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,24.05,,2.44,1.66,4.04,3.14,        54.23997,        54.23997,        54.23999,691.4,691.4,691.4,741.2,741.2,741.2,39.8,-23.48,4.64,30.09,0.2002,0.00,0.20,84.2,0.0,KOI-2195,,,Cyg,F,1.18,1.16,6517.0,2.173940,0.000,0.000,14.9,1448.26,19.4171,49.2589,-31.1,3.0855,3,0,1.058,2.456,-2.23,-0.11,0.58,0.30,0.00,0.00,0.00,0.26,0,0,0,1,transit,2015
KOI-2195.03,Kepler-372 b,2195.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.94,,1.43,1.01,1.44,1.43,        389.5887,        389.5887,        389.5888,1131.9,1131.9,1131.9,1170.5,1170.5,1170.5,3.0,-24.46,2.72,6.85,0.0747,0.00,0.07,89.4,0.0,KOI-2195,,,Cyg,F,1.18,1.16,6517.0,2.173940,0.000,0.000,14.9,1448.26,19.4171,49.2589,-33.2,8.2756,3,0,1.058,2.456,-2.41,-0.16,-0.91,0.28,0.00,0.00,0.00,0.29,0,0,0,1,transit,2015
KOI-2198.01,,2198.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,16.14,,2.23,1.46,3.25,2.69,        218.1499,        218.1499,        218.1499,979.1,979.1,979.1,1026.6,1026.6,1026.6,23.5,-24.80,4.24,23.92,0.1847,0.00,0.18,90.0,0.0,KOI-2198,,,Cyg,F,1.47,1.78,7143.0,7.441985,0.000,0.000,12.8,1017.38,19.1420,48.6654,-32.6,5.1520,1,0,1.896,4.371,-2.38,-0.12,-0.07,0.30,0.00,0.00,0.00,0.25,0,0,0,0,transit,2015
KOI-2199.01,,2199.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,11.38,,2.05,1.32,2.71,2.36,        67.06042,        67.06043,        67.06044,729.1,729.1,729.1,774.7,774.7,774.7,15.0,-23.33,3.90,9.03,0.0813,0.00,0.08,88.8,0.0,KOI-2199,,,Cyg,G,0.88,0.79,5311.0,0.443249,0.000,0.000,15.9,1043.69,19.1690,49.8017,-31.3,5.1670,2,0,0.513,1.227,-2.21,-0.13,-0.04,0.31,0.00,0.00,0.00,0.27,0,0,0,0,transit,2015
KOI-2199.02,,2199.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.47,,1.17,0.92,1.07,1.12,        285.5321,        285.5321,        285.5322,1047.3,1047.3,1047.3,1082.5,1082.5,1082.5,1.3,-23.68,2.22,3.05,0.0394,0.00,0.04,89.4,0.0,KOI-2199,,,Cyg,G,0.88,0.79,5311.0,0.443249,0.000,0.000,15.9,1043.69,19.1690,49.8017,-32.9,10.6737,2,0,0.513,1.227,-2.33,-0.17,-1.06,0.28,0.00,0.00,0.00,0.30,0,0,0,0,transit,2015
KOI-2200.01,,2200.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,5.04,,1.66,1.10,1.83,1.74,        490.6850,        490.6851,        490.6852,1199.1,1199.1,1199.1,1240.4,1240.4,1240.4,5.6,-25.04,3.16,3.17,0.0394,0.00,0.04,88.8,0.0,KOI-2200,,,Dra,G,0.81,0.89,5725.0,0.761720,0.000,0.000,15.4,1064.31,19.0599,48.3073,-33.5,12.0466,1,0,0.657,1.550,-2.38,-0.15,-0.76,0.29,0.00,0.00,0.00,0.27,0,0,0,0,transit,2015
KOI-2201.01,,2201.01,Hot,Jovian,,,non-habitable,,,,86.38,,,,        7.468904,        7.468904,        7.468906,421.2,421.2,421.2,,,,,-29.10,-,116.52,0.4593,0.00,0.46,87.7,0.0,KOI-2201,,,Lyr,F,0.95,1.14,6063.0,1.575614,0.000,0.000,13.8,753.31,19.0913,37.5525,-28.9,1.3227,1,0,0.926,2.166,-1.75,,,,0.00,0.00,0.00,0.12,0,0,0,0,transit,2015
KOI-2202.01,,2202.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.96,,1.03,0.88,0.90,0.96,        1602.817,        1602.817,        1602.817,1612.0,1612.0,1612.0,1645.3,1645.3,1645.3,0.8,-25.29,1.96,0.81,0.0163,0.00,0.02,88.2,0.0,KOI-2202,,,Lyr,K,0.88,0.78,5285.0,0.425852,0.000,0.000,14.1,450.80,19.1964,39.2306,-34.8,25.7168,1,0,0.504,1.205,-2.39,-0.17,-1.27,0.27,0.00,0.00,0.00,0.29,0,0,0,0,transit,2015
